env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
0,1231,-0.111803360725753,2250,0.88,1.34,2250,,,,,,,0.24666667208075524,0.2,0.02785435,-0.06248024976501867,0.001,0.10868217796087265,-0.8099865317344666,-0.04834244027733803,0.36934465169906616,740
,,,2250,,,,75,0.6,8518,0,1.96,-0.34236936999999995,,,,,,,,,,
0,1248,-0.08877984626684338,2280,0.92,1.18,2280,,,,,,,0.1533333383500576,0.2,0.023163442,-0.04634849289742613,0.001,0.30111392587423325,-0.8529674112796783,-0.002418890595436096,0.08208030462265015,750
,,,2280,,,,76,0.6,8631,0,1.94,-0.33998756,,,,,,,,,,
0,1265,-0.09243240549694746,2310,0.84,1.4,2310,,,,,,,0.06666666828095913,0.2,0.018819554,-0.030916834169377693,0.001,0.2369333267211914,-0.864052665233612,0.0034769997000694275,0.24771404266357422,760
,,,2310,,,,77,0.67,8752,0,1.82,-0.26261758999999996,,,,,,,,,,
0,1282,-0.09197003449313343,2340,0.88,1.34,2340,,,,,,,0.16000000461935998,0.2,0.034437895,-0.0473969256598501,0.001,0.15990471243858337,-0.7504753053188324,-0.01322104036808014,0.18202370405197144,770
,,,2340,,,,78,0.69,8873,0,1.76,-0.26890046999999995,,,,,,,,,,
0,1299,-0.11717439256608486,2370,0.9,1.22,2370,,,,,,,0.20000000670552254,0.2,0.022460232,-0.04615247615923472,0.001,0.1944221720099449,-0.6605139017105103,0.00899728387594223,0.20348238945007324,780
,,,2370,,,,79,0.67,8993,0,1.79,-0.30223701000000003,,,,,,,,,,
0,1316,-0.11370330643374472,2400,0.84,1.44,2400,,,,,,,0.11000000387430191,0.2,0.021064105,-0.034021325376816236,0.001,0.141883934289217,-0.6153399765491485,-0.013148479163646698,0.28755056858062744,790
,,,2400,,,,80,0.65,9113,0,1.79,-0.33711920000000006,,,,,,,,,,
0,1329,-0.12974496162496507,2430,0.84,1.34,2430,,,,,,,0.26000000461935996,0.2,0.046849348,-0.05473400828118109,0.001,0.1329462207853794,-0.8196511209011078,-0.03568169102072716,0.40622764825820923,800
,,,2430,,,,81,0.64,9231,0,1.83,-0.35350621,,,,,,,,,,
0,1343,-0.20020485454704612,2460,0.82,1.42,2460,,,,,,,0.2000000063329935,0.2,0.009774667,-0.038982085529714536,0.001,0.16676061004400253,-0.7525884628295898,-0.012856893241405487,0.0647209882736206,810
,,,2460,,,,82,0.61,9353,0,1.9,-0.3831523,,,,,,,,,,
0,1361,-0.07046219503507017,2490,0.94,1.14,2490,,,,,,,0.16000000648200513,0.2,0.023409205,-0.04983047519500054,0.001,0.16001479774713517,-0.704431003332138,-0.014000095427036285,0.24520975351333618,820
,,,2490,,,,83,0.64,9458,0,1.87,-0.36205866,,,,,,,,,,
0,1378,-0.08939984575845301,2520,0.92,1.18,2520,,,,,,,0.15333333909511565,0.2,0.02708272,-0.03562128132209184,0.001,0.2548250526189804,-0.6592548608779907,0.018839344382286072,-0.8452788591384888,830
,,,2520,,,,84,0.65,9563,0,1.88,-0.34468340000000003,,,,,,,,,,
0,1392,-0.07549638002179564,2550,0.88,1.28,2550,,,,,,,0.08666666969656944,0.2,0.0051013986,-0.02528024937647082,0.001,0.2072017163038254,-0.6666895627975464,0.018039267510175705,0.15060687065124512,840
,,,2550,,,,85,0.64,9683,0,1.92,-0.34798761,,,,,,,,,,
0,1409,-0.05026054771617055,2580,0.9,1.28,2580,,,,,,,0.1966666728258133,0.2,0.026446855,-0.05137160309900857,0.001,0.15648965612053872,-0.7523404896259308,-0.02269141748547554,0.2496577501296997,850
,,,2580,,,,86,0.66,9795,0,1.91,-0.32916426,,,,,,,,,,
