env/completion_counter,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,env/n_steps,env/current_idx,time/fps,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/approx_kl
0,33900,0.92,1.2,-0.06871700767427683,33900,19844,,,,,,,-0.40595027565956116,0.2,-0.21649479866027832,0.22954545453190803,1120,0.1604812739789486,-0.03953805590514094,-0.029885325580835342,0.001,0.13168469
,33900,,,,,,0,113,0.7,50653,-0.26661006,1.68,,,,,,,,,,
0,34200,0.88,1.32,-0.09011707143858075,34200,20029,,,,,,,-0.41931203961372376,0.2,0.06701719760894775,0.29025568202137947,1130,0.12294138073921204,-0.060488638486713174,-0.0778483971953392,0.001,0.36870298
,34200,,,,,,0,114,0.71,51098,-0.29201197,1.71,,,,,,,,,,
0,34500,0.86,1.32,-0.11122277553193272,34500,20221,,,,,,,-0.4078590875864029,0.2,0.0461047887802124,0.28403409048914907,1140,0.11723202310502528,-0.06231093356385827,-0.05124552547931671,0.001,0.14636225
,34500,,,,,,0,115,0.76,51511,-0.18449251000000003,1.64,,,,,,,,,,
0,34800,0.82,1.36,-0.13432790017221122,34800,20404,,,,,,,-0.4014245730638504,0.2,-0.2826192378997803,0.23761363655328752,1150,0.12406797453761101,-0.0554729220745503,-0.057366058230400085,0.001,0.12509963
,34800,,,,,,0,116,0.79,51939,-0.14325648999999996,1.5,,,,,,,,,,
0,35100,0.94,1.26,-0.06894337671808898,35100,20578,,,,,,,-0.38064490973949433,0.2,0.08605343103408813,0.24471590921282768,1160,0.1102119468152523,-0.04954349932260811,-0.03906026482582092,0.001,0.12754515
,35100,,,,,,0,117,0.69,52341,-0.26472962999999994,1.73,,,,,,,,,,
0,35400,0.9,1.24,-0.05156152865383774,35400,20767,,,,,,,-0.43782291054725647,0.2,-0.0689084529876709,0.2529545457661152,1170,0.14758836030960082,-0.05382385095581412,-0.06922110170125961,0.001,0.122077465
,35400,,,,,,0,118,0.73,52764,-0.25324214,1.6,,,,,,,,,,
0,35700,0.86,1.32,-0.07173792491666972,35700,20943,,,,,,,-0.4177271437644958,0.2,-0.054207444190979004,0.2382386364042759,1180,0.1251267372071743,-0.053279868811368945,-0.05844049155712128,0.001,0.16488256
,35700,,,,,,0,119,0.63,53200,-0.3550595299999999,1.81,,,,,,,,,,
0,36000,0.92,1.26,-0.0712152228411287,36000,21122,,,,,,,-0.44940590262413027,0.2,-0.013133525848388672,0.2557670457661152,1190,0.14259672835469245,-0.04872020549140871,-0.03669896349310875,0.001,0.1232667
,36000,,,,,,0,120,0.71,53645,-0.27052464,1.68,,,,,,,,,,
0,36300,0.96,1.16,-0.04864863007329404,36300,21298,,,,,,,-0.46259909629821777,0.2,-0.11745023727416992,0.25267045378685,1200,0.15528000697493552,-0.049954260285012424,-0.04513011500239372,0.001,0.06715272
,36300,,,,,,0,121,0.73,54047,-0.27319389,1.61,,,,,,,,,,
0,36600,0.94,1.12,-0.06710020523983985,36600,21481,,,,,,,-0.4954559195041657,0.2,0.0720939040184021,0.282244318574667,1210,0.1347934038937092,-0.06083001023158431,-0.05392686650156975,0.001,0.16085263
,36600,,,,,,0,122,0.69,54483,-0.29053166999999996,1.72,,,,,,,,,,
0,36900,0.84,1.34,-0.15036690276116133,36900,21654,,,,,,,-0.434586620926857,0.2,0.13526833057403564,0.2600852279365063,1220,0.12192284032702445,-0.04880472626537084,-0.04800792783498764,0.001,0.12828825
