eval/success_rate,eval/mean_reward,env/completion_counter,env/n_steps,time/total_timesteps,eval/mean_ep_length,env/current_idx,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss
0.94,-0.07400897746905684,0,3690,3690,1.2,2246,,,,,,,1220,0.20597488880157472,-8.41093046499708e-05,-0.0366999801248312,6.6955886e-07,0.0,0.001,0.2,0.05383598804473877,0.08532191812992096
,,,,3690,,,1.56,0.76,14024,-0.23387956999999995,123,0,,,,,,,,,,
0.92,-0.09053129880223423,0,3720,3720,1.3,2266,,,,,,,1230,0.1668191969394684,-0.025936106710384266,-0.31690349876880647,0.032983042,0.09333333559334278,0.001,0.2,0.37735772132873535,0.016579467803239822
,,,,3720,,,1.57,0.76,14134,-0.24213322999999998,124,0,,,,,,,,,,
0.9,-0.08887101350352168,0,3750,3750,1.22,2282,,,,,,,1240,0.1542496584355831,-0.018983981553465146,-0.26504338085651397,0.015450791,0.09333333596587182,0.001,0.2,0.20867955684661865,0.022862181067466736
,,,,3750,,,1.6,0.76,14238,-0.24076371000000002,125,0,,,,,,,,,,
0.96,-0.027736863140016794,0,3780,3780,1.12,2298,,,,,,,1250,0.18100035488605498,-0.011332156006246662,-0.17603909745812416,0.0754401,0.06000000201165676,0.001,0.2,0.11337637901306152,0.053197719156742096
,,,,3780,,,1.7,0.71,14339,-0.29728193999999997,126,0,,,,,,,,,,
0.96,-0.02748301897197962,0,3810,3810,1.1,2313,,,,,,,1260,0.17590011805295944,-0.02107027831797801,-0.4567708224058151,0.038794175,0.13666667006909847,0.001,0.2,0.25392186641693115,0.03933652490377426
,,,,3810,,,1.74,0.69,14444,-0.31735308,127,0,,,,,,,,,,
0.8,-0.13399354979861527,0,3840,3840,1.48,2331,,,,,,,1270,0.16774833127856253,-0.028546594070115415,-0.4474003866314888,0.11755546,0.1800000060349703,0.001,0.2,0.12304723262786865,0.00519857183098793
,,,,3840,,,1.74,0.69,14561,-0.32835484000000004,128,0,,,,,,,,,,
0.96,-0.028534204522147773,0,3870,3870,1.14,2347,,,,,,,1280,0.15940755158662795,-0.05570765649278968,-0.7145976901054383,0.06952349,0.31000000461935995,0.001,0.2,0.30986547470092773,-0.028220385313034058
,,,,3870,,,1.78,0.66,14669,-0.34019707000000005,129,0,,,,,,,,,,
0.94,-0.048571619144640865,0,3900,3900,1.18,2367,,,,,,,1290,0.17197977006435394,-0.05484790232653438,-0.48877811133861543,0.084729575,0.24666667282581328,0.001,0.2,0.2274690866470337,-0.017752058804035187
,,,,3900,,,1.77,0.67,14775,-0.33050006,130,0,,,,,,,,,,
0.84,-0.1548493585269898,0,3930,3930,1.44,2382,,,,,,,1300,0.17342520356178284,-0.04470150820910916,-0.5639059394598007,0.037747804,0.226666671782732,0.001,0.2,0.13706398010253906,-0.0036601126194000244
,,,,3930,,,1.8,0.65,14905,-0.3692368200000001,131,0,,,,,,,,,,
0.84,-0.15532996406778693,0,3960,3960,1.34,2400,,,,,,,1310,0.19796525835990905,-0.04664854844411206,-0.5334554731845855,0.038429484,0.19333333894610405,0.001,0.2,0.1856335997581482,0.01110365241765976
,,,,3960,,,1.72,0.71,15026,-0.30391739000000006,132,0,,,,,,,,,,
0.86,-0.09344437948893755,0,3990,3990,1.34,2421,,,,,,,1320,0.18708551675081253,-0.028346106493845547,-0.5406492292881012,0.02003087,0.07000000327825547,0.001,0.2,0.08617538213729858,0.011942282319068909
,,,,3990,,,1.66,0.75,15139,-0.26245232,133,0,,,,,,,,,,
0.9,-0.06959589075297118,0,4020,4020,1.22,2444,,,,,,,1330,0.1897278532385826,-0.027360545151556614,-0.43961336016654967,0.1194619,0.13333333730697633,0.001,0.2,-0.2401942014694214,0.025122258812189102
,,,,4020,,,1.54,0.81,15249,-0.21231149000000002,134,0,,,,,,,,,,
0.9,-0.09462972415145486,0,4050,4050,1.3,2461,,,,,,,1340,0.11287397965788841,-0.012524394076317691,-0.14306306689977646,0.037915725,0.030000001564621924,0.001,0.2,0.2242220640182495,0.037495311349630356
,,,,4050,,,1.58,0.79,15372,-0.22532861999999998,135,0,,,,,,,,,,
0.88,-0.10973502441309392,0,4080,4080,1.26,2481,,,,,,,1350,0.16248064190149308,-7.90339732702705e-05,-0.11758212447166443,5.1816305e-06,0.0,0.001,0.2,0.13373446464538574,0.06657323241233826
,,,,4080,,,1.53,0.82,15485,-0.16859212999999998,136,0,,,,,,,,,,
0.88,-0.1307344116643071,0,4110,4110,1.38,2501,,,,,,,1360,0.18662179112434388,-0.001098211505983837,-0.07661728635430336,0.0022264163,0.013333334028720856,0.001,0.2,-0.6739847660064697,0.0683310255408287
,,,,4110,,,1.49,0.85,15615,-0.1339003,137,0,,,,,,,,,,
0.9,-0.11015052375849337,0,4140,4140,1.24,2519,,,,,,,1370,0.1395488366484642,-0.0035791015617239186,-0.09127786979079247,0.026211865,0.023333334550261497,0.001,0.2,0.047445058822631836,0.0652054101228714
,,,,4140,,,1.54,0.82,15736,-0.17821521,138,0,,,,,,,,,,
0.86,-0.09477194568142294,0,4170,4170,1.36,2537,,,,,,,1380,0.2590941101312637,-0.0001259124269850531,-0.1296420492231846,4.2041142e-06,0.0,0.001,0.2,0.13219499588012695,0.10274171829223633
,,,,4170,,,1.62,0.78,15851,-0.20090045000000004,139,0,,,,,,,,,,
0.88,-0.08960862654261291,0,4200,4200,1.3,2558,,,,,,,1390,0.2348416715860367,-0.02087972666757807,-0.15515992641448975,0.0146072805,0.06000000089406967,0.001,0.2,0.08336091041564941,0.05643327534198761
,,,,4200,,,1.59,0.78,15964,-0.20180063,140,0,,,,,,,,,,
0.9,-0.09031134439166635,0,4230,4230,1.24,2581,,,,,,,1400,0.1812954306602478,-0.005193578133669963,-0.10572884231805801,0.00091510813,0.01666666753590107,0.001,0.2,0.16838359832763672,0.07142484188079834
,,,,4230,,,1.5,0.83,16076,-0.16670833,141,0,,,,,,,,,,
0.9,-0.10919897385872901,0,4260,4260,1.22,2596,,,,,,,1410,0.11162208914756774,-3.293405222049017e-06,-0.09546505510807038,7.947286e-09,0.0,0.001,0.2,0.09387928247451782,0.0448034405708313
,,,,4260,,,1.57,0.79,16189,-0.16891644,142,0,,,,,,,,,,
