env/n_steps,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl
,,1200,,,,,0,-0.19528047,4787,2.0,40,0.83,,,,,,,,,,
1230,1.48,1230,0.92,557,0,-0.09743220994714648,,,,,,,400,-0.09316730499267578,0.11080631539225579,0.001,0.031182460486888885,-0.006401870400489606,0.01666666753590107,0.2,-0.171501824259758,0.004574404
,,1230,,,,,0,-0.18824923,4910,1.98,41,0.83,,,,,,,,,,
1260,1.34,1260,0.96,573,0,-0.050525236688554284,,,,,,,410,0.16483968496322632,0.21418499052524567,0.001,0.09082051366567612,0.0011916229053167803,0.0,0.2,-0.13569648712873458,6.099542e-07
,,1260,,,,,0,-0.21212587000000002,5032,2.09,42,0.8,,,,,,,,,,
1290,1.06,1290,1.0,586,0,-0.007252748892642558,,,,,,,420,0.16803568601608276,0.142014092952013,0.001,0.03027193248271942,-0.00954010884083516,0.04666666761040687,0.2,-0.12712612450122834,0.009017334
,,1290,,,,,0,-0.20208400000000004,5129,2.01,43,0.82,,,,,,,,,,
1320,1.28,1320,0.96,607,0,-0.05107441029511392,,,,,,,430,-0.18798720836639404,0.19792578220367432,0.001,0.06308116018772125,-5.0569921484111546e-05,0.0,0.2,-0.1001466155052185,1.8397967e-06
,,1320,,,,,0,-0.17795609,5245,1.94,44,0.84,,,,,,,,,,
1350,1.34,1350,0.94,624,0,-0.0526904635084793,,,,,,,440,0.21773487329483032,0.10132332816720009,0.001,0.02705572172999382,-0.006876818700693477,0.023333334550261497,0.2,-0.10207681730389595,0.009412801
,,1350,,,,,0,-0.15768713,5355,1.77,45,0.86,,,,,,,,,,
