eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,env/n_steps,eval/mean_reward,rollout/ep_len_mean,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss
,,19200,,,,,2.21,0,0.75,64,28518,-0.33636402000000004,,,,,,,,,,
1.24,0.94,19500,8649,0,19500,-0.06978165205568075,,,,,,,-0.0917476937174797,-0.5171655559539795,0.18646772,0.1552278995513916,640,0.001,0.29551136344671247,0.2,-0.05031855471432209,0.11655997171998024
,,19500,,,,,2.29,0,0.74,65,28935,-0.34212361999999996,,,,,,,,,,
1.46,0.94,19800,8811,0,19800,-0.08087464061565697,,,,,,,-0.07606950402259827,-0.455341100692749,0.13736796,0.05832505226135254,650,0.001,0.2751136365532875,0.2,-0.05096075708046555,0.12796593621373176
,,19800,,,,,1.84,0,0.84,66,29373,-0.21188217,,,,,,,,,,
1.48,0.92,20100,8948,0,20100,-0.09560800882522016,,,,,,,-0.052468426525592804,-0.394671511054039,0.11387022,0.19856804609298706,660,0.001,0.22338068187236787,0.2,-0.04661778775975108,0.10810012623667717
,,20100,,,,,2.01,0,0.8,67,29821,-0.23035839000000002,,,,,,,,,,
1.82,0.86,20400,9099,0,20400,-0.15841499872505665,,,,,,,-0.05531039834022522,-0.4216924822330475,0.09610595,0.17755234241485596,670,0.001,0.2593465915322304,0.2,-0.05176458228379488,0.1262765409052372
,,20400,,,,,1.88,0,0.9,68,30277,-0.12898010000000001,,,,,,,,,,
1.42,0.92,20700,9238,0,20700,-0.07346744423732161,,,,,,,-0.03774869441986084,-0.3997074782848358,0.12563649,-0.04748272895812988,680,0.001,0.24232954621315003,0.2,-0.04840861316770315,0.10633448369801045
,,20700,,,,,2.09,0,0.82,69,30701,-0.2227269,,,,,,,,,,
1.48,0.9,21000,9391,0,21000,-0.10223575956188143,,,,,,,-0.046980686485767365,-0.37872574269771575,0.10696292,0.1193193793296814,690,0.001,0.23278409093618393,0.2,-0.0399769489094615,0.10848596435040235
,,21000,,,,,1.91,0,0.84,70,31231,-0.20812202,,,,,,,,,,
1.28,0.94,21300,9552,0,21300,-0.04959643895272166,,,,,,,-0.03192445635795593,-0.34664584398269654,0.1354491,-0.15431690216064453,700,0.001,0.18610795453190804,0.2,-0.04027633771300316,0.1368219643086195
,,21300,,,,,1.92,0,0.85,71,31665,-0.21842682999999996,,,,,,,,,,
1.56,0.9,21600,9695,0,21600,-0.12427562855184078,,,,,,,-0.0561019666492939,-0.3519310998916626,0.13622327,0.009632527828216553,710,0.001,0.21221590921282768,0.2,-0.04226208394044079,0.11636604502797127
,,21600,,,,,2.03,0,0.84,72,32129,-0.22029172000000002,,,,,,,,,,
1.16,1.0,21900,9834,0,21900,-0.008735104175284504,,,,,,,-0.032281674444675446,-0.3630752372741699,0.16189459,0.0873909592628479,720,0.001,0.208125,0.2,-0.042698721466585994,0.11018972896039486
,,21900,,,,,2.19,0,0.79,73,32553,-0.24420507999999994,,,,,,,,,,
1.08,1.0,22200,9984,0,22200,-0.008737755231559277,,,,,,,-0.06503858417272568,-0.4139029139280319,0.17201813,0.234147310256958,730,0.001,0.2651420456171036,0.2,-0.04794396869488992,0.1060764480382204
,,22200,,,,,2.13,0,0.79,74,32972,-0.24401132,,,,,,,,,,
1.16,0.98,22500,10137,0,22500,-0.028373108222149314,,,,,,,-0.0430351197719574,-0.446350981593132,0.08900948,0.09486591815948486,740,0.001,0.23934659078717233,0.2,-0.05397818755358458,0.12657813280820845
