rollout/ep_rew_mean,rollout/ep_len_mean,env/completion_counter,time/fps,rollout/success_rate,time/total_timesteps,time/iterations,time/time_elapsed,env/current_idx,env/n_steps,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-0.05058670999999999,1.27,0,0,0.96,16620,554,21502,12123,16620,0.0001,-0.000807955116033554,0.0,0.0,0.02313361831009388,27650,0.2,0.0028053971473127604,0.4745902419090271,-3.0853350775572606e-07,,,
-0.04974079,1.28,0,0,0.96,16650,555,21546,12146,16650,0.0001,-0.001029388587921858,3.973643e-09,0.0,0.011679040919989347,27700,0.2,0.0005093448562547565,-200.30723571777344,-1.5897452803015354e-06,,,
-0.0495574,1.25,0,0,0.96,16680,556,21584,12167,16680,0.0001,-0.007048662090674043,0.1286857,0.03066666826605797,0.0603022641595453,27750,0.2,-0.0017461488023400307,0.2763764262199402,-0.004497264538619987,,,
-0.05044866,1.28,0,0,0.96,16710,557,21617,12192,16710,0.0001,-0.0007480219786521047,0.0,0.0,0.02913400887977332,27800,0.2,0.0017043401021510363,0.2958025336265564,-2.3249685992787762e-06,,,
-0.06019978,1.27,0,0,0.95,16740,558,21652,12216,16740,0.0001,-0.0006011663540266454,0.0,0.0,0.029186763013713063,27850,0.2,0.0019316173857077956,-2.2620656490325928,-9.238720004134393e-08,,,
-0.04996401000000002,1.27,0,0,0.95,16770,559,21687,12242,16770,0.0001,-0.0007060836884193123,0.0,0.0,0.02688819241710007,27900,0.2,0.0021632355637848377,0.3785892724990845,-1.455446087783585e-07,,,
-0.018645999999999996,1.18,0,0,0.98,16800,560,21722,12269,16800,0.0001,-0.0007922082068398595,1.9868216e-09,0.0,0.014040630212984979,27950,0.2,0.0011295480653643608,-127.43156433105469,-1.5189349536104402e-06,,,
-0.038402519999999996,1.2,0,0,0.96,16830,561,21755,12291,16830,0.0001,-0.0008567067026160657,0.0,0.0,0.0037431343318894503,28000,0.2,0.0005106159951537848,-78.3456039428711,-1.3846655653182438e-07,,,
-0.027540659999999998,1.13,0,0,0.98,16860,562,21797,12320,16860,0.0001,-0.0010480191884562372,0.0,0.0,0.08687580911442637,28050,0.2,0.004456684924662113,-0.20537316799163818,-2.066751322020721e-06,,,
-0.02755304,1.13,0,0,0.98,16890,563,21830,12349,16890,0.0001,-0.015460775829851628,0.19100185,0.02866666816174984,0.011085459743626416,28100,0.2,-0.002101112622767687,-727.0726318359375,-0.002699816386981766,,,
-0.028061799999999994,1.14,0,0,0.97,16920,564,21863,12375,16920,0.0001,-0.0006598996231332421,0.0,0.0,0.003930381867103278,28150,0.2,0.000640171580016613,-221.32952880859375,-9.179612032284012e-08,,,
-0.007784180000000001,1.09,0,0,0.99,16950,565,21897,12402,16950,0.0001,-0.014350380243267864,0.35538343,0.029333334341645242,0.0017787931906059385,28200,0.2,-0.009007317014038563,-11.103667259216309,-0.0034782182231143464,,,
-0.01863191,1.14,0,0,0.98,16980,566,21930,12426,16980,0.0001,-0.03968527141958475,1.0245895,0.08333333559334279,0.0018972197989933193,28250,0.2,-0.02595388889312744,-74.48934173583984,-0.022922150656580927,,,
