env/current_idx,env/n_steps,time/total_timesteps,eval/success_rate,env/completion_counter,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl
18603,37800,37800,0.96,0,1.26,-0.031238507237285374,,,,,,,-0.08017267063260078,1250,-0.01682865619659424,0.001,0.02109375037252903,0.20221404805779458,-0.003778317707747192,0.06533258408308029,0.2,0.010813659
,,37800,,,,,54533,-0.13272035999999995,0,1.75,126,0.9,,,,,,,,,,
18756,38100,38100,0.92,0,1.34,-0.09152508531231433,,,,,,,-0.09520811960101128,1260,0.34558922052383423,0.001,0.032705966383218765,0.14385862983763217,-0.003415202762698755,0.09517733007669449,0.2,0.0075760037
,,38100,,,,,54956,-0.19548119,0,1.95,127,0.83,,,,,,,,,,
18903,38400,38400,0.94,0,1.3,-0.07317202703095972,,,,,,,-0.05380414454266429,1270,0.15967082977294922,0.001,0.02464488670229912,0.17971958741545677,-0.0025841707043582573,0.07673882693052292,0.2,0.007474115
,,38400,,,,,55370,-0.19160235999999994,0,2.02,128,0.84,,,,,,,,,,
19049,38700,38700,0.9,0,1.62,-0.1171076211053878,,,,,,,-0.1507859595119953,1280,0.2658005356788635,0.001,0.04147727340459824,0.17150961086153985,-0.0068673415167722855,0.047586191445589066,0.2,0.020630613
,,38700,,,,,55784,-0.21716654999999999,0,2.01,129,0.84,,,,,,,,,,
19197,39000,39000,0.98,0,1.22,-0.030760260145179928,,,,,,,-0.05639032102189958,1290,0.24093329906463623,0.001,0.009659091010689735,0.2002893052995205,-0.0022171235765199525,0.0761457309126854,0.2,0.0078122057
,,39000,,,,,56187,-0.18726272,0,1.96,130,0.82,,,,,,,,,,
19375,39300,39300,0.96,0,1.26,-0.051808415683917704,,,,,,,-0.037871911842375997,1300,0.34954798221588135,0.001,0.028924006223678588,0.1466741267591715,-0.004670662328135222,0.04369327798485756,0.2,0.10243117
,,39300,,,,,56590,-0.14480045,0,1.61,131,0.89,,,,,,,,,,
19522,39600,39600,0.9,0,1.66,-0.0795874797925353,,,,,,,-0.02998589612543583,1310,0.2935417890548706,0.001,0.005397727340459823,0.15367639511823655,-0.00163285912444735,0.03641631826758385,0.2,0.027583186
,,39600,,,,,57022,-0.19380673,0,2.16,132,0.81,,,,,,,,,,
19668,39900,39900,0.9,0,1.58,-0.11668420347385108,,,,,,,-0.0711444700602442,1320,0.05595386028289795,0.001,0.03364701755344868,0.20152899175882338,-0.006840618593560066,0.07792604714632034,0.2,0.06467986
,,39900,,,,,57454,-0.27915497,0,2.18,133,0.76,,,,,,,,,,
19816,40200,40200,0.92,0,1.38,-0.09250894155818969,,,,,,,-0.056306936359032986,1330,0.2571512460708618,0.001,0.021946023032069207,0.1823699116706848,-0.0054593239852692935,0.0730418786406517,0.2,0.008571691
,,40200,,,,,57885,-0.18636349,0,1.9,134,0.85,,,,,,,,,,
19959,40500,40500,0.94,0,1.42,-0.07356363433413207,,,,,,,-0.049751626793295145,1340,0.2117430567741394,0.001,0.011150568351149559,0.18405842557549476,-0.002474858062259955,0.06748685985803604,0.2,0.0036321492
,,40500,,,,,58307,-0.19950849,0,2.03,135,0.85,,,,,,,,,,
20114,40800,40800,0.96,0,1.3,-0.05028110357001424,,,,,,,-0.047091886936686936,1350,0.2800213694572449,0.001,0.008682528510689735,0.15725630894303322,-0.0030426470098973367,0.06176149100065231,0.2,0.0010038296
,,40800,,,,,58710,-0.23095274,0,2.02,136,0.8,,,,,,,,,,
20264,41100,41100,0.94,0,1.32,-0.073160730721429,,,,,,,-0.12493571117520333,1360,0.25373202562332153,0.001,0.029740767553448677,0.17855225950479509,-0.004444143297587288,0.09210976213216782,0.2,0.0102790315
,,41100,,,,,59117,-0.23421937999999998,0,2.03,137,0.8,,,,,,,,,,
20416,41400,41400,0.98,0,1.14,-0.033537930892780426,,,,,,,-0.06407271062489599,1370,0.38823169469833374,0.001,0.01560724452137947,0.15496507622301578,-0.003789808106375858,0.05635620281100273,0.2,0.004670321
