time/time_elapsed,time/fps,env/current_idx,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,env/n_steps,rollout/ep_len_mean,time/iterations,env/completion_counter,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate
2769,0,1664,2400,-0.04979735,0.94,2400,1.25,40,0,0.2,390,-0.8135908663272857,-0.06312395632266998,-0.03975833757159606,0.04134728312492371,0.10503482818603516,0.10666666980832815,0.019313952,0.001
2852,0,1707,2460,-0.08138042000000001,0.9,2460,1.37,41,0,0.2,400,-0.8871165633201599,-0.04410392791032791,-0.0482769192382694,0.10287734642624854,0.11433911323547363,0.2150000013411045,0.032232378,0.001
2928,0,1758,2520,-0.06988474000000001,0.93,2520,1.25,42,0,0.2,410,-0.6998135983943939,-0.035657212138175964,-0.03079780718117644,0.09107462503015995,0.3758712410926819,0.10500000212341547,0.047185935,0.001
2999,0,1807,2580,-0.049591140000000006,0.95,2580,1.2,43,0,0.2,420,-0.9002681791782379,-0.04196399450302124,-0.029352161415542154,0.06632315330207347,0.10411679744720459,0.12500000316649676,0.03450766,0.001
3070,0,1858,2640,-0.049693320000000006,0.95,2640,1.22,44,0,0.2,430,-0.8289301097393036,-0.011755552142858505,-0.034869405099501274,0.13237221986055375,-0.6545919179916382,0.10166666992008686,0.02163741,0.001
3147,0,1902,2700,-0.05978900999999999,0.95,2700,1.25,45,0,0.2,440,-0.9722822189331055,-0.0270087830722332,-0.04131944057842105,0.09184900000691414,0.02170538902282715,0.12666666954755784,0.03223201,0.001
3214,0,1944,2760,-0.07152903999999999,0.93,2760,1.34,46,0,0.2,450,-0.8833472430706024,-0.024335511028766632,-0.041289486985964,0.1187759853899479,0.1336606740951538,0.19500000402331352,0.019687872,0.001
3284,0,1992,2820,-0.08167803999999998,0.92,2820,1.35,47,0,0.2,460,-0.8085582196712494,-0.022955935448408127,-0.03487011484180889,0.1053026258945465,0.17094701528549194,0.12666666954755784,0.020275855,0.001
3356,0,2036,2880,-0.060228559999999993,0.93,2880,1.29,48,0,0.2,470,-0.9417402029037476,-0.06580624729394913,-0.048338748784735944,0.06811699010431767,0.38345277309417725,0.10500000137835741,0.026953151,0.001
3429,0,2082,2940,-0.07147544,0.92,2940,1.31,49,0,0.2,480,-0.845667964220047,-0.050700124353170395,-0.04767372590179244,0.06971736252307892,0.2128404974937439,0.20333333127200603,0.04993682,0.001
