eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
0.94,-0.07324501455295832,14100,14100,0,6229,1.44,,,,,,,0.001,-0.024858697429299356,-0.65416002035141,0.1142045459151268,0.0189407579600811,0.022630181,0.1540563741326332,230,0.2,0.2110806107521057
,,,14100,,,,-0.23985472000000005,47,2.2,0.8,22195,0,,,,,,,,,,
0.96,-0.051545202541165056,14400,14400,0,6379,1.24,,,,,,,0.001,-0.03326156391762197,-0.6853785800933838,0.1451704543828964,0.008235514163970947,0.02293486,0.16484169960021972,235,0.2,0.17050325870513916
,,,14400,,,,-0.22764813999999997,48,2.18,0.78,22644,0,,,,,,,,,,
0.94,-0.03624013734050095,14700,14700,0,6519,1.46,,,,,,,0.001,-0.03059324004687369,-0.6825509238243103,0.11681818157434463,0.012290764600038528,0.029394165,0.1370306333899498,240,0.2,0.15088379383087158
,,,14700,,,,-0.21623538,49,2.26,0.8,23106,0,,,,,,,,,,
0.96,-0.05163669492118061,15000,15000,0,6655,1.3,,,,,,,0.001,-0.03247319467365742,-0.7264031028747558,0.1725568175315857,-0.009933855384588242,0.029342715,0.1574399107694626,245,0.2,0.14094364643096924
,,,15000,,,,-0.2651256900000001,50,2.23,0.78,23586,0,,,,,,,,,,
0.9,-0.11551884560845792,15300,15300,0,6798,1.58,,,,,,,0.001,-0.020518378261476754,-0.7602714371681213,0.19443181812763213,0.018712922930717468,0.028980002,0.20097432017326355,250,0.2,0.05096232891082764
,,,15300,,,,-0.19198960999999992,51,2.06,0.83,24058,0,,,,,,,,,,
0.96,-0.049717363393865524,15600,15600,0,6946,1.18,,,,,,,0.001,-0.026900808867067097,-0.8241804385185242,0.1934659093618393,-0.011162139475345612,0.024542699,0.1721474239230156,255,0.2,0.12115401029586792
,,,15600,,,,-0.18395337999999994,52,2.02,0.85,24489,0,,,,,,,,,,
0.96,-0.031688401186838744,15900,15900,0,7062,1.42,,,,,,,0.001,-0.04464864313602448,-0.7866276025772094,0.15835227191448212,0.012364432215690613,0.035556607,0.19377380907535552,260,0.2,-0.011976361274719238
,,,15900,,,,-0.3361595399999999,53,2.46,0.73,24942,0,,,,,,,,,,
0.92,-0.0547178657585755,16200,16200,0,7203,1.5,,,,,,,0.001,-0.03270533084869385,-0.8016338181495667,0.21045454502105712,0.004427030682563782,0.03074373,0.21535658359527587,265,0.2,0.14584171772003174
,,,16200,,,,-0.25289443999999994,54,2.08,0.8,25488,0,,,,,,,,,,
0.96,-0.037857039733789864,16500,16500,0,7338,1.46,,,,,,,0.001,-0.04120220337063074,-0.8638334155082703,0.19375000059604644,0.02771231159567833,0.0360998,0.19583407938480377,270,0.2,0.18736624717712402
,,,16500,,,,-0.24466669999999996,55,2.3,0.79,25969,0,,,,,,,,,,
0.9,-0.09816755328327417,16800,16800,0,7467,1.64,,,,,,,0.001,-0.03438032899750396,-0.7689532852172851,0.14568181902170182,0.01800808310508728,0.024948616,0.1773037666082382,275,0.2,0.1730850338935852
,,,16800,,,,-0.29195693,56,2.36,0.72,26430,0,,,,,,,,,,
0.94,-0.03245266254991293,17100,17100,0,7624,1.32,,,,,,,0.001,-0.037808059304952624,-0.757751886844635,0.20778409123420716,0.02690979838371277,0.046812914,0.17145605474710465,280,0.2,0.16599667072296143
,,,17100,,,,-0.13036224000000002,57,1.87,0.87,26857,0,,,,,,,,,,
0.98,-0.03194413710385561,17400,17400,0,7775,1.36,,,,,,,0.001,-0.035763710588216785,-0.7999288034439087,0.16772727340459823,-0.05073064938187599,0.031298243,0.16404230237007142,285,0.2,-0.10162603855133057
,,,17400,,,,-0.15186968,58,1.93,0.86,27293,0,,,,,,,,,,
0.94,-0.0710101683344692,17700,17700,0,7903,1.38,,,,,,,0.001,-0.028258904218673705,-0.8148177027702331,0.2109659093618393,-0.009800858795642853,0.031562,0.1552138978242874,290,0.2,-0.06406986713409424
,,,17700,,,,-0.32614902000000007,59,2.36,0.73,27753,0,,,,,,,,,,
0.92,-0.09262456817086787,18000,18000,0,8046,1.44,,,,,,,0.001,-0.036284769827034324,-0.8876067924499512,0.17318181872367858,-0.007774583995342255,0.028148402,0.19467044591903687,295,0.2,0.20399874448776245
,,,18000,,,,-0.27989355,60,2.24,0.76,28238,0,,,,,,,,,,
1.0,-0.008784727440215648,18300,18300,0,8197,1.18,,,,,,,0.001,-0.04917856415733695,-0.8376651668548584,0.20039772719144822,-0.0014207735657691956,0.027741786,0.1703903293609619,300,0.2,0.22517800331115723
,,,18300,,,,-0.19067025999999998,61,1.94,0.85,28700,0,,,,,,,,,,
0.96,-0.05701578902080655,18600,18600,0,8320,1.32,,,,,,,0.001,-0.03437449650838971,-0.7938219404220581,0.20454545557498932,-0.004327159374952316,0.030388549,0.1850963345170021,305,0.2,0.03542226552963257
,,,18600,,,,-0.28210497000000007,62,2.33,0.76,29155,0,,,,,,,,,,
0.92,-0.09124169101472944,18900,18900,0,8454,1.4,,,,,,,0.001,-0.0347251439653337,-0.7506549429893493,0.13750000029802323,-0.017635174095630646,0.029592592,0.19865020245313644,310,0.2,0.03997063636779785
,,,18900,,,,-0.23931571999999998,63,2.09,0.8,29587,0,,,,,,,,,,
0.86,-0.13609769767615945,19200,19200,0,8582,1.64,,,,,,,0.001,-0.03023539738729596,-0.5868181371688843,0.14289772808551787,0.02741081267595291,0.030604511,0.18855879187583924,315,0.2,0.11391639709472656
,,,19200,,,,-0.26480653,64,2.32,0.75,30049,0,,,,,,,,,,
0.94,-0.07536004144698381,19500,19500,0,8735,1.44,,,,,,,0.001,-0.02877243211492896,-0.5943924224376679,0.1376136362552643,0.001466892659664154,0.025830816,0.19650417685508728,320,0.2,0.051367878913879395
,,,19500,,,,-0.20422976,65,2.04,0.82,30507,0,,,,,,,,,,
0.92,-0.09450312946457416,19800,19800,0,8884,1.44,,,,,,,0.001,-0.018456307891756295,-0.6323090982437134,0.16488636344671248,0.03101244568824768,0.05204178,0.14846661806106567,325,0.2,0.24196696281433105
,,,19800,,,,-0.25588183000000003,66,2.0,0.81,30978,0,,,,,,,,,,
0.94,-0.050142290289513766,20100,20100,0,9034,1.3,,,,,,,0.001,-0.035170710934326055,-0.700169792175293,0.1878977283835411,0.018486101180315018,0.06597241,0.15289185523986817,330,0.2,0.3868427872657776
,,,20100,,,,-0.18168520999999999,67,2.07,0.84,31407,0,,,,,,,,,,
0.9,-0.09931389491073787,20400,20400,0,9176,1.68,,,,,,,0.001,-0.028695904314517975,-0.6497508716583252,0.16227272748947144,0.031067734584212303,0.025329065,0.169731682240963,335,0.2,0.10655134916305542
,,,20400,,,,-0.25679123,68,2.14,0.78,31873,0,,,,,,,,,,
1.0,-0.012826054687611759,20700,20700,0,9331,1.4,,,,,,,0.001,-0.038909638389013707,-0.776515760421753,0.15392045497894288,0.0019950419664382935,0.03130597,0.20009561270475387,340,0.2,0.04596412181854248
,,,20700,,,,-0.11926874999999999,69,1.8,0.89,32346,0,,,,,,,,,,
0.94,-0.05164036436006427,21000,21000,0,9467,1.36,,,,,,,0.001,-0.032963857892900704,-0.5512130606174469,0.14795454621315002,0.019078299403190613,0.029894233,0.15820565193891525,345,0.2,0.22030574083328247
,,,21000,,,,-0.24163641000000002,70,2.16,0.8,32801,0,,,,,,,,,,
0.96,-0.05023386228363961,21300,21300,0,9615,1.3,,,,,,,0.001,-0.03254335584118962,-0.6257626581192016,0.15931818187236785,-0.015556272119283676,0.036653645,0.1834771701693535,350,0.2,0.13784277439117432
,,,21300,,,,-0.22949398999999995,71,2.09,0.82,33286,0,,,,,,,,,,
