eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,eval/mean_reward,env/current_idx,env/n_steps,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
,,13500,,,,,1.54,0.8,0,-0.18975783000000004,20009,45,,,,,,,,,,
1.32,0.88,13800,0,-0.0903352390602231,7992,13800,,,,,,,0.2,0.001,-0.00973810020077508,0.01182971,450,0.04666278511285782,0.04307528473436832,0.18019014596939087,0.17104130871593953,-0.23647528141736984
,,13800,,,,,1.7,0.68,0,-0.26362638,20463,46,,,,,,,,,,
1.26,0.9,14100,0,-0.09030514715705067,8172,14100,,,,,,,0.2,0.001,-0.013743812928441911,0.013223797,460,0.019125506281852722,0.05122514255344868,0.18079626560211182,0.17417671382427216,-0.30545405149459837
,,14100,,,,,1.63,0.73,0,-0.23545006000000002,20927,47,,,,,,,,,,
1.18,0.94,14400,0,-0.0684017630899325,8355,14400,,,,,,,0.2,0.001,-0.01691754813073203,0.034393582,470,0.050012439489364624,0.07238991558551788,0.02762240171432495,0.18992364183068275,-0.3998794347047806
,,14400,,,,,1.6,0.75,0,-0.26449175,21364,48,,,,,,,,,,
1.36,0.9,14700,0,-0.07153038784861565,8534,14700,,,,,,,0.2,0.001,-0.016941631422378124,0.018413108,480,0.03923794999718666,0.07366832494735717,0.1057402491569519,0.20003757923841475,-0.36901341676712035
,,14700,,,,,1.64,0.77,0,-0.1951839,21803,49,,,,,,,,,,
1.34,0.84,15000,0,-0.13105448447633536,8710,15000,,,,,,,0.2,0.001,-0.018201443506404756,0.01833362,490,0.021644383668899536,0.06466619409620762,0.13424354791641235,0.17963289245963096,-0.38336864709854124
,,15000,,,,,1.69,0.72,0,-0.27059116,22247,50,,,,,,,,,,
1.24,0.92,15300,0,-0.06963853474706411,8896,15300,,,,,,,0.2,0.001,-0.022050728346221148,0.024636876,500,0.04924875497817993,0.08996804095804692,0.12646442651748657,0.19367606565356255,-0.3345008224248886
,,15300,,,,,1.62,0.76,0,-0.19231874000000002,22703,51,,,,,,,,,,
1.3,0.88,15600,0,-0.1320889705652371,9080,15600,,,,,,,0.2,0.001,-0.01844014972448349,0.029075442,510,0.03010234422981739,0.07242542691528797,0.1219436526298523,0.16392442919313907,-0.25327483266592027
,,15600,,,,,1.63,0.75,0,-0.24755291999999998,23145,52,,,,,,,,,,
1.34,0.84,15900,0,-0.11106387745589018,9264,15900,,,,,,,0.2,0.001,-0.02194986441754736,0.022254487,520,0.05033070594072342,0.0953835241496563,0.24250245094299316,0.1660484679043293,-0.27582189440727234
,,15900,,,,,1.61,0.76,0,-0.22068196000000004,23604,53,,,,,,,,,,
1.2,0.92,16200,0,-0.08926638775039464,9459,16200,,,,,,,0.2,0.001,-0.012540125399721092,0.025062054,530,0.03152266517281532,0.06088423393666744,0.26785987615585327,0.15701199024915696,-0.22761136442422866
,,16200,,,,,1.5,0.84,0,-0.17689865000000005,24033,54,,,,,,,,,,
1.28,0.9,16500,0,-0.0933979924628511,9634,16500,,,,,,,0.2,0.001,-0.01818101913668215,0.024571555,540,0.03944972902536392,0.06624644994735718,0.10050511360168457,0.17007408142089844,-0.22421833574771882
,,16500,,,,,1.66,0.75,0,-0.19713790000000003,24468,55,,,,,,,,,,
1.28,0.88,16800,0,-0.12965363395400345,9821,16800,,,,,,,0.2,0.001,-0.015175475733121857,0.019953728,550,0.06286410987377167,0.09026988744735717,0.11798042058944702,0.17565392777323724,-0.2749394357204437
,,16800,,,,,1.61,0.74,0,-0.22260383,24907,56,,,,,,,,,,
1.12,0.96,17100,0,-0.04758752303663641,10017,17100,,,,,,,0.2,0.001,-0.015623599603713956,0.026582487,560,0.03831114619970322,0.05234375074505806,0.20576566457748413,0.16952767595648766,-0.2272200807929039
,,17100,,,,,1.54,0.79,0,-0.18824701000000005,25331,57,,,,,,,,,,
1.42,0.84,17400,0,-0.11447074376046658,10189,17400,,,,,,,0.2,0.001,-0.01843343353830278,0.020818645,570,0.04922756180167198,0.07105823941528797,0.1803346872329712,0.16657314337790013,-0.2566454354673624
,,17400,,,,,1.8,0.67,0,-0.29499344,25758,58,,,,,,,,,,
1.2,0.92,17700,0,-0.029063153248280287,10386,17700,,,,,,,0.2,0.001,-0.01783442716114223,0.028719697,580,0.01121007651090622,0.08652343824505807,0.2539883852005005,0.167209492623806,-0.25599643513560294
,,17700,,,,,1.56,0.82,0,-0.15304476000000003,26190,59,,,,,,,,,,
1.32,0.88,18000,0,-0.13361964062787593,10575,18000,,,,,,,0.2,0.001,-0.017184920329600572,0.010716704,590,0.0501016266644001,0.05211292654275894,0.10518306493759155,0.15350763201713563,-0.26110187321901324
,,18000,,,,,1.58,0.76,0,-0.21864832000000003,26634,60,,,,,,,,,,
1.26,0.92,18300,0,-0.07030274194199591,10763,18300,,,,,,,0.2,0.001,-0.01015479300676816,0.01164186,600,0.06924799829721451,0.03790838122367859,0.14580219984054565,0.1752970963716507,-0.19103503078222275
,,18300,,,,,1.66,0.75,0,-0.22564840999999997,27051,61,,,,,,,,,,
1.32,0.86,18600,0,-0.11105013846419752,10964,18600,,,,,,,0.2,0.001,-0.009661862433858914,0.028472573,610,0.04576965421438217,0.037943892553448676,0.06831562519073486,0.19134434834122657,-0.195357333868742
,,18600,,,,,1.5,0.8,0,-0.19616995999999992,27501,62,,,,,,,,,,
1.32,0.86,18900,0,-0.1315181428566575,11148,18900,,,,,,,0.2,0.001,-0.01620465362793766,0.032818526,620,0.027009116485714912,0.08989701829850674,0.1654876470565796,0.14813644401729106,-0.28031866550445556
,,18900,,,,,1.7,0.7,0,-0.23990481999999996,28069,63,,,,,,,,,,
1.18,0.92,19200,0,-0.07280997466761618,11323,19200,,,,,,,0.2,0.001,-0.011221432412276045,0.0114148315,630,0.07000605016946793,0.053444603085517885,0.1787264347076416,0.15943738333880902,-0.2456971973180771
,,19200,,,,,1.74,0.72,0,-0.26842549,28503,64,,,,,,,,,,
1.16,0.92,19500,0,-0.08822833803482354,11512,19500,,,,,,,0.2,0.001,-0.013332628516218392,0.02361341,640,0.029616408050060272,0.06772017143666745,0.2740822434425354,0.14528907388448714,-0.2510736398398876
,,19500,,,,,1.54,0.79,0,-0.18459775999999997,28928,65,,,,,,,,,,
1.5,0.82,19800,0,-0.11292853350751102,11713,19800,,,,,,,0.2,0.001,-0.022985490277642386,0.019745639,650,0.044132690876722336,0.07412997260689735,0.17948967218399048,0.15413320064544678,-0.3719547584652901
,,19800,,,,,1.46,0.83,0,-0.13826642999999997,29386,66,,,,,,,,,,
1.18,0.92,20100,0,-0.09214980110991747,11895,20100,,,,,,,0.2,0.001,-0.018938928318675607,0.022058157,660,0.04055563360452652,0.09106889329850673,0.2641723155975342,0.12667392045259476,-0.32784751877188684
,,20100,,,,,1.58,0.8,0,-0.18215754999999997,29810,67,,,,,,,,,,
1.22,0.92,20400,0,-0.07020375676453114,12075,20400,,,,,,,0.2,0.001,-0.01234623730997555,0.018454779,670,0.042408011853694916,0.045454546064138415,0.18595576286315918,0.15815143138170243,-0.23586969822645187
,,20400,,,,,1.6,0.75,0,-0.22491012999999999,30224,68,,,,,,,,,,
1.5,0.82,20700,0,-0.17498329015914352,12259,20700,,,,,,,0.2,0.001,-0.022572788738034432,0.03971935,680,0.03305383026599884,0.10324929095804691,0.21682411432266235,0.16661245599389077,-0.3669125437736511
,,20700,,,,,1.69,0.73,0,-0.267334,30644,69,,,,,,,,,,
1.26,0.88,21000,0,-0.13336848989129066,12439,21000,,,,,,,0.2,0.001,-0.018918744137044995,0.025461137,690,0.03620689734816551,0.08146306909620762,0.017658591270446777,0.21142466217279435,-0.3716613709926605
,,21000,,,,,1.74,0.73,0,-0.2709550300000001,31109,70,,,,,,,,,,
1.14,0.98,21300,0,-0.008578967070207,12631,21300,,,,,,,0.2,0.001,-0.026432940165977924,0.04160072,700,0.021969415247440338,0.09845525696873665,0.2530065178871155,0.1552432082593441,-0.40554994344711304
,,21300,,,,,1.54,0.81,0,-0.17942024999999998,31520,71,,,,,,,,,,
1.12,0.96,21600,0,-0.04811790132895112,12803,21600,,,,,,,0.2,0.001,-0.018147230718750507,0.04314596,710,0.046788498759269714,0.11221591047942639,0.0879967212677002,0.1750878468155861,-0.4331210866570473
,,21600,,,,,1.81,0.68,0,-0.33272851,31944,72,,,,,,,,,,
1.22,0.96,21900,0,-0.03110747130122036,12996,21900,,,,,,,0.2,0.001,-0.01941904890118167,0.01409454,720,0.05209117382764816,0.08327414877712727,0.16412591934204102,0.17299832329154013,-0.3549486368894577
,,21900,,,,,1.54,0.79,0,-0.17617028999999998,32395,73,,,,,,,,,,
1.18,0.94,22200,0,-0.02881076472811401,13173,22200,,,,,,,0.2,0.001,-0.0223377824324416,0.040440794,730,0.017476651817560196,0.09412287026643754,0.1589476466178894,0.1505986016243696,-0.4795576795935631
,,22200,,,,,1.69,0.71,0,-0.28172823,32834,74,,,,,,,,,,
1.5,0.8,22500,0,-0.2024850193504244,13354,22500,,,,,,,0.2,0.001,-0.022810479259351268,0.031684544,740,0.02696625515818596,0.124769177287817,0.13200020790100098,0.18868240900337696,-0.47597368657588957
,,22500,,,,,1.67,0.74,0,-0.24146762,33291,75,,,,,,,,,,
1.14,0.94,22800,0,-0.03236440802458674,13535,22800,,,,,,,0.2,0.001,-0.028115528874332087,0.023019716,750,0.018475312739610672,0.10282315462827682,0.08698791265487671,0.16824756041169167,-0.6193431586027145
,,22800,,,,,1.59,0.78,0,-0.20625321000000002,33724,76,,,,,,,,,,
1.28,0.92,23100,0,-0.0520125574292615,13702,23100,,,,,,,0.2,0.001,-0.028035755571909248,0.0237283,760,0.03162407875061035,0.14866832531988622,0.04151558876037598,0.1915407344698906,-0.5768255218863487
,,23100,,,,,1.85,0.61,0,-0.35538388,34154,77,,,,,,,,,,
1.18,0.92,23400,0,-0.06838004032149911,13881,23400,,,,,,,0.2,0.001,-0.03136307476088405,0.022450555,770,0.0017971061170101166,0.17977627888321876,0.13865363597869873,0.19960132502019406,-0.5509869486093522
,,23400,,,,,1.71,0.7,0,-0.27090349,34580,78,,,,,,,,,,
1.34,0.86,23700,0,-0.13161757493857296,14060,23700,,,,,,,0.2,0.001,-0.03142353491857648,0.060844984,780,0.010540314018726349,0.1591441761702299,0.13700294494628906,0.18214252404868603,-0.6124767944216728
,,23700,,,,,1.73,0.7,0,-0.26990854000000003,35024,79,,,,,,,,,,
1.22,0.92,24000,0,-0.06866006456315517,14227,24000,,,,,,,0.2,0.001,-0.03015050783578772,0.022120386,790,0.0035569071769714355,0.1281605117022991,0.14097779989242554,0.18841166235506535,-0.6923027366399765
,,24000,,,,,1.92,0.62,0,-0.34949465999999996,35447,80,,,,,,,,,,
1.2,0.92,24300,0,-0.07065960660111159,14403,24300,,,,,,,0.2,0.001,-0.03272902740282006,0.030693386,800,0.024769656360149384,0.17040127962827684,0.3029462695121765,0.17019102051854135,-0.55603758841753
,,24300,,,,,1.73,0.7,0,-0.2709636,35866,81,,,,,,,,,,
1.3,0.9,24600,0,-0.07221464563161134,14562,24600,,,,,,,0.2,0.001,-0.037403554935008285,0.04367216,810,-0.03936728090047836,0.20731534250080585,0.32812047004699707,0.1438790250569582,-0.7468827396631241
,,24600,,,,,1.92,0.62,0,-0.35761781,36292,82,,,,,,,,,,
1.24,0.92,24900,0,-0.06925220312085002,14754,24900,,,,,,,0.2,0.001,-0.03441311657661572,0.020974495,820,-0.0034887194633483887,0.13437500223517418,0.20669817924499512,0.16991962529718876,-0.6787799835205078
,,24900,,,,,1.67,0.76,0,-0.16138984999999997,36708,83,,,,,,,,,,
1.28,0.88,25200,0,-0.11031461083330214,14925,25200,,,,,,,0.2,0.001,-0.030810195673257112,0.032974686,830,0.0009611472487449646,0.14786931835114955,0.11930263042449951,0.14259996227920055,-0.657855436205864
,,25200,,,,,1.67,0.78,0,-0.18309027000000003,37122,84,,,,,,,,,,
1.12,0.98,25500,0,-0.007998676197603345,15096,25500,,,,,,,0.2,0.001,-0.02779672190081328,0.023022737,840,0.02747170999646187,0.15907315537333488,0.042161762714385986,0.18310303911566733,-0.6059881895780563
,,25500,,,,,1.72,0.73,0,-0.24633901000000002,37547,85,,,,,,,,,,
1.36,0.88,25800,0,-0.11218660222366453,15271,25800,,,,,,,0.2,0.001,-0.02783393911086023,0.021335823,850,0.06754431128501892,0.11793323941528797,0.1560690999031067,0.1858471430838108,-0.6244797646999359
,,25800,,,,,1.72,0.7,0,-0.24784720000000005,37971,86,,,,,,,,,,
1.14,0.94,26100,0,-0.04885527702514082,15437,26100,,,,,,,0.2,0.001,-0.030702645913697778,0.028147375,860,-0.0034957751631736755,0.14463778473436834,0.2293304204940796,0.14429286271333694,-0.5536257609724998
,,26100,,,,,1.71,0.74,0,-0.26521515,38378,87,,,,,,,,,,
1.24,0.92,26400,0,-0.07028745065443218,15633,26400,,,,,,,0.2,0.001,-0.025733857753220946,0.024270264,870,0.028916534036397934,0.13977272771298885,0.23499327898025513,0.18085868954658507,-0.5247774049639702
,,26400,,,,,1.62,0.76,0,-0.23278834000000004,38809,88,,,,,,,,,,
1.06,1.0,26700,0,-0.006623501726426184,15815,26700,,,,,,,0.2,0.001,-0.03448106439318508,0.02652596,880,0.027799267321825027,0.14314630702137948,0.1144292950630188,0.17547372877597808,-0.583970907330513
,,26700,,,,,1.64,0.74,0,-0.24326266,39225,89,,,,,,,,,,
1.3,0.88,27000,0,-0.0514398120995611,16002,27000,,,,,,,0.2,0.001,-0.02426632570568472,0.01783791,890,0.03577401861548424,0.12373934797942639,0.09848952293395996,0.1924207977950573,-0.40185547322034837
,,27000,,,,,1.59,0.74,0,-0.23753276,39660,90,,,,,,,,,,
