rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,env/n_steps,env/current_idx,time/fps,time/total_timesteps,env/completion_counter,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.94,3786,1.33,101,-0.061676940000000006,3030,2203,0,3030,0,0.2,5000,-0.060705662739152684,-0.17496893048286438,-120.07461547851562,0.007390172381419689,0.3720000027865171,0.86253446,0.001,-0.07525902986526489,,,
0.96,3822,1.27,102,-0.04160654,3060,2225,0,3060,0,0.2,5050,-0.06088656310488773,-0.1266769391298294,-15.320537567138672,9.514350695098983e-05,0.2693333437293768,0.6656452,0.001,-0.06797569990158081,,,
0.95,3859,1.32,103,-0.0520328,3090,2246,0,3090,0,0.2,5100,-0.09948117362707855,-0.17608966290950775,-0.016556978225708008,0.1078738546743989,0.4260000028461218,0.11975802,0.001,-0.1091575175523758,,,
0.95,3894,1.26,104,-0.051367919999999984,3120,2271,0,3120,0,0.2,5150,-0.06410256443421047,-0.1685695543885231,-0.018795132637023926,0.026867567379958927,0.3733333398401737,0.6971435,0.001,-0.06927986443042755,,,
0.94,3930,1.29,105,-0.06201692,3150,2294,0,3150,0,0.2,5200,-0.055471523990233605,-0.0839955996721983,0.3523235321044922,0.016647248984663746,0.182000003606081,0.27453992,0.001,-0.06375103443861008,,,
0.94,3971,1.31,106,-0.051353590000000005,3180,2316,0,3180,0,0.2,5250,-0.010079508272930972,-0.027277210857719184,0.0068092942237854,0.034745702878572045,0.09200000166893005,0.075442284,0.001,-0.010713526979088783,,,
0.95,4005,1.31,107,-0.04254261000000001,3210,2340,0,3210,0,0.2,5300,-0.03376219486196838,-0.029761933218687774,-19.250690460205078,0.0008684794994769618,0.09666666813194752,0.29167268,0.001,-0.03484370559453964,,,
0.95,4043,1.3,108,-0.052203849999999996,3240,2364,0,3240,0,0.2,5350,-0.049949526151021356,-0.05261038169264794,-0.023937344551086426,0.058481599949300286,0.12333333894610404,0.26694515,0.001,-0.05115755274891853,,,
0.94,4079,1.33,109,-0.0524764,3270,2386,0,3270,0,0.2,5400,-0.032434443590541664,-0.04079640589654446,0.061225712299346924,0.02689464004302863,0.09733333505690098,0.22856858,0.001,-0.03375450149178505,,,
0.96,4119,1.22,110,-0.04066311999999998,3300,2415,0,3300,0,0.2,5450,-0.012054438672649366,-0.06570533514022828,-0.38127100467681885,0.050820454638451334,0.07933333650231361,1.4972992,0.001,-0.02183147333562374,,,
0.97,4161,1.16,111,-0.02821169,3330,2442,0,3330,0,0.2,5500,-0.039980165948470425,-0.11887000001966953,-108.50209045410156,0.0004661339706945,0.2960000056028366,0.7333353,0.001,-0.05697453394532204,,,
0.99,4203,1.12,112,-0.007627050000000001,3360,2469,0,3360,0,0.2,5550,-0.04300171869993211,-0.08082786433398724,-33.541107177734375,0.000996096962480806,0.40800000354647636,2.865639,0.001,-0.04772321879863739,,,
0.97,4239,1.18,113,-0.03861482000000001,3390,2487,0,3390,0,0.2,5600,-0.021222453378140927,-0.007623653062037192,-43.15188980102539,0.00018357200700847899,0.1260000064969063,1.1543492,0.001,-0.02212287113070488,,,
0.97,4280,1.19,114,-0.038763650000000004,3420,2516,0,3420,0,0.2,5650,-4.955132855144484e-08,-6.394166659447365e-05,0.12069308757781982,0.08216983208432793,0.0,0.0,0.001,0.006964703090488911,,,
0.95,4312,1.24,115,-0.05966105999999999,3450,2539,0,3450,0,0.2,5700,-1.0342657615005635e-05,-0.000408524337108247,-613.260498046875,0.010063458852819167,0.0,0.0,0.001,7.701367576373741e-05,,,
0.93,4347,1.26,116,-0.06031134999999999,3480,2563,0,3480,0,0.2,5750,4.3034554373377885e-08,-8.104214663035237e-05,-0.017444372177124023,0.12480917409062385,0.0,0.0,0.001,0.003935002721846104,,,
0.95,4381,1.17,117,-0.038876810000000005,3510,2590,0,3510,0,0.2,5800,-4.90148861320705e-08,-0.00011487597308587283,-63.61907958984375,0.020711421454325318,0.0,0.0,0.001,0.0008436368079856038,,,
0.94,4420,1.25,118,-0.050281019999999996,3540,2611,0,3540,0,0.2,5850,-1.1515617241997233e-07,-9.982586663682014e-05,0.005897223949432373,0.09253633223474025,0.0,0.0,0.001,0.028475193306803703,,,
0.96,4455,1.24,119,-0.0302879,3570,2635,0,3570,0,0.2,5900,-0.0028679187566352303,-0.049239546693861484,-0.01999819278717041,0.036577916368842125,0.042000002190470696,0.21398062,0.001,0.001902625896036625,,,
