time/total_timesteps,env/n_steps,time/time_elapsed,time/fps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
58600,58600,178514,0,2910,9,-0.024174700000000004,1.05,1.0,586,-0.017317250557243823,0.052308066934347155,0.001,5850,-0.00431384112848896,-0.18889904022216797,0.014356976374983788,0.2,0.00075083907,0.004999999888241291,,,
58700,58700,178640,0,2991,9,-0.05994093,1.23,0.99,587,-0.006283576786518097,0.025897787325084208,0.001,5860,-0.0005968707536230689,-1.2484071254730225,0.010649366304278374,0.2,2.4932622e-06,0.0,,,
58800,58800,178768,0,3076,9,-0.044161519999999996,1.15,1.0,588,-0.0164421615190804,0.09966353252530098,0.001,5870,-0.00031686353115212285,0.4420115351676941,0.03691890090703964,0.2,5.180061e-05,0.0,,,
58900,58900,178891,0,3150,9,-0.06550289000000001,1.21,0.98,589,-0.03724110703915358,0.09478710666298866,0.001,5880,-0.0023669758234173164,0.0660049319267273,0.034469280391931534,0.2,0.00030252276,0.010999999754130841,,,
59000,59000,,,3240,9,,,,,-0.029724645242094994,0.13675171956419946,0.001,5890,-0.0023406200550962096,0.6914688348770142,0.04418446496129036,0.2,0.0003165829,0.0,1.24,-0.07837979132076725,0.98
59000,,179193,0,,,-0.05207168,1.15,0.99,590,,,,,,,,,,,,,
59100,59100,179322,0,3311,9,-0.08212538,1.35,0.99,591,-0.03243144247680903,0.08207960799336433,0.001,5900,1.4440949074945309e-05,0.21649420261383057,0.025745399296283722,0.2,7.69192e-05,0.0,,,
59200,59200,179446,0,3389,9,-0.08782449999999999,1.33,0.99,592,-0.07334215827286243,0.1273572601377964,0.001,5910,-0.018061419466510388,0.48382967710494995,0.023472566157579422,0.2,0.027890181,0.03899999912828207,,,
59300,59300,179579,0,3479,9,-0.04027671000000001,1.13,1.0,593,-0.04850244447588921,0.1375184804201126,0.001,5920,-0.003454295713687294,0.5194367170333862,0.050914883613586426,0.2,0.012836587,0.024999999068677427,,,
59400,59400,179710,0,3565,9,-0.049104150000000006,1.14,0.99,594,-0.014124429505318403,0.06420557871460915,0.001,5930,-0.010115102410316457,0.3231070041656494,0.01812506467103958,0.2,0.011160859,0.031999999284744264,,,
