eval/mean_reward,env/n_steps,env/current_idx,eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range
,,,,1080,,,4116,1.47,0,-0.21118216999999995,0.81,36,,,,,,,,,,
-0.0483106632810086,1110,650,0.94,1110,1.14,0,,,,,,,0.2900695204734802,0.001,0.0972375102341175,0.0,-0.09211269915103912,0.036111485213041306,360,-2.0101467941913143e-05,1.1920929e-08,0.2
,,,,1110,,,4222,1.48,0,-0.21571042000000007,0.8,37,,,,,,,,,,
-0.1537628202047199,1140,667,0.82,1140,1.46,0,,,,,,,0.3028600215911865,0.001,0.18960786759853362,0.0,-0.09216487929224967,0.08020540326833725,370,-4.617571840181966e-06,3.973643e-09,0.2
,,,,1140,,,4339,1.51,0,-0.23603285999999998,0.77,38,,,,,,,,,,
-0.06978483057115227,1170,686,0.92,1170,1.24,0,,,,,,,0.12387049198150635,0.001,0.19479137659072876,0.0,-0.0927718959748745,0.07653091102838516,380,-1.2190391823896362e-05,7.947286e-09,0.2
,,,,1170,,,4446,1.53,0,-0.22807966000000002,0.77,39,,,,,,,,,,
-0.02800392727833241,1200,702,0.94,1200,1.16,0,,,,,,,0.08634161949157715,0.001,0.19513354152441026,0.0,-0.09209607616066932,0.07881508022546768,390,-4.517584972862921e-06,3.973643e-09,0.2
,,,,1200,,,4563,1.6,0,-0.26521374999999997,0.74,40,,,,,,,,,,
-0.049735517953522504,1230,721,0.94,1230,1.16,0,,,,,,,0.23602116107940674,0.001,0.18655173778533934,0.01666666753590107,-0.09310689792037011,0.06901881843805313,400,-0.0033905918372330035,0.005090014,0.2
,,,,1230,,,4670,1.63,0,-0.27550369,0.72,41,,,,,,,,,,
-0.07346719490364194,1260,738,0.94,1260,1.14,0,,,,,,,0.045233726501464844,0.001,0.2171717405319214,0.0,-0.0725068524479866,0.09025588631629944,410,5.4503380724924e-05,3.4372013e-07,0.2
,,,,1260,,,4775,1.68,0,-0.28209686999999994,0.69,42,,,,,,,,,,
-0.09348026318475604,1290,759,0.9,1290,1.24,0,,,,,,,0.026070237159729004,0.001,0.179531329870224,0.0,-0.07050958126783372,0.05736056715250015,420,-0.0001358135551466244,1.7901261e-06,0.2
,,,,1290,,,4895,1.64,0,-0.25767504,0.72,43,,,,,,,,,,
-0.06893615111708641,1320,777,0.92,1320,1.16,0,,,,,,,0.004004240036010742,0.001,0.10738791078329087,0.0,-0.0826660893857479,0.027676662430167198,430,-0.0008346478580157247,7.27872e-05,0.2
,,,,1320,,,5003,1.64,0,-0.23544508000000003,0.73,44,,,,,,,,,,
-0.0900199263729155,1350,795,0.9,1350,1.3,0,,,,,,,-0.07906723022460938,0.001,0.1825481101870537,0.0,-0.09254098087549209,0.06583619117736816,440,-0.0010535887759033358,4.2714677e-05,0.2
,,,,1350,,,5113,1.62,0,-0.20015122999999999,0.73,45,,,,,,,,,,
-0.0919828633312136,1380,810,0.86,1380,1.34,0,,,,,,,0.1549011468887329,0.001,0.08241067603230476,0.05000000149011612,-0.17732888236641883,-0.019704287871718407,450,-0.018694998075564673,0.01455431,0.2
,,,,1380,,,5234,1.68,0,-0.20356153000000002,0.7,46,,,,,,,,,,
-0.029713013973087073,1410,828,0.94,1410,1.2,0,,,,,,,0.1013687252998352,0.001,0.1927296742796898,0.1633333381265402,-0.5466859251260757,-0.004919864237308502,460,-0.03983316273738939,0.08665787,0.2
,,,,1410,,,5349,1.67,0,-0.20986602999999998,0.71,47,,,,,,,,,,
-0.1345183643139899,1440,847,0.84,1440,1.36,0,,,,,,,-0.16278600692749023,0.001,0.2319687396287918,0.2500000074505806,-0.6743717670440674,0.002559848129749298,470,-0.05317763909697533,0.19946943,0.2
,,,,1440,,,5463,1.66,0,-0.20927916999999996,0.71,48,,,,,,,,,,
-0.07061472629662603,1470,863,0.92,1470,1.24,0,,,,,,,0.11338317394256592,0.001,0.1772989571094513,0.20666667334735395,-0.8887427806854248,-0.04475107043981552,480,-0.07069613454242551,0.032570455,0.2
,,,,1470,,,5569,1.71,0,-0.22956986000000001,0.69,49,,,,,,,,,,
-0.072052162848413,1500,879,0.86,1500,1.34,0,,,,,,,0.029237687587738037,0.001,0.20966215282678605,0.21333333738148214,-0.8669578313827515,-0.015503332018852234,490,-0.06119982332612075,0.105317116,0.2
,,,,1500,,,5716,1.76,0,-0.27177310000000005,0.65,50,,,,,,,,,,
-0.15559191074687986,1530,895,0.86,1530,1.32,0,,,,,,,0.15611958503723145,0.001,0.18958668708801268,0.27333333641290664,-1.0207017958164215,-0.04471006989479065,500,-0.06488960141936921,0.05559741,0.2
,,,,1530,,,5836,1.81,0,-0.29446284999999994,0.63,51,,,,,,,,,,
-0.09179082956165076,1560,911,0.9,1560,1.28,0,,,,,,,-0.4688805341720581,0.001,0.26879958510398866,0.2233333382755518,-0.8501139879226685,-0.008177191019058228,510,-0.058676756179581166,0.066179484,0.2
,,,,1560,,,5965,1.79,0,-0.27399427,0.64,52,,,,,,,,,,
-0.17602524508256465,1590,926,0.82,1590,1.36,0,,,,,,,-0.023676156997680664,0.001,0.1998005211353302,0.3233333401381969,-1.0205875039100647,-0.043492287397384644,520,-0.08712520663936925,0.07511298,0.2
,,,,1590,,,6101,1.82,0,-0.31197853999999997,0.62,53,,,,,,,,,,
-0.07043835357762873,1620,940,0.94,1620,1.16,0,,,,,,,0.1755790114402771,0.001,0.21078195571899414,0.31000000722706317,-1.2841807365417481,-0.01756981760263443,530,-0.05859132403507825,0.051885657,0.2
,,,,1620,,,6217,1.92,0,-0.36281704000000015,0.57,54,,,,,,,,,,
-0.13449045832734555,1650,953,0.86,1650,1.3,0,,,,,,,0.046482980251312256,0.001,0.2528440698981285,0.3833333417773247,-1.1051467657089233,-0.0170137882232666,540,-0.0816603806490697,0.07861795,0.2
,,,,1650,,,6335,1.98,0,-0.3954157800000001,0.54,55,,,,,,,,,,
-0.07171700614970178,1680,971,0.88,1680,1.34,0,,,,,,,-0.14865875244140625,0.001,0.2172126963734627,0.4000000037252903,-1.1155111193656921,-0.07650039345026016,550,-0.10477546701828651,0.11040252,0.2
,,,,1680,,,6464,1.96,0,-0.40219774,0.56,56,,,,,,,,,,
-0.15325019580777735,1710,985,0.86,1710,1.32,0,,,,,,,0.060746192932128906,0.001,0.25798838287591935,0.2666666705161333,-1.1732711434364318,-0.019472651183605194,560,-0.0719915567773084,0.04101564,0.2
,,,,1710,,,6604,1.99,0,-0.42161636999999996,0.55,57,,,,,,,,,,
-0.03181347831152379,1740,998,0.94,1740,1.18,0,,,,,,,0.41471636295318604,0.001,0.12016175538301468,0.3000000029802322,-1.1606292366981505,-0.08285748958587646,570,-0.06476718965917824,0.05508158,0.2
,,,,1740,,,6723,2.03,0,-0.4841004600000002,0.53,58,,,,,,,,,,
-0.09391492529772222,1770,1013,0.88,1770,1.24,0,,,,,,,0.08495742082595825,0.001,0.15497314408421517,0.2666666693985462,-1.2079554677009583,-0.04388151317834854,580,-0.05192692893246793,0.047325935,0.2
,,,,1770,,,6852,2.06,0,-0.4980452399999999,0.52,59,,,,,,,,,,
-0.11143961648922414,1800,1029,0.82,1800,1.42,0,,,,,,,0.18258905410766602,0.001,0.1990144208073616,0.34333333745598793,-1.2531323432922363,-0.037804268300533295,590,-0.0740525234366455,0.06917831,0.2
,,,,1800,,,6983,2.03,0,-0.45388848,0.54,60,,,,,,,,,,
-0.11109394578263164,1830,1049,0.9,1830,1.24,0,,,,,,,-0.3042987585067749,0.001,0.25587093234062197,0.2933333426713943,-1.208512020111084,-0.03442620486021042,600,-0.07085380110889669,0.06483631,0.2
,,,,1830,,,7095,1.89,0,-0.39314875,0.61,61,,,,,,,,,,
-0.04868304462172091,1860,1066,0.94,1860,1.18,0,,,,,,,-0.2707146406173706,0.001,0.2397722125053406,0.31666667200624943,-0.9377095818519592,-0.006996311247348785,610,-0.06567100205769139,0.04355352,0.2
,,,,1860,,,7208,1.87,0,-0.37910328,0.62,62,,,,,,,,,,
-0.06961075606290251,1890,1084,0.92,1890,1.22,0,,,,,,,0.051151275634765625,0.001,0.23393331319093705,0.32666667401790617,-1.201590371131897,-0.025962643325328827,620,-0.06515451252460487,0.030209186,0.2
,,,,1890,,,7328,1.83,0,-0.35817446,0.64,63,,,,,,,,,,
-0.07205854317173362,1920,1098,0.9,1920,1.24,0,,,,,,,0.05886983871459961,0.001,0.20474741905927657,0.2500000078231096,-0.7964702188968659,-0.003811165690422058,630,-0.05646509729325775,0.061558876,0.2
,,,,1920,,,7445,1.81,0,-0.35023142,0.65,64,,,,,,,,,,
-0.007413707920350134,1950,1115,0.98,1950,1.08,0,,,,,,,0.06370276212692261,0.001,0.19554216414690018,0.3566666696220636,-1.2321481347084045,-0.0026388168334960938,640,-0.05215078943719433,0.0374282,0.2
,,,,1950,,,7557,1.76,0,-0.32934759999999996,0.68,65,,,,,,,,,,
-0.1753344912081957,1980,1133,0.78,1980,1.48,0,,,,,,,0.06968045234680176,0.001,0.30884152799844744,0.13000000342726709,-1.0866722106933593,0.026062197983264923,650,-0.04680061812357348,0.027988233,0.2
,,,,1980,,,7691,1.76,0,-0.33668008,0.69,66,,,,,,,,,,
-0.08778178636915981,2010,1149,0.92,2010,1.18,0,,,,,,,0.24995487928390503,0.001,0.14316588789224624,0.3233333356678486,-1.0649911284446716,-0.0404750220477581,660,-0.06641047830382991,0.09603596,0.2
,,,,2010,,,7807,1.81,0,-0.36095618000000007,0.65,67,,,,,,,,,,
-0.04830042542424053,2040,1168,0.96,2040,1.18,0,,,,,,,0.16865205764770508,0.001,0.2553757011890411,0.3900000050663948,-0.6540463626384735,0.007785223424434662,670,-0.07488368399441239,0.1141537,0.2
,,,,2040,,,7917,1.77,0,-0.31465095000000004,0.67,68,,,,,,,,,,
-0.048458244847133757,2070,1184,0.96,2070,1.16,0,,,,,,,-0.11109352111816406,0.001,0.25415668040513995,0.15333333797752857,-0.6859566569328308,0.04659561067819595,680,-0.03354565728455725,0.03140063,0.2
,,,,2070,,,8034,1.81,0,-0.30394877000000003,0.65,69,,,,,,,,,,
-0.06981597351375968,2100,1202,0.94,2100,1.2,0,,,,,,,0.15227633714675903,0.001,0.23968805372714996,0.06666666939854622,-0.5949783980846405,0.05805103853344917,690,-0.020815748444680794,0.013175255,0.2
,,,,2100,,,8147,1.73,0,-0.25934565,0.68,70,,,,,,,,,,
