env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/iterations,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl
,,,,30000,,,-0.22994867,0,1.62,45430,0.73,100,,,,,,,,,,
17910,-0.09476092202588916,1.4,0.88,30300,30300,0,,,,,,,-0.014676514337770641,0.029413875192403793,-0.23367586694657802,0.14616400003433228,0.001,0.2,0.0930042628198862,1000,0.20713270381093024,0.055195004
,,,,30300,,,-0.23848265000000002,0,1.7,45849,0.69,101,,,,,,,,,,
18091,-0.0677527330443263,1.16,0.92,30600,30600,0,,,,,,,-0.019116932596080004,0.030875366181135178,-0.264372406899929,0.19119256734848022,0.001,0.2,0.13272372223436832,1010,0.19003987312316895,0.061530143
,,,,30600,,,-0.27714294999999994,0,1.68,46276,0.7,102,,,,,,,,,,
18274,-0.11151103999465704,1.3,0.88,30900,30900,0,,,,,,,-0.021986868523526937,0.0606924407184124,-0.2513521060347557,0.1814236044883728,0.001,0.2,0.09417613781988621,1020,0.17360287308692932,0.040815674
,,,,30900,,,-0.23450709,0,1.6,46762,0.72,103,,,,,,,,,,
18460,-0.09284057339653373,1.3,0.88,31200,31200,0,,,,,,,-0.02458727384218946,0.03430646285414696,-0.3163156062364578,0.30333197116851807,0.001,0.2,0.11553622223436832,1030,0.15623674504458904,0.019791562
,,,,31200,,,-0.20518407999999996,0,1.66,47174,0.74,104,,,,,,,,,,
18645,-0.0886476422008127,1.22,0.92,31500,31500,0,,,,,,,-0.01951604609757851,0.06075455993413925,-0.24936534017324447,0.06987971067428589,0.001,0.2,0.07645596712827682,1040,0.1843690812587738,0.016897168
,,,,31500,,,-0.23606896000000002,0,1.57,47590,0.75,105,,,,,,,,,,
18827,-0.04878136829473078,1.2,0.94,31800,31800,0,,,,,,,-0.01799475122243166,0.060739435255527496,-0.26756618171930313,0.20369118452072144,0.001,0.2,0.076722302287817,1050,0.19013672098517417,0.025900185
,,,,31800,,,-0.23626059000000005,0,1.66,48006,0.72,106,,,,,,,,,,
19007,-0.08849549347534776,1.16,0.92,32100,32100,0,,,,,,,-0.018405649124179035,0.043782953172922134,-0.2827620469033718,0.11724185943603516,0.001,0.2,0.073206677287817,1060,0.19382137507200242,0.04634186
,,,,32100,,,-0.26403812000000004,0,1.63,48406,0.73,107,,,,,,,,,,
19194,-0.09758630303665995,1.34,0.88,32400,32400,0,,,,,,,-0.018199735756024894,0.04428542032837868,-0.21389481090009213,0.2754732370376587,0.001,0.2,0.07571022845804691,1070,0.1562614653259516,0.022632226
,,,,32400,,,-0.28513076000000004,0,1.63,48814,0.71,108,,,,,,,,,,
19387,-0.02848719439469278,1.14,0.94,32700,32700,0,,,,,,,-0.021196295812842436,0.035721950232982635,-0.21831746846437455,0.16239529848098755,0.001,0.2,0.080433239787817,1080,0.18084971830248833,0.03876736
,,,,32700,,,-0.18669028999999998,0,1.4,49231,0.82,109,,,,,,,,,,
19565,-0.10969158575404435,1.3,0.9,33000,33000,0,,,,,,,-0.015097810875158758,0.06603893637657166,-0.24074218198657035,0.29395729303359985,0.001,0.2,0.0823153417557478,1090,0.16177738606929778,0.04557792
,,,,33000,,,-0.33025762000000003,0,1.76,49666,0.67,110,,,,,,,,,,
19750,-0.04904530960135162,1.16,0.92,33300,33300,0,,,,,,,-0.025002453751221766,0.034740813076496124,-0.3035878919064999,0.22903132438659668,0.001,0.2,0.11278409212827682,1100,0.1700216844677925,0.055475928
,,,,33300,,,-0.20912932000000006,0,1.66,50081,0.72,111,,,,,,,,,,
19928,-0.04925275505520403,1.22,0.9,33600,33600,0,,,,,,,-0.02722646736074239,0.03506641462445259,-0.28927637413144114,0.25870418548583984,0.001,0.2,0.10740412026643753,1110,0.15962381884455681,0.035934255
,,,,33600,,,-0.23076419000000004,0,1.73,50520,0.71,112,,,,,,,,,,
20125,-0.010059890267439187,1.24,0.96,33900,33900,0,,,,,,,-0.019430907303467394,0.043809663504362106,-0.29796951040625574,0.23171430826187134,0.001,0.2,0.0916548304259777,1120,0.1570486683398485,0.022472752
,,,,33900,,,-0.15584315,0,1.5,50937,0.8,113,,,,,,,,,,
20317,-0.048290935982950034,1.14,0.96,34200,34200,0,,,,,,,-0.013963402656372637,0.02256302908062935,-0.21819518208503724,0.1142224669456482,0.001,0.2,0.046431108564138415,1130,0.17004508711397648,0.038197838
,,,,34200,,,-0.16953500999999999,0,1.51,51356,0.78,114,,,,,,,,,,
20507,-0.048954503489658234,1.22,0.92,34500,34500,0,,,,,,,-0.026152311963960527,0.022316761314868927,-0.2826748214662075,0.24542099237442017,0.001,0.2,0.09071377962827683,1140,0.14751970171928405,0.024050225
,,,,34500,,,-0.16974344000000002,0,1.53,51775,0.82,115,,,,,,,,,,
20675,-0.06938261955976487,1.22,0.9,34800,34800,0,,,,,,,-0.01824052161973668,0.037624768912792206,-0.26766918525099753,0.2174798846244812,0.001,0.2,0.08181818276643753,1150,0.16662256233394146,0.01930873
,,,,34800,,,-0.29553408000000003,0,1.65,52188,0.72,116,,,,,,,,,,
20861,-0.10957673910539598,1.26,0.88,35100,35100,0,,,,,,,-0.019136313791386785,0.03740180656313896,-0.2781164266169071,0.20941460132598877,0.001,0.2,0.10742187649011611,1160,0.17252290360629557,0.019954303
,,,,35100,,,-0.24809637999999995,0,1.64,52619,0.71,117,,,,,,,,,,
21055,-0.06854004416614771,1.2,0.92,35400,35400,0,,,,,,,-0.0159851357806474,0.058720119297504425,-0.24994237795472146,0.26680368185043335,0.001,0.2,0.07665127962827682,1170,0.16173519007861614,0.030095365
,,,,35400,,,-0.18349871,0,1.53,53059,0.78,118,,,,,,,,,,
21237,-0.06909783198963851,1.16,0.92,35700,35700,0,,,,,,,-0.015062984536052681,0.09909872710704803,-0.23402798511087894,0.05066096782684326,0.001,0.2,0.07956321090459824,1180,0.17685861326754093,0.019635193
,,,,35700,,,-0.23017063999999995,0,1.64,53487,0.73,119,,,,,,,,,,
21427,-0.07063534409273416,1.28,0.88,36000,36000,0,,,,,,,-0.01851931578712538,0.017804739996790886,-0.23894073963165283,0.20961546897888184,0.001,0.2,0.07214133627712727,1190,0.16859445832669734,0.024197254
,,,,36000,,,-0.19854550999999998,0,1.52,53911,0.81,120,,,,,,,,,,
21615,-0.02972166088409722,1.22,0.94,36300,36300,0,,,,,,,-0.019849014008650558,0.011239055544137955,-0.24476063698530198,0.25747042894363403,0.001,0.2,0.09511718824505806,1200,0.15204340778291225,0.07024958
,,,,36300,,,-0.21177940999999997,0,1.57,54351,0.76,121,,,,,,,,,,
21805,-0.05017856086138636,1.18,0.94,36600,36600,0,,,,,,,-0.016679888812359423,0.06964926421642303,-0.17969376854598523,0.22232234477996826,0.001,0.2,0.07716619372367858,1210,0.17950194776058198,0.037673518
,,,,36600,,,-0.23650778,0,1.55,54777,0.75,122,,,,,,,,,,
21984,-0.030442887768149376,1.14,0.96,36900,36900,0,,,,,,,-0.01030760191497393,0.02925504371523857,-0.10511710699647665,0.2414470911026001,0.001,0.2,0.040074574574828145,1220,0.1830678079277277,0.012907697
