time/total_timesteps,env/completion_counter,eval/success_rate,env/current_idx,eval/mean_ep_length,env/n_steps,eval/mean_reward,time/time_elapsed,rollout/success_rate,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss,train/value_loss
1260,0,0.92,434,1.52,1260,-0.09804489239118994,,,,,,,0.2,0.0001,410,-0.004076447340194101,0.3867219090461731,0.0,0.05769652873277664,0.00056410633,-1.5801698803901671,0.1739685580134392
1260,,,,,,,5091,0.74,0,2.61,42,-0.30848737,,,,,,,,,,
1290,0,0.96,445,1.36,1290,-0.057516054534353316,,,,,,,0.2,0.0001,420,-0.0014117908554786673,0.1821194887161255,0.0,0.06607462465763092,0.00042408705,-1.5601145029067993,0.17096207439899444
1290,,,,,,,5214,0.72,0,2.69,43,-0.30817522999999997,,,,,,,,,,
1320,0,0.96,460,1.36,1320,-0.050886404323391615,,,,,,,0.2,0.0001,430,-0.00034481440801741313,0.47411584854125977,0.0,0.056254759430885315,0.00027510722,-1.5339467644691467,0.14849128276109697
1320,,,,,,,5339,0.74,0,2.55,44,-0.31058566000000004,,,,,,,,,,
1350,0,0.96,472,1.22,1350,-0.049325333973392844,,,,,,,0.2,0.0001,440,-0.00031328583407832513,-0.23841321468353271,0.0,0.128617525100708,9.843707e-05,-1.5242077946662902,0.3248488813638687
1350,,,,,,,5447,0.72,0,2.56,45,-0.32796843000000003,,,,,,,,,,
1380,0,0.96,486,1.52,1380,-0.042666103425435725,,,,,,,0.2,0.0001,450,-0.0012309799578846148,0.3215330243110657,0.0,0.06546980142593384,0.00017679732,-1.5207430958747863,0.16163631826639174
1380,,,,,,,5580,0.74,0,2.45,46,-0.2867874999999999,,,,,,,,,,
1410,0,0.96,497,1.28,1410,-0.051319381715729834,,,,,,,0.2,0.0001,460,-0.007767949150099129,-0.4126189947128296,0.0,0.10485614836215973,0.0005738219,-1.500653827190399,0.3176933914422989
1410,,,,,,,5701,0.74,0,2.45,47,-0.308193,,,,,,,,,,
1440,0,0.94,510,1.38,1440,-0.07493123896420002,,,,,,,0.2,0.0001,470,0.00011839436095524291,-0.3056987524032593,0.0,0.20358838140964508,0.00016968846,-1.4776163935661315,0.4550834596157074
1440,,,,,,,5828,0.72,0,2.42,48,-0.31125836,,,,,,,,,,
1470,0,0.94,523,1.38,1470,-0.07433975889347494,,,,,,,0.2,0.0001,480,-0.0036513142279727797,-0.15407633781433105,0.0,0.07966719567775726,0.0002251784,-1.4789350390434266,0.20330303013324738
1470,,,,,,,5946,0.75,0,2.34,49,-0.29893833999999997,,,,,,,,,,
1500,0,0.96,534,1.4,1500,-0.05304622324649245,,,,,,,0.2,0.0001,490,-0.005224943897919765,0.020311176776885986,0.0,0.09407495707273483,0.0012155175,-1.4464605569839477,0.25746203362941744
1500,,,,,,,6070,0.74,0,2.42,50,-0.30376892,,,,,,,,,,
1530,0,0.94,541,1.4,1530,-0.05132943107746542,,,,,,,0.2,0.0001,500,-0.008900161065006174,0.16473883390426636,0.0,0.0804428905248642,0.0017450432,-1.397899091243744,0.22500065118074417
1530,,,,,,,6198,0.72,0,2.49,51,-0.35806281000000006,,,,,,,,,,
1560,0,1.0,553,1.18,1560,-0.008440808351151645,,,,,,,0.2,0.0001,510,-0.008280044988884239,0.20623242855072021,0.0,0.04531647264957428,0.0017469883,-1.3503456234931945,0.15718128755688668
1560,,,,,,,6337,0.72,0,2.55,52,-0.36309993000000007,,,,,,,,,,
1590,0,0.86,567,1.7,1590,-0.12027048735879362,,,,,,,0.2,0.0001,520,-0.007957718172886884,-0.11998581886291504,0.0,0.15061764419078827,0.0009709855,-1.290931236743927,0.4206666976213455
1590,,,,,,,6485,0.72,0,2.57,53,-0.34153109,,,,,,,,,,
1620,0,0.96,576,1.32,1620,-0.051317789321765304,,,,,,,0.2,0.0001,530,-0.00763839225439984,-0.08765256404876709,0.0,0.07603966444730759,0.001357931,-1.2409750461578368,0.20879835784435272
1620,,,,,,,6699,0.71,0,2.64,54,-0.35535962,,,,,,,,,,
1650,0,0.96,589,1.28,1650,-0.03148712807334959,,,,,,,0.2,0.0001,540,-0.002812892950411694,0.35676413774490356,0.0,0.058200448751449585,0.00096185406,-1.1856862306594849,0.17124403417110443
1650,,,,,,,6820,0.7,0,2.62,55,-0.37224041,,,,,,,,,,
1680,0,0.94,601,1.46,1680,-0.05482104459311813,,,,,,,0.2,0.0001,550,-0.005784817745443505,0.031229257583618164,0.0,0.08826915919780731,0.0010052264,-1.1394208908081054,0.2259880229830742
1680,,,,,,,6958,0.72,0,2.58,56,-0.35039418999999994,,,,,,,,,,
1710,0,0.96,611,1.24,1710,-0.05229075707029551,,,,,,,0.2,0.0001,560,-0.0029738889576401916,0.4814107418060303,0.0,0.0918317660689354,0.00039957563,-1.0976383328437804,0.29015827029943464
1710,,,,,,,7070,0.69,0,2.68,57,-0.3978611799999999,,,,,,,,,,
1740,0,0.96,626,1.26,1740,-0.030631472836248577,,,,,,,0.2,0.0001,570,-0.001854652580999172,0.3855770230293274,0.0,0.08970066905021667,0.00024475454,-1.067584753036499,0.225550077855587
1740,,,,,,,7185,0.69,0,2.62,58,-0.3916414899999999,,,,,,,,,,
1770,0,0.94,633,1.42,1770,-0.07557301818858832,,,,,,,0.2,0.0001,580,-0.0042902649663542295,0.17278528213500977,0.0,0.07713410258293152,0.00033067266,-1.0440740942955018,0.20095685571432115
1770,,,,,,,7311,0.67,0,2.7,59,-0.40209604,,,,,,,,,,
1800,0,0.94,648,1.36,1800,-0.07352021992206574,,,,,,,0.2,0.0001,590,-0.005447309031539405,-0.05264627933502197,0.0,0.08474282175302505,0.000700899,-1.0460637092590332,0.22079786211252211
1800,,,,,,,7430,0.71,0,2.53,60,-0.34494732999999994,,,,,,,,,,
1830,0,0.94,663,1.36,1830,-0.05530100949574262,,,,,,,0.2,0.0001,600,0.0011732258454625112,0.03868299722671509,0.0,0.09278649091720581,6.365975e-05,-1.0779847502708435,0.21121237128973008
1830,,,,,,,7562,0.73,0,2.47,61,-0.32963121,,,,,,,,,,
1860,0,0.98,675,1.2,1860,-0.028775596101768317,,,,,,,0.2,0.0001,610,-0.0024109017635542073,-0.3206825256347656,0.0,0.06220273673534393,0.00061100326,-1.0580897212028504,0.17802127897739412
1860,,,,,,,7680,0.74,0,2.45,62,-0.31374211,,,,,,,,,,
1890,0,0.94,685,1.44,1890,-0.05436375175137073,,,,,,,0.2,0.0001,620,-0.0006514255232467292,0.053211867809295654,0.0,0.08928503841161728,0.0004323562,-1.026184856891632,0.23189279288053513
1890,,,,,,,7813,0.76,0,2.46,63,-0.29361263,,,,,,,,,,
1920,0,0.98,704,1.18,1920,-0.010215155510231853,,,,,,,0.2,0.0001,630,-8.46113783580904e-05,-0.018952608108520508,0.0,0.09142594039440155,1.1972586e-05,-1.0061704754829406,0.23315272629261016
1920,,,,,,,7937,0.79,0,2.32,64,-0.25578259,,,,,,,,,,
1950,0,0.96,727,1.32,1950,-0.04995194786693901,,,,,,,0.2,0.0001,640,-0.0016788984489782166,0.03568398952484131,0.0,0.05727965757250786,8.6432694e-05,-1.0008105099201203,0.17485440745949746
1950,,,,,,,8061,0.86,0,2.05,65,-0.17527057000000001,,,,,,,,,,
1980,0,0.98,738,1.2,1980,-0.0310782529739663,,,,,,,0.2,0.0001,650,-0.005265425101388388,-40.00039291381836,0.0,0.0012162867933511734,0.00086152554,-0.972612488269806,0.06771223787218332
1980,,,,,,,8180,0.87,0,1.99,66,-0.17437965,,,,,,,,,,
2010,0,0.94,754,1.36,2010,-0.07215903301723302,,,,,,,0.2,0.0001,660,-0.002898436073446575,-0.019542455673217773,0.0,0.20214572548866272,0.00051552255,-0.9196108937263489,0.4860608160495758
2010,,,,,,,8311,0.86,0,1.97,67,-0.17988791999999998,,,,,,,,,,
2040,0,0.92,766,1.62,2040,-0.08052347016055136,,,,,,,0.2,0.0001,670,-0.0024361890112047035,0.2541733980178833,0.0,0.060074981302022934,0.00025145014,-0.8840277254581451,0.18537076860666274
2040,,,,,,,8444,0.85,0,1.99,68,-0.20014239999999997,,,,,,,,,,
2070,0,0.98,779,1.16,2070,-0.029218166787177324,,,,,,,0.2,0.0001,680,5.669991068617542e-05,0.27554941177368164,0.0,0.08861279487609863,4.4790904e-05,-0.8601350665092469,0.20449582487344742
2070,,,,,,,8545,0.86,0,1.95,69,-0.17616174,,,,,,,,,,
2100,0,0.98,794,1.3,2100,-0.03062909174244851,,,,,,,0.2,0.0001,690,0.0009822392724160522,-0.17843401432037354,0.0,0.07717539370059967,6.0478847e-06,-0.871657395362854,0.1974441573023796
2100,,,,,,,8666,0.83,0,1.99,70,-0.21808977000000002,,,,,,,,,,
2130,0,0.92,809,1.5,2130,-0.09944617337547243,,,,,,,0.2,0.0001,700,0.00017382561932528519,0.27504193782806396,0.0,0.1059754490852356,6.318688e-05,-0.8550106465816498,0.25101745277643206
2130,,,,,,,8797,0.81,0,1.99,71,-0.24926892000000006,,,,,,,,,,
2160,0,0.92,821,1.38,2160,-0.09394418589770794,,,,,,,0.2,0.0001,710,-0.002000012067243695,0.5041198134422302,0.0,0.05305126681923866,0.00038344265,-0.8371208906173706,0.145620197057724
2160,,,,,,,8930,0.78,0,2.14,72,-0.2814370200000001,,,,,,,,,,
2190,0,0.92,833,1.52,2190,-0.09479099288582801,,,,,,,0.2,0.0001,720,-0.0026459976045103417,0.34988337755203247,0.0,0.05637533962726593,0.00031108857,-0.803828626871109,0.13977235704660415
2190,,,,,,,9056,0.76,0,2.23,73,-0.28887851000000003,,,,,,,,,,
2220,0,0.98,847,1.22,2220,-0.029854202126152814,,,,,,,0.2,0.0001,730,-0.0006868152978011466,-0.19745290279388428,0.0,0.13664209842681885,0.00021574298,-0.7866387903690338,0.33748948872089385
2220,,,,,,,9168,0.76,0,2.26,74,-0.28596009,,,,,,,,,,
2250,0,0.94,859,1.46,2250,-0.05230627461336553,,,,,,,0.2,0.0001,740,-0.003861793886171938,0.26955223083496094,0.0,0.07482718676328659,0.0003576557,-0.8039194703102112,0.1979139655828476
2250,,,,,,,9314,0.77,0,2.21,75,-0.27890117,,,,,,,,,,
2280,0,1.0,868,1.12,2280,-0.008049284908920526,,,,,,,0.2,0.0001,750,-0.001032436880583809,0.26557284593582153,0.0,0.06399115920066833,8.309285e-05,-0.8222833812236786,0.14993297606706618
2280,,,,,,,9424,0.74,0,2.35,76,-0.30643194999999995,,,,,,,,,,
2310,0,0.94,882,1.46,2310,-0.05578741403762251,,,,,,,0.2,0.0001,760,-0.0036714109960787945,0.5749328136444092,0.0,0.02628437429666519,0.00068914494,-0.8128314912319183,0.0840567022562027
2310,,,,,,,9546,0.76,0,2.29,77,-0.29278096,,,,,,,,,,
2340,0,0.92,897,1.48,2340,-0.03440016003791243,,,,,,,0.2,0.0001,770,-8.640994398767532e-05,-0.04787468910217285,0.0,0.13546547293663025,2.81473e-05,-0.812859320640564,0.3564730823040009
2340,,,,,,,9692,0.76,0,2.33,78,-0.29753164,,,,,,,,,,
2370,0,0.94,913,1.38,2370,-0.07823109987191856,,,,,,,0.2,0.0001,780,-0.003996591597969968,0.3603537678718567,0.0,0.08566733449697495,0.00029699208,-0.8187764346599579,0.22071598917245866
2370,,,,,,,9810,0.77,0,2.34,79,-0.28155412,,,,,,,,,,
2400,0,0.94,928,1.5,2400,-0.05339070476125926,,,,,,,0.2,0.0001,790,-0.004698030931176334,-0.8363962173461914,0.0,0.07482180744409561,0.00034583607,-0.7971077263355255,0.21095018237829208
2400,,,,,,,9936,0.79,0,2.23,80,-0.29370228,,,,,,,,,,
2430,0,0.96,943,1.32,2430,-0.052344254232011736,,,,,,,0.2,0.0001,800,-0.0011479967877189522,-0.0651400089263916,0.0,0.1871112436056137,0.00025371116,-0.7790300726890564,0.4496590197086334
2430,,,,,,,10065,0.83,0,2.17,81,-0.24583744000000002,,,,,,,,,,
2460,0,0.94,956,1.44,2460,-0.05468933464493603,,,,,,,0.2,0.0001,810,0.0005026225267403817,-0.18415260314941406,0.0,0.08814311027526855,0.00012967587,-0.7724692821502686,0.22769041061401368
2460,,,,,,,10189,0.82,0,2.2,82,-0.26044544,,,,,,,,,,
2490,0,0.92,969,1.4,2490,-0.09693044203333556,,,,,,,0.2,0.0001,820,-0.0005994281700258952,0.23543626070022583,0.0,0.08226322382688522,9.95934e-05,-0.7798294961452484,0.20328206270933152
2490,,,,,,,10332,0.84,0,2.07,83,-0.22233195999999997,,,,,,,,,,
2520,0,1.0,985,1.24,2520,-0.009679305898025632,,,,,,,0.2,0.0001,830,-0.0018968082298790989,0.11897122859954834,0.0,0.07262326031923294,0.00018313527,-0.797521847486496,0.17960543036460877
2520,,,,,,,10450,0.82,0,2.05,84,-0.22306411,,,,,,,,,,
2550,0,0.96,1001,1.26,2550,-0.04915627909358591,,,,,,,0.2,0.0001,840,-0.002672631724660057,0.11276829242706299,0.0,0.06502518057823181,0.0003281514,-0.8099726021289826,0.17039524614810944
2550,,,,,,,10564,0.83,0,2.06,85,-0.20528344000000004,,,,,,,,,,
2580,0,0.9,1010,1.44,2580,-0.07636936985887587,,,,,,,0.2,0.0001,850,-0.00045516142970853936,0.03816455602645874,0.0,0.07501434534788132,0.00021082163,-0.8454835653305054,0.18338698893785477
2580,,,,,,,10685,0.8,0,2.14,86,-0.24148563,,,,,,,,,,
2610,0,0.9,1026,1.48,2610,-0.11958393303211778,,,,,,,0.2,0.0001,860,0.00017866829977748467,-0.011289596557617188,0.0,0.14288951456546783,4.3845175e-05,-0.8638935387134552,0.4004384636878967
2610,,,,,,,10819,0.8,0,2.12,87,-0.22763746,,,,,,,,,,
2640,0,1.0,1038,1.22,2640,-0.009247828065417707,,,,,,,0.2,0.0001,870,-0.005082695323896403,0.4155360460281372,0.0,0.04842201992869377,0.0006197075,-0.8832566380500794,0.13682205453515053
2640,,,,,,,10936,0.77,0,2.16,88,-0.25293759,,,,,,,,,,
2670,0,0.96,1055,1.24,2670,-0.009221776369959116,,,,,,,0.2,0.0001,880,-0.009722698032855703,0.5314192771911621,0.0,0.02003238908946514,0.0017077465,-0.9277635991573334,0.10379528775811195
2670,,,,,,,11047,0.78,0,2.12,89,-0.2390324,,,,,,,,,,
2700,0,0.9,1070,1.54,2700,-0.07550394107587635,,,,,,,0.2,0.0001,890,-0.0043257460599608775,0.11098957061767578,0.0,0.05075965076684952,0.0010228495,-1.0012047231197356,0.16426767259836197
2700,,,,,,,11195,0.8,0,2.05,90,-0.23334436000000003,,,,,,,,,,
2730,0,0.94,1085,1.34,2730,-0.07231214996427297,,,,,,,0.2,0.0001,900,-0.002102755649878674,0.07250583171844482,0.0,0.09890158474445343,0.00036120217,-1.0351421117782593,0.25445248931646347
