eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
1.52,0.9,18000,0,8835,-0.11446764655411243,18000,,,,,,,0.0005831562,0.2,0.001,295,-0.07026612982153893,-0.0013202198315411806,0.19953429698944092,0.0026633523404598234,0.22442488223314286,0.08249249309301376
,,18000,,,,,-0.21540114000000002,0,26771,60,0.83,1.89,,,,,,,,,,
1.28,0.96,18300,0,8994,-0.05336710076779127,18300,,,,,,,9.704847e-06,0.2,0.001,300,-0.05737931132316589,-1.336475410838034e-05,0.22414302825927734,0.0,0.2023716077208519,0.12426409870386124
,,18300,,,,,-0.14835110999999998,0,27217,61,0.86,1.7,,,,,,,,,,
1.22,0.96,18600,0,9148,-0.028605021922849118,18600,,,,,,,4.0937977e-07,0.2,0.001,305,-0.052386168390512466,1.2338330719785517e-06,0.2914023995399475,0.0,0.18200211524963378,0.06602108478546143
,,18600,,,,,-0.19987968999999997,0,27665,62,0.85,1.98,,,,,,,,,,
1.22,0.96,18900,0,9304,-0.04942641895264387,18900,,,,,,,0.00042522835,0.2,0.001,310,-0.04779342450201511,-0.0010631201492451226,0.13868939876556396,0.001953125,0.20196487456560136,0.08417700976133347
,,18900,,,,,-0.17131122000000001,0,28091,63,0.84,1.94,,,,,,,,,,
1.34,0.96,19200,0,9457,-0.051369768599979576,19200,,,,,,,3.5305846e-05,0.2,0.001,315,-0.03882117345929146,-0.00014182052321203286,0.211669921875,0.0,0.19027291089296341,0.08946956694126129
,,19200,,,,,-0.22098997,0,28546,64,0.82,1.98,,,,,,,,,,
1.36,0.94,19500,0,9608,-0.05053225934971124,19500,,,,,,,6.1716186e-05,0.2,0.001,320,-0.03317149505019188,-0.0003168631043422465,0.23139142990112305,0.000390625,0.2096732348203659,0.069192074239254
,,19500,,,,,-0.16826321000000002,0,28992,65,0.84,1.94,,,,,,,,,,
