eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
,,,,16800,,,0,56,0.71,1.62,24925,-0.30120604000000006,,,,,,,,,,
1.26,0.9,9731,17100,17100,-0.11199532695580273,0,,,,,,,-0.03104776538675651,0.001,0.14589407593011855,560,-0.7173954606056213,0.2,0.13723366409540178,-0.017035644501447678,0.283558189868927,0.04078971
,,,,17100,,,0,57,0.73,1.77,25361,-0.24917009000000004,,,,,,,,,,
1.34,0.84,9907,17400,17400,-0.1509841975942254,0,,,,,,,-0.02632924294739496,0.001,0.19109135791659354,570,-0.7352048844099045,0.2,0.1849786937236786,0.05049474909901619,0.0684516429901123,0.023053303
,,,,17400,,,0,58,0.69,1.76,25802,-0.30590278000000004,,,,,,,,,,
1.22,0.92,10071,17700,17700,-0.048816971308551727,0,,,,,,,-0.02669143023667857,0.001,0.17565098479390145,580,-0.7567915707826615,0.2,0.11791548430919647,0.007196728140115738,0.14203965663909912,0.034047157
,,,,17700,,,0,59,0.59,1.93,26232,-0.35268604000000003,,,,,,,,,,
1.22,0.9,10254,18000,18000,-0.05110850376076996,0,,,,,,,-0.031002756441012025,0.001,0.16859901435673236,590,-0.6446663558483123,0.2,0.19259588085114956,0.05212435871362686,0.14031320810317993,0.03445387
,,,,18000,,,0,60,0.75,1.67,26641,-0.23765927,,,,,,,,,,
1.16,0.94,10436,18300,18300,-0.07167412050999701,0,,,,,,,-0.03379345348439529,0.001,0.14534965306520461,600,-0.7711964190006256,0.2,0.11890980154275894,-0.024947647005319595,0.2189916968345642,0.022150539
,,,,18300,,,0,61,0.71,1.74,27056,-0.29844546,,,,,,,,,,
1.2,0.94,10618,18600,18600,-0.06851714495569468,0,,,,,,,-0.03027619469212368,0.001,0.18022064231336116,610,-0.7368648827075959,0.2,0.15060369297862053,0.008795343339443207,-0.07544302940368652,0.034718525
,,,,18600,,,0,62,0.72,1.66,27502,-0.25818626,,,,,,,,,,
1.32,0.86,10791,18900,18900,-0.15418089802376925,0,,,,,,,-0.03154226732003736,0.001,0.17752170860767363,620,-0.6929070204496384,0.2,0.1392933249473572,0.01560552790760994,-0.0002650022506713867,0.044209763
,,,,18900,,,0,63,0.71,1.74,27952,-0.26567101,,,,,,,,,,
