env/n_steps,env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,eval/mean_reward,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss
17100,0,10048,1.18,17100,0.94,-0.06935130549129098,,,,,,,0.015120521,0.001,0.19068831205368042,0.1583631891012192,0.2,0.04989347606897354,0.04346590936183929,280,-0.21164921224117278,-0.006834634472616017
,,,,17100,,,57,-0.20471688,0.8,1.54,0,25400,,,,,,,,,,
17400,0,10219,1.38,17400,0.86,-0.13396507406141608,,,,,,,0.011019488,0.001,0.11863291263580322,0.15229606181383132,0.2,0.04587309807538986,0.023920454680919648,285,-0.1684292197227478,-0.006754609202034772
,,,,17400,,,58,-0.26708031,0.71,1.72,0,25827,,,,,,,,,,
17700,0,10392,1.24,17700,0.9,-0.1105228125443682,,,,,,,0.009058347,0.001,0.1441032886505127,0.1739789593219757,0.2,0.05703601986169815,0.020170454680919648,290,-0.13066838264465333,-0.005468225062359124
,,,,17700,,,59,-0.31757255,0.7,1.7,0,26272,,,,,,,,,,
18000,0,10571,1.24,18000,0.92,-0.06943933191243559,,,,,,,0.008811768,0.001,-0.012389898300170898,0.1891757145524025,0.2,0.03876027464866638,0.01960227280855179,295,-0.13959136635065078,-0.005743116615340113
,,,,18000,,,60,-0.3176333,0.69,1.76,0,26696,,,,,,,,,,
18300,0,10759,1.26,18300,0.9,-0.10990270119160414,,,,,,,0.0076072617,0.001,0.11461281776428223,0.17787478297948836,0.2,0.016431301832199097,0.03403409093618393,300,-0.20609326541423797,-0.009295114640844987
,,,,18300,,,61,-0.21461455999999998,0.78,1.52,0,27120,,,,,,,,,,
18600,0,10941,1.16,18600,0.96,-0.02820383363869041,,,,,,,0.017081194,0.001,0.2159407138824463,0.15007171154022217,0.2,0.06775417923927307,0.03414772748947144,305,-0.1760575243830681,-0.008511694967746735
,,,,18600,,,62,-0.22708223,0.74,1.69,0,27558,,,,,,,,,,
18900,0,11128,1.32,18900,0.86,-0.11138695211615414,,,,,,,0.023589319,0.001,0.17716562747955322,0.16091785788536073,0.2,0.036013875156641006,0.04460227310657501,310,-0.19253638684749602,-0.00900827169418335
,,,,18900,,,63,-0.24771190999999998,0.72,1.66,0,28013,,,,,,,,,,
19200,0,11308,1.18,19200,0.92,-0.0886937873903662,,,,,,,0.0155649735,0.001,0.12047016620635986,0.17580463111400604,0.2,0.038283683359622955,0.047784091234207154,315,-0.2875441366434097,-0.014448847007006407
,,,,19200,,,64,-0.21641089000000002,0.77,1.55,0,28468,,,,,,,,,,
19500,0,11501,1.26,19500,0.9,-0.08900172270368785,,,,,,,0.011465458,0.001,0.18396049737930298,0.1651495698094368,0.2,0.058914463967084885,0.06272727310657501,320,-0.24446563839912414,-0.010222798604518175
,,,,19500,,,65,-0.18712995,0.83,1.47,0,28909,,,,,,,,,,
19800,0,11671,1.14,19800,0.96,-0.028532135454006492,,,,,,,0.013698658,0.001,0.21186679601669312,0.1487414288520813,0.2,0.010878795757889748,0.0510795459151268,325,-0.215598703622818,-0.008721603211015463
,,,,19800,,,66,-0.34414449,0.64,1.82,0,29349,,,,,,,,,,
