eval/mean_ep_length,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,env/current_idx,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/learning_rate
1.24,18300,-0.0711130487266928,0.94,0,18300,10684,,,,,,,-0.11265787094831467,300,-0.0003648297962817537,0.2118680429458618,0.2,3.842974e-05,0.0924445316195488,0.08316093683242798,0.0,0.0001
,18300,,,,,,61,27877,0,-0.26804805,1.63,0.72,,,,,,,,,,
1.3,18600,-0.1345612878073007,0.88,0,18600,10873,,,,,,,-0.1081139788031578,305,-0.00025710776786752376,0.20575173258781432,0.2,2.4000556e-05,0.09714508801698685,0.1354539394378662,0.0,0.0001
,18600,,,,,,62,28330,0,-0.25146925,1.67,0.7,,,,,,,,,,
1.28,18900,-0.1308142489567399,0.88,0,18900,11065,,,,,,,-0.10160109996795655,310,-0.00047342802985212985,0.19731739223003386,0.2,4.013472e-05,0.10749606788158417,0.11302661895751953,0.0,0.0001
,18900,,,,,,63,28775,0,-0.25634574999999993,1.64,0.71,,,,,,,,,,
1.24,19200,-0.07473106762394309,0.9,0,19200,11256,,,,,,,-0.09721214294433594,315,-1.9510361255470345e-08,0.17415889650583266,0.2,0.0,0.07252347469329834,0.252941370010376,0.0,0.0001
,19200,,,,,,64,29207,0,-0.26596164,1.57,0.73,,,,,,,,,,
1.3,19500,-0.13595017596613615,0.86,0,19500,11447,,,,,,,-0.0954734954237938,320,-0.0002973808277532441,0.1807083183526993,0.2,1.3112835e-05,0.08175378292798996,0.24104058742523193,0.0,0.0001
,19500,,,,,,65,29644,0,-0.21150914999999998,1.56,0.77,,,,,,,,,,
1.3,19800,-0.07014521446079015,0.88,0,19800,11644,,,,,,,-0.09393091261386871,325,-0.0003448892724486541,0.18157173812389374,0.2,0.00010637995,0.0951678454875946,0.2312382459640503,0.001875,0.0001
,19800,,,,,,66,30102,0,-0.14874563000000002,1.47,0.81,,,,,,,,,,
1.34,20100,-0.09133523513562977,0.9,0,20100,11832,,,,,,,-0.09011680454015732,330,-0.0009397327696736113,0.17301165401935578,0.2,8.639872e-05,0.05360925942659378,0.1661478877067566,0.0,0.0001
,20100,,,,,,67,30537,0,-0.22483096999999996,1.69,0.72,,,,,,,,,,
1.08,20400,-0.0077013071440160275,0.98,0,20400,12028,,,,,,,-0.08534119606018066,335,-0.0001885183695804926,0.1815045565366745,0.2,1.171995e-05,0.06928770989179611,0.14786016941070557,0.0,0.0001
,20400,,,,,,68,30987,0,-0.17564618000000004,1.44,0.82,,,,,,,,,,
1.16,20700,-0.09097788671497256,0.92,0,20700,12198,,,,,,,-0.08177102625370025,340,-0.00010703712701783275,0.16545522928237916,0.2,5.1593406e-06,0.07756736874580383,0.23631662130355835,0.0,0.0001
,20700,,,,,,69,31407,0,-0.31185364,1.84,0.65,,,,,,,,,,
1.18,21000,-0.07305266523733735,0.92,0,21000,12376,,,,,,,-0.08085702002048492,345,-7.974936535745769e-05,0.17792697131633758,0.2,9.435974e-06,0.07544062286615372,0.2532402276992798,0.0,0.0001
,21000,,,,,,70,31840,0,-0.20875429000000004,1.62,0.74,,,,,,,,,,
1.26,21300,-0.05151494825258851,0.9,0,21300,12553,,,,,,,-0.08360016077756882,350,-7.655443729532862e-05,0.1862240391969681,0.2,1.0519847e-05,0.10036664456129074,0.16067272424697876,0.0,0.0001
,21300,,,,,,71,32306,0,-0.27046794999999996,1.72,0.7,,,,,,,,,,
1.4,21600,-0.17203080972656606,0.84,0,21600,12742,,,,,,,-0.08470085263252258,355,-0.0002687026945537063,0.18729321122169496,0.2,1.3178028e-05,0.07469675689935684,0.21850746870040894,0.0,0.0001
,21600,,,,,,72,32786,0,-0.14025291,1.44,0.82,,,,,,,,,,
1.18,21900,-0.05073160755913705,0.94,0,21900,12936,,,,,,,-0.08681003957986831,360,-0.0003493228304168561,0.17977661967277528,0.2,4.249066e-05,0.07908892631530762,0.15646207332611084,0.0,0.0001
,21900,,,,,,73,33238,0,-0.23368932999999997,1.59,0.76,,,,,,,,,,
1.16,22200,-0.03066451956052333,0.94,0,22200,13131,,,,,,,-0.09064868181943893,365,-9.252615273140918e-06,0.1587158289551735,0.2,5.19231e-06,0.08505656570196152,0.21489495038986206,0.0,0.0001
,22200,,,,,,74,33685,0,-0.19531744000000004,1.55,0.75,,,,,,,,,,
1.16,22500,-0.05000033165328205,0.96,0,22500,13321,,,,,,,-0.08455816447734833,370,-0.0008078779235739831,0.1481330645084381,0.2,8.489871e-05,0.058856964111328125,0.32094526290893555,0.0,0.0001
,22500,,,,,,75,34125,0,-0.16076447000000005,1.51,0.78,,,,,,,,,,
1.22,22800,-0.09410803405568004,0.92,0,22800,13500,,,,,,,-0.07759521305561065,375,-5.5973154217525686e-05,0.17456714570522308,0.2,6.6350976e-06,0.0800919234752655,0.17646485567092896,0.0,0.0001
,22800,,,,,,76,34577,0,-0.18476447000000001,1.54,0.78,,,,,,,,,,
1.16,23100,-0.0705962424678728,0.94,0,23100,13685,,,,,,,-0.07626692920923234,380,-4.353788263415481e-05,0.17500965237617494,0.2,3.3780932e-06,0.0788387581706047,0.2348470687866211,0.0,0.0001
,23100,,,,,,77,35041,0,-0.21016881999999998,1.58,0.76,,,,,,,,,,
1.32,23400,-0.11143780874088406,0.86,0,23400,13868,,,,,,,-0.07523767828941345,385,-1.0935420249325035e-07,0.18267210364341735,0.2,0.0,0.07481451332569122,0.21021884679794312,0.0,0.0001
,23400,,,,,,78,35575,0,-0.27655136999999996,1.7,0.69,,,,,,,,,,
1.42,23700,-0.15345423019491136,0.86,0,23700,14055,,,,,,,-0.0722903099656105,390,-0.0012139526124784084,0.21498656392097473,0.2,0.00013579577,0.07831361144781113,0.07331234216690063,0.0,0.0001
,23700,,,,,,79,36044,0,-0.25948738,1.69,0.72,,,,,,,,,,
1.16,24000,-0.04827121040783822,0.94,0,24000,14243,,,,,,,-0.06473428472876548,395,-0.00041065654294079933,0.17282006800174712,0.2,3.765337e-05,0.08709287643432617,0.22490066289901733,0.0,0.0001
,24000,,,,,,80,36496,0,-0.22050414999999998,1.58,0.76,,,,,,,,,,
