env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.008994363909587265,4843,1.2,11100,11100,1.0,,,,,,,0.2,0.1461363637447357,-0.6984515452384948,-0.03164592653512955,180,0.001,0.17524397373199463,0.010045565664768219,0.15734005525708197,0.030726826
,,,,11100,,,0,0.74,37,16813,2.26,-0.25178579,,,,,,,,,,
0,-0.16031540593598037,4993,1.66,11400,11400,0.84,,,,,,,0.2,0.09505681842565536,-0.7693387508392334,-0.021677975063212215,185,0.001,0.28377795219421387,0.017351169139146805,0.12843235462903976,0.012839305
,,,,11400,,,0,0.86,38,17298,1.92,-0.18794202,,,,,,,,,,
0,-0.07464558579493313,5140,1.5,11700,11700,0.92,,,,,,,0.2,0.12568181842565537,-0.6937861466407775,-0.03313756137154997,190,0.001,0.23200690746307373,-0.010512856766581535,0.13636748239398003,0.026008228
,,,,11700,,,0,0.78,39,17762,2.16,-0.26818731,,,,,,,,,,
0,-0.05032302218489349,5289,1.2,12000,12000,0.96,,,,,,,0.2,0.14880681812763213,-0.6407260608673095,-0.025302040772512555,195,0.001,0.3116362690925598,-0.015085700899362564,0.1299188181757927,0.028421173
,,,,12000,,,0,0.81,40,18226,2.0,-0.2275617,,,,,,,,,,
0,-0.07296207492239773,5421,1.44,12300,12300,0.9,,,,,,,0.2,0.17897727310657502,-0.8093690323829651,-0.023830214403569697,200,0.001,0.1994289755821228,0.0369139239192009,0.15786058992147445,0.028495539
,,,,12300,,,0,0.76,41,18667,2.37,-0.24070326,,,,,,,,,,
0,-0.008374062273651362,5568,1.12,12600,12600,0.98,,,,,,,0.2,0.1817045459151268,-0.7855971145629883,-0.037922986634075645,205,0.001,-0.007357239723205566,-0.007712315768003464,0.1713807079195976,0.032535322
,,,,12600,,,0,0.81,42,19092,2.01,-0.18655576999999998,,,,,,,,,,
0,-0.05301275471225381,5720,1.46,12900,12900,0.96,,,,,,,0.2,0.18028409123420716,-0.5989939618110657,-0.02553953379392624,210,0.001,0.23498106002807617,-0.027980513870716095,0.13012640655040741,0.01863118
,,,,12900,,,0,0.83,43,19540,2.08,-0.22861508999999994,,,,,,,,,,
0,-0.052029847740195694,5872,1.32,13200,13200,0.96,,,,,,,0.2,0.162727273106575,-0.595604989528656,-0.018995821811258792,215,0.001,0.17966538667678833,0.014574326574802399,0.16094912141561507,0.023485478
,,,,13200,,,0,0.84,44,19992,1.97,-0.2053137,,,,,,,,,,
0,-0.04929362387862057,6035,1.22,13500,13500,0.96,,,,,,,0.2,0.15022727251052856,-0.6121018600463867,-0.026163877360522746,220,0.001,0.29974794387817383,0.00828661397099495,0.16060041159391403,0.03138312
,,,,13500,,,0,0.82,45,20445,1.97,-0.18136923000000002,,,,,,,,,,
0,-0.051242834366858,6173,1.36,13800,13800,0.94,,,,,,,0.2,0.101477273106575,-0.6013878202438354,-0.02051291205920279,225,0.001,0.38281679153442383,0.003999397158622742,0.11295224979519844,0.015733134
,,,,13800,,,0,0.84,46,20884,1.93,-0.20592818999999998,,,,,,,,,,
0,-0.00845775687135756,6335,1.12,14100,14100,1.0,,,,,,,0.2,0.10857954591512681,-0.6627919840812683,-0.02330632397904992,230,0.001,0.1713445782661438,0.01297837495803833,0.1581056919693947,0.021775763
,,,,14100,,,0,0.87,47,21342,1.9,-0.13293929000000002,,,,,,,,,,
0,-0.05182308966293931,6479,1.38,14400,14400,0.96,,,,,,,0.2,0.08852272778749466,-0.4423736107349396,-0.02248641084646806,235,0.001,0.11356312036514282,0.010317612439393997,0.14895252019166946,0.022976514
,,,,14400,,,0,0.83,48,21783,1.95,-0.19486124999999999,,,,,,,,,,
0,-0.07341159502509981,6637,1.48,14700,14700,0.9,,,,,,,0.2,0.07852272748947144,-0.47250303387641907,-0.02367279489990324,240,0.001,0.19162338972091675,-0.0067131854593753815,0.18116541296243668,0.01419282
,,,,14700,,,0,0.83,49,22273,2.01,-0.17858341000000003,,,,,,,,,,
