rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,env/completion_counter,rollout/ep_rew_mean,env/current_idx,env/n_steps,rollout/success_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1.34,47,2820,0,3370,0,-0.07263729000000002,1911,2820,0.93,-0.004326766037459784,460,0.1258416436612606,0.0,0.13636356592178345,-1.515740406513214,0.046442221850156784,0.001194186,0.2,0.0001,,,
1.24,48,2880,0,3442,0,-0.04153491,1964,2880,0.96,-0.005298928869112096,470,0.054365319386124614,0.0,0.24630200862884521,-1.4608872890472413,0.012662885710597038,0.0018617183,0.2,0.0001,,,
1.21,49,2940,0,3523,0,-0.039706939999999996,2011,2940,0.96,-0.004449709045778505,480,0.04755849391222,0.0,0.1925099492073059,-1.3967079997062684,0.010258511640131474,0.002061663,0.2,0.0001,,,
1.31,50,3000,0,3592,0,-0.08064336,2052,3000,0.92,-0.0047977051670507805,490,0.08152874484658242,0.0,0.1758592128753662,-1.3252390503883362,0.02569635957479477,0.0014427583,0.2,0.0001,,,
1.48,51,3060,0,3662,0,-0.1233669,2092,3060,0.87,-0.010342300642902735,500,0.12158460766077042,0.0,0.37961524724960327,-1.2661748051643371,0.03161263465881348,0.0020233572,0.2,0.0001,,,
1.33,52,3120,0,3736,0,-0.07115881999999998,2144,3120,0.92,0.003977679593954253,510,0.12025505378842354,0.0,0.2641454339027405,-1.221758234500885,0.05723809078335762,9.9570556e-05,0.2,0.0001,,,
1.23,53,3180,0,3805,0,-0.04887037,2189,3180,0.95,-0.0005412060217349967,520,0.07180035077035427,0.0,-0.31944847106933594,-1.2244228959083556,0.026225734502077103,8.897583e-05,0.2,0.0001,,,
1.29,54,3240,0,3901,0,-0.050972989999999996,2235,3240,0.94,-0.0007431102837532677,530,0.11571496948599816,0.0,0.27596986293792725,-1.1915666699409484,0.04451274126768112,0.0002852857,0.2,0.0001,,,
1.25,55,3300,0,3978,0,-0.03104006,2284,3300,0.96,-0.0018822658087689792,540,0.10108863413333893,0.0,-0.604112982749939,-1.1805527329444885,0.03309057652950287,0.0002765745,0.2,0.0001,,,
1.24,56,3360,0,4056,0,-0.060869290000000006,2331,3360,0.95,-0.002770910471444932,550,0.053546472638845447,0.0,-0.08465540409088135,-1.1945471167564392,0.014952058903872967,0.0004207899,0.2,0.0001,,,
1.33,57,3420,0,4133,0,-0.10242446,2377,3420,0.91,0.0012217001290991901,560,0.14038748294115067,0.0,0.2916075587272644,-1.2145708441734313,0.05560695007443428,4.1884185e-05,0.2,0.0001,,,
1.24,58,3480,0,4211,0,-0.05039943999999999,2427,3480,0.95,-0.001514589773020525,570,0.14108186215162277,0.0,0.15881800651550293,-1.214341115951538,0.05541094020009041,0.00012433728,0.2,0.0001,,,
1.3,59,3540,0,4288,0,-0.05052791,2470,3540,0.94,-0.0009154575085631222,580,0.060139288753271104,0.0,-51.4620361328125,-1.2269209384918214,0.00952418427914381,0.00016676585,0.2,0.0001,,,
1.44,60,3600,0,4360,0,-0.09298885999999999,2507,3600,0.91,-0.0033486709720454756,590,0.12677003890275956,0.0,0.2982364892959595,-1.2346475005149842,0.04507272318005562,0.00033887028,0.2,0.0001,,,
1.51,61,3660,0,4437,0,-0.10645953000000002,2552,3660,0.9,-0.0036650543345603916,600,0.15830574184656143,0.0,0.24412405490875244,-1.241859769821167,0.06120814383029938,0.00058315,0.2,0.0001,,,
1.47,62,3720,0,4508,0,-0.07825973,2592,3720,0.91,-0.004678989436943226,610,0.10583933591842651,0.0,0.2338581085205078,-1.267841672897339,0.029450029134750366,0.0010046045,0.2,0.0001,,,
1.42,63,3780,0,4589,0,-0.08865717000000001,2635,3780,0.9,-0.0022473147671552953,620,0.07991074621677399,0.0,0.214399516582489,-1.3149075150489806,0.028173206374049187,0.0009994785,0.2,0.0001,,,
1.54,64,3840,0,4655,0,-0.12864037,2669,3840,0.87,-1.6901593383877868e-05,630,0.14520689696073533,0.0,0.27276235818862915,-1.3433947682380676,0.0578007698059082,0.00019085506,0.2,0.0001,,,
1.52,65,3900,0,4728,0,-0.12568168000000002,2711,3900,0.88,-0.0027819541914504862,640,0.17345340847969054,0.0,0.1545812487602234,-1.3133850812911987,0.07122364640235901,0.00070809823,0.2,0.0001,,,
1.49,66,3960,0,4798,0,-0.12477823,2755,3960,0.88,-0.0006564557625824641,650,0.14356634467840196,0.0,0.10369271039962769,-1.2875924706459045,0.0555669404566288,0.0002007087,0.2,0.0001,,,
