env/current_idx,eval/mean_ep_length,eval/success_rate,eval/mean_reward,time/total_timesteps,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates
25291,1.24,0.88,-0.1296509007131681,41700,0,41700,,,,,,,-0.28140877455472946,0.0041800877,-0.010201821079244838,0.04454261437058449,0.0001,0.03619318217039108,0.17337362065911294,0.1091967225074768,0.2,1380
,,,,41700,,,1.52,59733,0.77,-0.2212695,0,139,,,,,,,,,,
25484,1.14,0.98,-0.02876177940517664,42000,0,42000,,,,,,,-0.23411172538995742,0.00442536,-0.011435799606260844,0.030086548998951912,0.0001,0.027585227489471436,0.1394330506026745,0.32395291328430176,0.2,1390
,,,,42000,,,1.54,60144,0.81,-0.2200496,0,140,,,,,,,,,,
25664,1.34,0.86,-0.07391222244128585,42300,0,42300,,,,,,,-0.2987372699379921,0.004357909,-0.011372438441030681,0.05413991957902908,0.0001,0.03167613655328751,0.17005615234375,0.17413288354873657,0.2,1400
,,,,42300,,,1.77,60558,0.68,-0.28707202000000004,0,141,,,,,,,,,,
25840,1.32,0.86,-0.11052732751239092,42600,0,42600,,,,,,,-0.2416861754655838,0.004867924,-0.008884096496040002,0.06139864772558212,0.0001,0.022954545617103576,0.16782558009028434,0.1482287049293518,0.2,1410
,,,,42600,,,1.6,61047,0.76,-0.23555391000000003,0,142,,,,,,,,,,
26036,1.3,0.9,-0.0721204300224781,42900,0,42900,,,,,,,-0.30028443366289137,0.006610586,-0.014928554552607238,0.06429553031921387,0.0001,0.04715909108519554,0.16674665361642838,0.18979066610336304,0.2,1420
,,,,42900,,,1.55,61463,0.78,-0.22028894999999998,0,143,,,,,,,,,,
26220,1.2,0.9,-0.08895362756680697,43200,0,43200,,,,,,,-0.24746195256710052,0.0051434706,-0.016969710839912295,0.04923732578754425,0.0001,0.047471591234207154,0.15584393918514253,0.21192967891693115,0.2,1430
,,,,43200,,,1.66,61897,0.73,-0.2921587,0,144,,,,,,,,,,
26400,1.2,0.94,-0.07109004283789545,43500,0,43500,,,,,,,-0.2943052688241005,0.004096979,-0.009821461376268416,0.060345619916915894,0.0001,0.030937500149011612,0.1657857285439968,0.2584080696105957,0.2,1440
,,,,43500,,,1.66,62335,0.71,-0.25193598999999994,0,145,,,,,,,,,,
26585,1.16,0.94,-0.047964318082667885,43800,0,43800,,,,,,,-0.2879314076900482,0.0056148944,-0.009893551472341642,0.07537618279457092,0.0001,0.03931818202137947,0.18067947089672087,0.12722545862197876,0.2,1450
,,,,43800,,,1.55,62730,0.77,-0.18098692,0,146,,,,,,,,,,
26781,1.1,0.98,-0.027565315021201967,44100,0,44100,,,,,,,-0.224073466360569,0.0068039997,-0.012589379523633397,0.03105596825480461,0.0001,0.05221590936183929,0.14139722406864166,0.26719164848327637,0.2,1460
,,,,44100,,,1.54,63150,0.78,-0.2241022,0,147,,,,,,,,,,
26969,1.28,0.88,-0.11169810491614043,44400,0,44400,,,,,,,-0.2372151020169258,0.006092555,-0.012013160143978893,0.0376894436776638,0.0001,0.037869318425655364,0.15716807469725608,0.18681621551513672,0.2,1470
,,,,44400,,,1.56,63571,0.81,-0.18432780999999998,0,148,,,,,,,,,,
27154,1.2,0.92,-0.08828563696239143,44700,0,44700,,,,,,,-0.265350478887558,0.014420882,-0.010654283701442183,0.0411689393222332,0.0001,0.038437500298023224,0.15518438309431076,0.20612585544586182,0.2,1480
,,,,44700,,,1.67,64012,0.74,-0.24582255999999997,0,149,,,,,,,,,,
27342,1.24,0.9,-0.07119421366602183,45000,0,45000,,,,,,,-0.31428075522184373,0.008739534,-0.012079609823413193,0.028937479481101036,0.0001,0.039687500298023225,0.14464586466550827,0.3023603558540344,0.2,1490
,,,,45000,,,1.7,64437,0.71,-0.26952061,0,150,,,,,,,,,,
27534,1.1,0.98,-0.007670598216354847,45300,0,45300,,,,,,,-0.3271920105814934,0.008411681,-0.014765960522927344,0.0013002455234527588,0.0001,0.06198863685131073,0.1613193579018116,0.1453074812889099,0.2,1500
,,,,45300,,,1.58,64846,0.74,-0.25439638000000003,0,151,,,,,,,,,,
27720,1.18,0.92,-0.08881273563019931,45600,0,45600,,,,,,,-0.2210598811507225,0.0031714519,-0.00873721674317494,0.03820012882351875,0.0001,0.026420454680919647,0.14106431111693382,0.30459946393966675,0.2,1510
,,,,45600,,,1.63,65264,0.75,-0.22365515,0,152,,,,,,,,,,
27921,1.18,0.94,-0.02879639274906367,45900,0,45900,,,,,,,-0.29539823055267334,0.008132232,-0.011671906020492315,0.07521523535251617,0.0001,0.047840909361839296,0.1568649184703827,0.2827940583229065,0.2,1520
,,,,45900,,,1.5,65705,0.78,-0.20881028000000001,0,153,,,,,,,,,,
28108,1.36,0.84,-0.1513358088536188,46200,0,46200,,,,,,,-0.2634090730547905,0.005873105,-0.013083725341130049,0.04024314135313034,0.0001,0.03201704561710358,0.15543876394629477,0.1425531506538391,0.2,1530
,,,,46200,,,1.61,66126,0.76,-0.23911097,0,154,,,,,,,,,,
