time/iterations,env/current_idx,time/fps,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
79,3318,0,4740,4740,0,1.5,-0.0959562,5833,0.88,0.0,-0.0050124176013437,0.0015138407,0.0001,0.027641842141747475,0.2,0.09148163571953774,-1.2015796184539795,0.39940863847732544,780,,,
80,3361,0,4800,4800,0,1.42,-0.10295225999999998,5909,0.9,0.0,-0.005689367943753787,0.0017947267,0.0001,0.050816766917705536,0.2,0.13443214893341066,-1.1350447535514832,0.21284997463226318,790,,,
81,3408,0,4860,4860,0,1.33,-0.08184594999999999,5991,0.93,0.0,-0.0017780837525302573,0.0005679627,0.0001,0.06002657860517502,0.2,0.14243657886981964,-1.0777493119239807,0.18768787384033203,800,,,
82,3453,0,4920,4920,0,1.31,-0.06167631,6067,0.94,0.0,-0.00011864483632963995,0.0002843261,0.0001,0.0438387393951416,0.2,0.1075503870844841,-1.0505144596099854,-0.017281174659729004,810,,,
83,3489,0,4980,4980,0,1.43,-0.10392492,6148,0.9,0.0,2.1937793790094416e-05,2.7039647e-05,0.0001,0.03240989148616791,0.2,0.07807031422853469,-1.0286885023117065,0.26114869117736816,820,,,
84,3528,0,5040,5040,0,1.53,-0.12764579999999998,6227,0.88,0.0,-0.001104666081470551,8.170704e-05,0.0001,0.0662577748298645,0.2,0.15984555035829545,-1.0449611783027648,0.24245685338974,830,,,
85,3575,0,5100,5100,0,1.41,-0.09905445,6302,0.92,0.0,-0.002977299701888114,0.00038123032,0.0001,0.060217831283807755,0.2,0.1526477187871933,-1.0205130457878113,0.13003456592559814,840,,,
86,3619,0,5160,5160,0,1.37,-0.08445114000000001,6370,0.92,0.0,-0.00023922899505124384,0.00017462471,0.0001,0.03559829294681549,0.2,0.08142663538455963,-1.011255919933319,0.2940860390663147,850,,,
87,3659,0,5220,5220,0,1.42,-0.08260327,6449,0.91,0.003333333507180214,-0.0027064551757939536,0.00082954566,0.0001,0.040144309401512146,0.2,0.10897058546543122,-1.0475992560386658,0.1668286919593811,860,,,
88,3702,0,5280,5280,0,1.41,-0.07262483,6521,0.93,0.0,-0.0011935143782952906,0.00029351315,0.0001,0.05684446543455124,0.2,0.13580516055226327,-1.0583448886871338,0.0073277950286865234,870,,,
89,3749,0,5340,5340,0,1.32,-0.06415148000000001,6598,0.94,0.0,-0.002251747674114668,0.00040849447,0.0001,0.03137410432100296,0.2,0.08598042428493499,-1.0955955624580382,0.19139283895492554,880,,,
90,3799,0,5400,5400,0,1.25,-0.05315111000000001,6691,0.95,0.0,-0.0017004295217338595,0.00022763113,0.0001,0.04531598091125488,0.2,0.1128696233034134,-1.1058719277381897,0.1696779727935791,890,,,
91,3849,0,5460,5460,0,1.2,-0.02963589,6769,0.98,0.005000000260770321,-0.002741620738039785,0.0014063626,0.0001,0.02068292163312435,0.2,0.06130968667566776,-1.0988661885261535,-0.1634528636932373,900,,,
92,3896,0,5520,5520,0,1.24,-0.029923419999999992,6850,0.98,0.0,-0.004500261145100559,0.0007677078,0.0001,0.014118627645075321,0.2,0.053623360395431516,-1.0528519034385682,0.05047231912612915,910,,,
93,3938,0,5580,5580,0,1.31,-0.04286189,6919,0.97,0.0,0.0005528929159240193,4.6607853e-05,0.0001,0.02222766913473606,0.2,0.05031653456389904,-1.017752206325531,0.08179634809494019,920,,,
94,3985,0,5640,5640,0,1.33,-0.0632227,6998,0.95,0.0,-0.0010361961635256378,0.0001130869,0.0001,0.0329376719892025,0.2,0.08105714097619057,-1.031924068927765,0.24846476316452026,930,,,
95,4022,0,5700,5700,0,1.43,-0.07480541,7073,0.91,0.001666666753590107,-0.0019404476593628318,0.00054673455,0.0001,0.03222941607236862,0.2,0.08808762356638908,-1.0282548427581788,0.37767744064331055,940,,,
96,4067,0,5760,5760,0,1.45,-0.06354115,7141,0.91,0.0,-0.005616592513397478,0.0014412015,0.0001,0.048150502145290375,0.2,0.13142283856868744,-1.0636666536331176,-0.3306293487548828,950,,,
97,4103,0,5820,5820,0,1.5,-0.06517765,7216,0.88,0.0,-0.001781816596533936,0.00081505976,0.0001,0.034619394689798355,0.2,0.09142740070819855,-1.117463183403015,0.047713637351989746,960,,,
98,4148,0,5880,5880,0,1.45,-0.08373428000000002,7286,0.89,0.0,-0.004061543999899442,0.0004302472,0.0001,0.040816932916641235,0.2,0.11414115577936172,-1.135243034362793,0.1745305061340332,970,,,
99,4192,0,5940,5940,0,1.41,-0.10243025,7364,0.9,0.0,-0.00036787101972244327,0.00045718253,0.0001,0.05141519382596016,0.2,0.11791195720434189,-1.0970473885536194,0.1298518180847168,980,,,
,4233,,6000,6000,0,,,,,0.0,-0.0011789936422913704,8.305013e-05,0.0001,0.03998599573969841,0.2,0.09589760228991509,-1.0816456198692321,0.3158751130104065,990,1.22,0.96,-0.0506802961579524
100,,0,6000,,,1.39,-0.09145668000000001,7590,0.91,,,,,,,,,,,,,
101,4273,0,6060,6060,0,1.47,-0.12558951,7663,0.87,0.0,-0.002646405735091939,0.00056604546,0.0001,0.05203428864479065,0.2,0.1326169863343239,-1.099515187740326,0.23605507612228394,1000,,,
102,4314,0,6120,6120,0,1.51,-0.14012455,7731,0.87,0.0,-0.0041382748796604755,0.0008711636,0.0001,0.05888906493782997,0.2,0.15077698975801468,-1.1423568725585938,0.23746120929718018,1010,,,
103,4355,0,6180,6180,0,1.51,-0.12767122,7800,0.87,0.0,-0.0022947631127317792,0.00029327572,0.0001,0.060196273028850555,0.2,0.14593228548765183,-1.142990517616272,0.2299242615699768,1020,,,
104,4398,0,6240,6240,0,1.48,-0.10703158,7871,0.89,0.0,-0.0028974825442613207,0.0003047069,0.0001,0.0609280988574028,0.2,0.15188241004943848,-1.1197543740272522,0.1081656813621521,1030,,,
105,4443,0,6300,6300,0,1.37,-0.05113417,7947,0.93,0.0,-0.005384641382067202,0.0016522865,0.0001,0.017118830233812332,0.2,0.07345242761075496,-1.1456676125526428,0.3767617344856262,1040,,,
106,4490,0,6360,6360,0,1.29,-0.04018325,8021,0.93,0.0,-0.0011734998457056279,0.00017844439,0.0001,0.026796497404575348,0.2,0.07438920214772224,-1.1860914826393127,0.3006739616394043,1050,,,
107,4534,0,6420,6420,0,1.35,-0.061069640000000015,8092,0.91,0.006666667014360428,-0.003881509845474795,0.000808994,0.0001,0.017297934740781784,0.2,0.0646870594471693,-1.1604895114898681,-0.3131979703903198,1060,,,
108,4578,0,6480,6480,0,1.34,-0.06117513999999998,8169,0.93,0.0,-0.006265954566575971,0.0015650104,0.0001,0.0312519446015358,0.2,0.10502554327249528,-1.1841333031654357,0.301222562789917,1070,,,
109,4622,0,6540,6540,0,1.39,-0.07194775,8246,0.94,0.0,-0.006999696285929513,0.0036603173,0.0001,0.013882709667086601,0.2,0.06573772355914116,-1.2827843189239503,0.3866668939590454,1080,,,
110,4656,0,6600,6600,0,1.49,-0.09376809,8320,0.9,0.0,-0.0022022432392500234,0.00074737467,0.0001,0.030156603083014488,0.2,0.08480990827083587,-1.3493562459945678,0.12175947427749634,1090,,,
111,4690,0,6660,6660,0,1.63,-0.1263819,8404,0.84,0.0,-0.004836583703679054,0.0020915498,0.0001,0.052619170397520065,0.2,0.14546708911657333,-1.4004432678222656,0.12436556816101074,1100,,,
112,4729,0,6720,6720,0,1.67,-0.1371822,8480,0.84,0.0,-0.00561174974466363,0.0031475276,0.0001,0.05844150856137276,0.2,0.155642469227314,-1.4806699872016906,0.20043081045150757,1110,,,
113,4773,0,6780,6780,0,1.48,-0.08411558999999999,8554,0.9,0.018333334103226663,-0.020350461114818686,0.011484041,0.0001,0.014894809573888779,0.2,0.12594696134328842,-1.5540342569351195,0.08396273851394653,1120,,,
114,4812,0,6840,6840,0,1.41,-0.07262922,8627,0.93,0.0,-0.0004559930850518867,0.0043857973,0.0001,0.024347852915525436,0.2,0.06951834857463837,-1.676943802833557,-0.010061979293823242,1130,,,
115,4855,0,6900,6900,0,1.48,-0.07327660999999998,8698,0.9,0.0,-0.00689145347394513,0.001265952,0.0001,0.026943529024720192,0.2,0.09867310374975205,-1.6790040135383606,0.35783666372299194,1140,,,
116,4901,0,6960,6960,0,1.44,-0.07328197000000002,8774,0.91,0.0,-0.006625789439228136,0.0036823303,0.0001,0.020254570990800858,0.2,0.08302818238735199,-1.6331294655799866,0.17704463005065918,1150,,,
117,4947,0,7020,7020,0,1.33,-0.05184041,8844,0.96,0.0,-0.008426210829056657,0.0025583247,0.0001,0.01944059319794178,0.2,0.08210269287228585,-1.557154655456543,0.39534544944763184,1160,,,
118,4983,0,7080,7080,0,1.42,-0.09416381,8915,0.91,0.0,-0.0037051751943847576,0.00060550176,0.0001,0.023899897933006287,0.2,0.07696021124720573,-1.5182519435882569,-0.30096161365509033,1170,,,
119,5025,0,7140,7140,0,1.5,-0.12730794,8988,0.88,0.0,-0.011973602186577992,0.0027989657,0.0001,0.08207527548074722,0.2,0.26277101784944534,-1.5215073823928833,0.16001641750335693,1180,,,
120,5070,0,7200,7200,0,1.42,-0.11679877999999999,9062,0.89,0.0,-0.006776525336705852,0.0042343508,0.0001,0.04706386849284172,0.2,0.13049772530794143,-1.43199862241745,0.3400258421897888,1190,,,
121,5111,0,7260,7260,0,1.39,-0.08341150000000001,9138,0.91,0.0,-0.001120479089101245,0.00035227637,0.0001,0.05789122357964516,0.2,0.14931509345769883,-1.358626937866211,0.1415230631828308,1200,,,
122,5162,0,7320,7320,0,1.34,-0.06257344,9217,0.93,0.0,-0.003948609775591994,0.0009282639,0.0001,0.05138476938009262,0.2,0.13243604823946953,-1.3714263081550597,0.09339320659637451,1210,,,
123,5208,0,7380,7380,0,1.25,-0.030301019999999998,9286,0.96,0.0,-0.004264824327377426,0.0006621768,0.0001,0.012012743391096592,0.2,0.059346288442611694,-1.3948115587234498,0.12561112642288208,1220,,,
