env/n_steps,eval/success_rate,eval/mean_reward,eval/mean_ep_length,env/current_idx,env/completion_counter,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,time/iterations,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction
17700,0.96,-0.061641663908958436,1.4,7959,0,17700,,,,,,,580,0.001,-0.07008297741413116,0.2,-0.7003737163543701,-0.05798213070258498,0.13544685080647467,0.064455464,0.0030755996704101562,0.27528409093618394
,,,,,,17700,27933,-0.22606437000000007,0,0.82,59,2.1,,,,,,,,,,
18000,1.0,-0.008211325462907553,1.18,8098,0,18000,,,,,,,590,0.001,-0.049600206315517426,0.2,-0.6696034157276154,-0.06070242103538476,0.11405577890574932,0.06646568,0.07514321804046631,0.28676136434078214
,,,,,,18000,28379,-0.28075268000000003,0,0.74,60,2.22,,,,,,,,,,
18300,1.0,-0.008981989254243672,1.2,8246,0,18300,,,,,,,600,0.001,-0.07851642370223999,0.2,-0.6222034621238709,-0.06214669864624739,0.11913992807269097,0.08494164,0.036769747734069824,0.29153409123420715
,,,,,,18300,28818,-0.23744778,0,0.81,61,2.09,,,,,,,,,,
18600,0.96,-0.054735355665907266,1.5,8381,0,18600,,,,,,,610,0.001,-0.06676415354013443,0.2,-0.5565128755569458,-0.05508202580735087,0.11128169067203998,0.07835427,-0.01579129695892334,0.25181818202137946
,,,,,,18600,29262,-0.23889641,0,0.78,62,2.21,,,,,,,,,,
18900,0.9,-0.11791345628909766,1.5,8521,0,18900,,,,,,,620,0.001,-0.047516755759716034,0.2,-0.637429095506668,-0.06542410001158715,0.10418624188750983,0.10297489,0.08143162727355957,0.28573863610625266
,,,,,,18900,29706,-0.20407697,0,0.79,63,2.22,,,,,,,,,,
19200,0.96,-0.05492055068723858,1.34,8665,0,19200,,,,,,,630,0.001,-0.04583396390080452,0.2,-0.44866097092628476,-0.046121883289888504,0.09566221840679645,0.071440086,0.03233522176742554,0.2526136368513107
,,,,,,19200,30150,-0.19040209000000005,0,0.85,64,1.98,,,,,,,,,,
19500,0.96,-0.05493717514909804,1.32,8791,0,19500,,,,,,,640,0.001,-0.09421850740909576,0.2,-0.5533235174417496,-0.0576879133656621,0.10905638549476862,0.14337984,-0.02187669277191162,0.27153409138321877
,,,,,,19500,30571,-0.26913636,0,0.77,65,2.43,,,,,,,,,,
19800,0.9,-0.0847185540990904,1.54,8922,0,19800,,,,,,,650,0.001,-0.10531248152256012,0.2,-0.6491717475652695,-0.06349270193837583,0.1136901105940342,0.109064266,0.06765502691268921,0.29738636434078214
,,,,,,19800,31023,-0.23454270000000002,0,0.79,66,2.23,,,,,,,,,,
20100,0.92,-0.09472889427561312,1.34,9076,0,20100,,,,,,,660,0.001,-0.07113691419363022,0.2,-0.5824185508489609,-0.05644528770819306,0.10913073513656854,0.10402969,0.06338256597518921,0.3065340901911259
,,,,,,20100,31472,-0.23406849000000002,0,0.8,67,1.99,,,,,,,,,,
20400,0.94,-0.07094517345540226,1.32,9219,0,20400,,,,,,,670,0.001,-0.07620741426944733,0.2,-0.4847546631097794,-0.04880049067549407,0.12030363596975803,0.08154805,0.09731549024581909,0.24571022748947144
,,,,,,20400,31948,-0.21787644999999997,0,0.79,68,2.08,,,,,,,,,,
20700,0.98,-0.03295514033641666,1.32,9376,0,20700,,,,,,,680,0.001,-0.04032895714044571,0.2,-0.5973629105091095,-0.05294423815794289,0.11719735093414783,0.113291875,0.07840126752853394,0.2486363635957241
,,,,,,20700,32430,-0.15194415,0,0.89,69,1.75,,,,,,,,,,
21000,0.92,-0.09384094627574086,1.42,9521,0,21000,,,,,,,690,0.001,-0.0878380835056305,0.2,-0.5163842350244522,-0.04410819680429995,0.11636045332998038,0.08702469,0.09733855724334717,0.23542613595724105
,,,,,,21000,32905,-0.20012445000000006,0,0.83,70,2.03,,,,,,,,,,
21300,0.98,-0.03121405016630888,1.24,9662,0,21300,,,,,,,700,0.001,-0.045153871178627014,0.2,-0.508155272603035,-0.04741849296726287,0.11099272638559342,0.1361359,-0.0458369255065918,0.24835227251052858
,,,,,,21300,33354,-0.18409857,0,0.84,71,2.06,,,,,,,,,,
21600,0.96,-0.047880918993614616,1.18,9806,0,21600,,,,,,,710,0.001,-0.07393410801887512,0.2,-0.593146356344223,-0.056427240194752815,0.09667047347873449,0.07482095,0.03043895959854126,0.27553977221250536
,,,,,,21600,33808,-0.24194676,0,0.81,72,2.05,,,,,,,,,,
21900,0.88,-0.11447137300856411,1.5,9942,0,21900,,,,,,,720,0.001,-0.05213578790426254,0.2,-0.6332861316204071,-0.06062355946749449,0.11724571544677019,0.093995884,-0.006629347801208496,0.29585227265954017
,,,,,,21900,34285,-0.28538261,0,0.76,73,2.18,,,,,,,,,,
22200,0.88,-0.12006918020546437,1.6,10089,0,22200,,,,,,,730,0.001,-0.08362101018428802,0.2,-0.6957479643821717,-0.06870518399402499,0.13747574381530284,0.08914703,-0.1339346170425415,0.3112215907871723
,,,,,,22200,34775,-0.23034701000000002,0,0.8,74,2.05,,,,,,,,,,
22500,0.9,-0.11565263220574706,1.54,10228,0,22500,,,,,,,740,0.001,-0.0937904492020607,0.2,-0.6627987158298493,-0.06543304686434567,0.10620511248707772,0.08415131,0.10105252265930176,0.285625
,,,,,,22500,35229,-0.28254723000000004,0,0.79,75,2.26,,,,,,,,,,
22800,0.96,-0.05612364158034325,1.3,10382,0,22800,,,,,,,750,0.001,-0.049377359449863434,0.2,-0.6227289521694184,-0.05036727129481733,0.14211111478507518,0.13169354,-0.028984427452087402,0.3138920456171036
,,,,,,22800,35686,-0.22597104999999998,0,0.81,76,2.02,,,,,,,,,,
23100,0.96,-0.035573781812563536,1.34,10539,0,23100,,,,,,,760,0.001,-0.048081450164318085,0.2,-0.5102255111932754,-0.054966135770082476,0.10500561084598303,0.072840594,0.16345566511154175,0.2751136356592178
,,,,,,23100,36137,-0.19305969,0,0.83,77,1.88,,,,,,,,,,
23400,0.98,-0.03198719241190702,1.24,10683,0,23400,,,,,,,770,0.001,-0.062123872339725494,0.2,-0.5610961353778839,-0.05622751886025071,0.12421699959784746,0.09860102,0.027063488960266113,0.2657954552769661
,,,,,,23400,36585,-0.24500079999999994,0,0.77,78,2.27,,,,,,,,,,
23700,0.92,-0.09424892289098352,1.46,10840,0,23700,,,,,,,780,0.001,-0.05072825402021408,0.2,-0.5745607978105545,-0.05656461831182241,0.11448040053248405,0.059519958,0.13062423467636108,0.28085227340459823
,,,,,,23700,37014,-0.14559293,0,0.87,79,1.74,,,,,,,,,,
24000,0.94,-0.05208965309429914,1.36,10990,0,24000,,,,,,,790,0.001,-0.0019875280559062958,0.2,-0.4666177350282669,-0.044821763820946214,0.13862479530274868,0.053964835,-0.22051596641540527,0.22468750074505806
,,,,,,24000,37456,-0.20472680999999998,0,0.83,80,1.89,,,,,,,,,,
24300,0.92,-0.07890076890587806,1.5,11143,0,24300,,,,,,,800,0.001,-0.051879819482564926,0.2,-0.4766854059696197,-0.057788805274758485,0.1185294733569026,0.068467095,0.14637404680252075,0.240539773106575
,,,,,,24300,37911,-0.18662615,0,0.87,81,1.92,,,,,,,,,,
24600,1.0,-0.014897889504209161,1.42,11301,0,24600,,,,,,,810,0.001,-0.05022045224905014,0.2,-0.43189794838428497,-0.05079953176900744,0.12638404984027146,0.07258958,-0.10167765617370605,0.22142045482993125
,,,,,,24600,38395,-0.17259164,0,0.85,82,1.85,,,,,,,,,,
24900,0.92,-0.09303421881049871,1.46,11442,0,24900,,,,,,,820,0.001,-0.02514621987938881,0.2,-0.46246122419834135,-0.04540339861065149,0.11466792456805706,0.06503461,0.12799984216690063,0.20346590846776963
,,,,,,24900,38839,-0.23974942999999999,0,0.81,83,2.07,,,,,,,,,,
25200,0.94,-0.0811631376016885,1.38,11576,0,25200,,,,,,,830,0.001,-0.06147914379835129,0.2,-0.4378725212812424,-0.0480149100383278,0.1232559497654438,0.08346172,0.21277552843093872,0.22085227221250534
,,,,,,25200,39298,-0.24958798999999995,0,0.8,84,2.17,,,,,,,,,,
25500,0.92,-0.07776744278147817,1.48,11720,0,25500,,,,,,,840,0.001,-0.04225378483533859,0.2,-0.4456701517105103,-0.047207897221669556,0.1249794752150774,0.06495059,0.01213306188583374,0.24125000029802324
,,,,,,25500,39766,-0.25509063,0,0.77,85,2.2,,,,,,,,,,
25800,0.96,-0.05381623602006584,1.42,11875,0,25800,,,,,,,850,0.001,-0.010236691683530807,0.2,-0.4912896752357483,-0.05283602155745029,0.16034970313310623,0.0640664,0.011420011520385742,0.24826704502105712
,,,,,,25800,40232,-0.19659905000000003,0,0.82,86,2.03,,,,,,,,,,
26100,0.92,-0.07585802086628973,1.36,12019,0,26100,,,,,,,860,0.001,-0.04403747618198395,0.2,-0.379226935505867,-0.04647232830524445,0.10707123994827271,0.07869809,0.09689295291900635,0.21784090980887413
,,,,,,26100,40674,-0.20281381000000004,0,0.83,87,1.97,,,,,,,,,,
26400,0.94,-0.07470061937812716,1.38,12156,0,26400,,,,,,,870,0.001,-0.004721630364656448,0.2,-0.4346612578630447,-0.04196554472669959,0.14193129859864712,0.11294943,-0.0075533390045166016,0.2448863634467125
,,,,,,26400,41127,-0.26702338,0,0.77,88,2.14,,,,,,,,,,
