eval/mean_reward,eval/mean_ep_length,env/current_idx,eval/success_rate,env/completion_counter,env/n_steps,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss
-0.03208142569754273,1.48,6793,0.96,0,15300,15300,,,,,,,-0.0001938588985544243,0.2,0.0,-0.2120845353603363,0.0001,250,0.19680098176002503,1.5182048e-05,0.0603024959564209,0.07632265239953995
,,,,,,15300,-0.22007893000000003,0,51,23814,0.8,2.11,,,,,,,,,,
-0.05145455731078982,1.36,6954,0.94,0,15600,15600,,,,,,,-0.00020603910059435293,0.2,0.0,-0.21669505655765534,0.0001,255,0.1836730033159256,3.251774e-05,0.19856375455856323,0.07783309370279312
,,,,,,15600,-0.16105236,0,52,24260,0.86,1.95,,,,,,,,,,
-0.07793371660634875,1.42,7106,0.94,0,15900,15900,,,,,,,-0.0006613663514144719,0.2,0.0,-0.20512501180171966,0.0001,260,0.18585482180118562,8.77163e-05,0.07789421081542969,0.09914086759090424
,,,,,,15900,-0.20910147,0,53,24704,0.83,1.98,,,,,,,,,,
-0.033745771879330276,1.24,7244,0.96,0,16200,16200,,,,,,,-0.0013708760813460686,0.2,0.004943181872367859,-0.20324928283691407,0.0001,265,0.19056593477725983,0.0016414654,0.18757861852645874,0.08867324143648148
,,,,,,16200,-0.31288444000000004,0,54,25151,0.77,2.41,,,,,,,,,,
-0.029526361632160842,1.22,7378,0.98,0,16500,16500,,,,,,,-0.00047007039647041894,0.2,0.0,-0.19220465302467346,0.0001,270,0.18050723850727082,8.5762375e-05,0.28461217880249023,0.07661792635917664
,,,,,,16500,-0.27723408000000005,0,55,25585,0.78,2.23,,,,,,,,,,
-0.04956951316911727,1.22,7522,0.96,0,16800,16800,,,,,,,-0.00022986686402305168,0.2,0.0,-0.1972055447101593,0.0001,275,0.22294576287269594,2.1023303e-05,0.07452213764190674,0.12137050926685333
,,,,,,16800,-0.22939978,0,56,26024,0.81,2.13,,,,,,,,,,
-0.07615014975890518,1.4,7689,0.92,0,17100,17100,,,,,,,-0.00016073758954007644,0.2,0.0,-0.19008845806121827,0.0001,280,0.17852753788232803,1.515763e-05,0.2890987992286682,0.0646110400557518
,,,,,,17100,-0.13853651,0,57,26500,0.89,1.58,,,,,,,,,,
-0.05000998439267278,1.22,7849,0.96,0,17400,17400,,,,,,,-0.0018368305382318794,0.2,0.0,-0.18218400776386262,0.0001,285,0.17705561816692353,0.00029031426,0.13174766302108765,0.06420455127954483
,,,,,,17400,-0.15427875,0,58,26927,0.85,1.88,,,,,,,,,,
-0.07363933470100165,1.34,7995,0.94,0,17700,17700,,,,,,,0.00012206943549429639,0.2,0.0,-0.16470413982868196,0.0001,290,0.16829144656658174,4.0456652e-07,0.16067272424697876,0.06749473512172699
