env/current_idx,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/policy_gradient_loss
,17400,,,,,,2.11,0,27089,-0.25659416999999995,0.79,58,,,,,,,,,,
8039,17700,1.48,-0.07240724615287036,0.94,0,17700,,,,,,,0.18590252920985223,-0.5639741942286491,0.001,0.033999797,0.19198614358901978,0.2,0.1177734375,580,0.014209900051355362,-0.029128654033411295
,17700,,,,,,2.02,0,27561,-0.17357933000000003,0.85,59,,,,,,,,,,
8178,18000,1.44,-0.12682779669761657,0.9,0,18000,,,,,,,0.1857400856912136,-0.5025014966726303,0.001,0.067081556,0.12527841329574585,0.2,0.13100142180919647,590,0.0015333294868469238,-0.03224859769106843
,18000,,,,,,2.0,0,28037,-0.18680480000000008,0.85,60,,,,,,,,,,
8326,18300,1.18,-0.04891208161134273,0.96,0,18300,,,,,,,0.1741752102971077,-0.6045210346579551,0.001,0.08126417,0.21721601486206055,0.2,0.18386008515954017,600,0.025446228682994843,-0.03352445389609784
,18300,,,,,,2.03,0,28483,-0.20656388,0.81,61,,,,,,,,,,
8476,18600,1.36,-0.0709869868773967,0.94,0,18600,,,,,,,0.19832713827490805,-0.5993520349264145,0.001,0.06655012,0.030094563961029053,0.2,0.15811434760689735,610,0.022043772041797638,-0.04230133044766262
,18600,,,,,,1.92,0,28945,-0.21412341000000001,0.83,62,,,,,,,,,,
8601,18900,1.7,-0.07931978449691086,0.9,0,18900,,,,,,,0.1649428516626358,-0.646410071849823,0.001,0.021673083,0.22409921884536743,0.2,0.15507812649011612,620,0.0003209114074707031,-0.03355650595622137
,18900,,,,,,2.44,0,29422,-0.31676666000000003,0.75,63,,,,,,,,,,
8737,19200,1.34,-0.0738176786666736,0.94,0,19200,,,,,,,0.19073592945933343,-0.6973570257425308,0.001,0.024641553,0.13534492254257202,0.2,0.1522372171282768,630,-0.021345481276512146,-0.033809008961543444
,19200,,,,,,2.25,0,29844,-0.23379323999999996,0.76,64,,,,,,,,,,
8887,19500,1.18,-0.03406215570867062,0.98,0,19500,,,,,,,0.19739196822047234,-0.6238380834460259,0.001,0.026636982,0.07827472686767578,0.2,0.13828125037252903,640,0.03291535750031471,-0.03568806510302238
,19500,,,,,,2.1,0,30268,-0.22843619999999998,0.8,65,,,,,,,,,,
9038,19800,1.44,-0.05739730563014746,0.92,0,19800,,,,,,,0.16700698100030423,-0.6376554369926453,0.001,0.022488672,0.28351837396621704,0.2,0.1433771312236786,650,0.03551981598138809,-0.031328748061787336
,19800,,,,,,1.89,0,30724,-0.15896494000000003,0.87,66,,,,,,,,,,
9186,20100,1.34,-0.07568956391420216,0.94,0,20100,,,,,,,0.15375383645296098,-0.5658805295825005,0.001,0.051640525,0.27548712491989136,0.2,0.2039950281381607,660,0.01100265234708786,-0.02768904729746282
,20100,,,,,,2.05,0,31163,-0.1864678,0.82,67,,,,,,,,,,
9327,20400,1.22,-0.029311964944936333,0.96,0,20400,,,,,,,0.1812992710620165,-0.5895044013857842,0.001,0.04086423,0.1525282859802246,0.2,0.12128906287252902,670,-0.001254260540008545,-0.028524712892249227
,20400,,,,,,2.24,0,31594,-0.29222514000000005,0.75,68,,,,,,,,,,
9470,20700,1.3,-0.05010876201093197,0.94,0,20700,,,,,,,0.1771415650844574,-0.6617866158485413,0.001,0.02035575,0.18300890922546387,0.2,0.15024857968091965,680,0.04947526380419731,-0.040550098556559534
,20700,,,,,,1.99,0,32051,-0.20434974000000003,0.83,69,,,,,,,,,,
9619,21000,1.72,-0.13692815996706487,0.88,0,21000,,,,,,,0.16727613136172295,-0.6985590755939484,0.001,0.032971464,0.12108427286148071,0.2,0.15090554170310497,690,0.013113513588905334,-0.03341056279605255
,21000,,,,,,2.06,0,32540,-0.14234140999999997,0.84,70,,,,,,,,,,
9767,21300,1.22,-0.029679959141649306,0.98,0,21300,,,,,,,0.15847239531576635,-0.5065781623125076,0.001,0.015982948,0.06051778793334961,0.2,0.134534802287817,700,0.008347738534212112,-0.03446632148697972
,21300,,,,,,1.93,0,33006,-0.19886743000000004,0.85,71,,,,,,,,,,
9917,21600,1.3,-0.009812810369767248,0.98,0,21600,,,,,,,0.19632951617240907,-0.5152727887034416,0.001,0.009011257,0.21585488319396973,0.2,0.11962003037333488,710,0.06485823541879654,-0.02615705403732136
,21600,,,,,,2.04,0,33476,-0.22984151,0.83,72,,,,,,,,,,
10075,21900,1.18,-0.028955762390978634,0.98,0,21900,,,,,,,0.17842332944273948,-0.5975032791495323,0.001,0.022232572,0.1663838028907776,0.2,0.11903409175574779,720,0.035552721470594406,-0.030112904449924826
,21900,,,,,,2.03,0,33918,-0.18815926000000005,0.83,73,,,,,,,,,,
10208,22200,1.22,-0.00931240846402943,1.0,0,22200,,,,,,,0.1617483925074339,-0.5953973844647408,0.001,0.013136081,0.19250643253326416,0.2,0.1494495738297701,730,0.02458230033516884,-0.029175739987113047
,22200,,,,,,2.15,0,34365,-0.21750908999999993,0.81,74,,,,,,,,,,
10345,22500,1.38,-0.07200169066898525,0.94,0,22500,,,,,,,0.17939051985740662,-0.6207905501127243,0.001,0.016566064,0.23526382446289062,0.2,0.11704545468091965,740,0.07341267913579941,-0.027455832769010157
,22500,,,,,,2.24,0,34816,-0.24038087,0.8,75,,,,,,,,,,
10508,22800,1.28,-0.05085692551918328,0.96,0,22800,,,,,,,0.14802090600132942,-0.6323270618915557,0.001,0.01487216,0.3487095832824707,0.2,0.07752130776643754,750,0.006425440311431885,-0.022108684945851564
,22800,,,,,,1.86,0,35268,-0.11994123,0.9,76,,,,,,,,,,
10657,23100,1.58,-0.07799301219172776,0.92,0,23100,,,,,,,0.14491723142564297,-0.6040238410234451,0.001,0.021158066,-0.017073392868041992,0.2,0.15571733079850675,760,0.005812209099531174,-0.029352263893815688
,23100,,,,,,1.88,0,35739,-0.16499704,0.86,77,,,,,,,,,,
10790,23400,1.6,-0.08440041123889387,0.9,0,23400,,,,,,,0.17435187213122844,-0.7413664221763611,0.001,0.020828271,0.14191341400146484,0.2,0.14501065388321877,770,-0.019989874213933945,-0.03825654846004909
,23400,,,,,,2.25,0,36205,-0.24296653000000001,0.77,78,,,,,,,,,,
10922,23700,1.5,-0.09777540717739612,0.92,0,23700,,,,,,,0.18755387440323829,-0.7233275473117828,0.001,0.020743877,0.20240557193756104,0.2,0.17700639143586158,780,0.012638825923204422,-0.0403413048828952
,23700,,,,,,2.12,0,36646,-0.19499936,0.83,79,,,,,,,,,,
11054,24000,1.2,-0.029625431443564595,0.98,0,24000,,,,,,,0.14655318967998027,-0.6549685001373291,0.001,0.024074428,0.18731248378753662,0.2,0.17562144957482814,790,0.011164132505655289,-0.031073416382423603
,24000,,,,,,2.2,0,37081,-0.29434367000000006,0.78,80,,,,,,,,,,
11192,24300,1.2,-0.009339531268924475,0.98,0,24300,,,,,,,0.20200871527194977,-0.7009632229804993,0.001,0.023463037,0.23140543699264526,0.2,0.12576349601149558,800,0.05738729238510132,-0.03461592003004625
,24300,,,,,,2.03,0,37493,-0.24798868000000002,0.81,81,,,,,,,,,,
11322,24600,1.18,-0.04863594469148666,0.96,0,24600,,,,,,,0.22890349254012107,-0.6970332533121109,0.001,0.0361938,0.11274963617324829,0.2,0.16155894808471202,810,0.018702834844589233,-0.041473758584470485
,24600,,,,,,2.31,0,37927,-0.28710051999999997,0.75,82,,,,,,,,,,
11477,24900,1.5,-0.07423351704142987,0.92,0,24900,,,,,,,0.17948635444045066,-0.5829056724905968,0.001,0.016671011,0.17074763774871826,0.2,0.18304332420229913,820,0.04091081768274307,-0.027424732269719244
,24900,,,,,,2.03,0,38375,-0.18141566,0.83,83,,,,,,,,,,
11637,25200,1.4,-0.032394062778912484,0.96,0,25200,,,,,,,0.17524415776133537,-0.5472333863377571,0.001,0.023471182,0.19791102409362793,0.2,0.09731889255344868,830,0.03936751186847687,-0.026938923308625816
,25200,,,,,,1.95,0,38816,-0.17646540000000002,0.85,84,,,,,,,,,,
11792,25500,1.34,-0.09487019361928105,0.92,0,25500,,,,,,,0.16109902374446392,-0.5960609093308449,0.001,0.018658498,0.18100619316101074,0.2,0.09703480154275894,840,0.011024218052625656,-0.029382653126958758
,25500,,,,,,1.97,0,39255,-0.17832453,0.83,85,,,,,,,,,,
11920,25800,1.18,-0.02885536613408476,0.98,0,25800,,,,,,,0.16440514512360097,-0.5418804749846459,0.001,0.0470876,0.17134851217269897,0.2,0.14724787026643754,850,-0.0016764849424362183,-0.03619894536677748
,25800,,,,,,2.25,0,39691,-0.21197572,0.82,86,,,,,,,,,,
12046,26100,1.4,-0.09561975260265171,0.92,0,26100,,,,,,,0.16801523566246032,-0.6115861997008324,0.001,0.049267344,0.2548646926879883,0.2,0.1821022741496563,860,0.04799584671854973,-0.03350464478135109
,26100,,,,,,2.22,0,40150,-0.30100686,0.76,87,,,,,,,,,,
