time/iterations,env/current_idx,rollout/ep_len_mean,rollout/ep_rew_mean,env/completion_counter,time/total_timesteps,time/time_elapsed,env/n_steps,rollout/success_rate,time/fps,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
74,3195,1.27,-0.06320722,0,4440,5005,4440,0.94,0,0.0001,0.04366666786372662,0.005320568,-0.00734028026381079,0.08357557330280542,-0.02508378028869629,0.2,3650,-0.0033467747271060944,-0.2896014702320099,,,
75,3240,1.27,-0.050304400000000006,0,4500,5071,4500,0.95,0,0.0001,0.10966666981577873,0.014661593,-0.03639605773612857,0.033083832021802664,-0.3736196756362915,0.2,3700,-0.051740650087594986,-0.4518277907371521,,,
76,3287,1.28,-0.07104544,0,4560,5134,4560,0.93,0,0.0001,0.05300000213086605,0.008148508,-0.007821017387439504,0.017486749948002398,-0.17768418788909912,0.2,3750,-0.009541996754705906,-0.29649505615234373,,,
77,3336,1.27,-0.07040364999999998,0,4620,5195,4620,0.94,0,0.0001,0.05566666848957538,0.019853381,-0.022528019307399515,0.08336330864578485,0.1823354959487915,0.2,3800,-0.023889653384685516,-0.23712822079658508,,,
78,3387,1.2,-0.04135616,0,4680,5258,4680,0.97,0,0.0001,0.06833333525806666,0.012391786,-0.03390313126969463,0.03424410345032811,-1.1047053337097168,0.2,3850,-0.04176733270287514,-0.314568048119545,,,
79,3432,1.24,-0.07209692,0,4740,5325,4740,0.94,0,0.0001,0.04466666825115681,0.0062479,-0.005201163939918203,0.04868368349969387,0.21841973066329956,0.2,3900,0.0029171048663556576,-0.18173328310251236,,,
80,3478,1.3,-0.09098040999999998,0,4800,5394,4800,0.92,0,0.0001,0.013666667379438877,0.0026265124,-0.006011760315081709,0.09956583894789219,0.030781865119934082,0.2,3950,0.00987652875483036,-0.10870740413665772,,,
81,3523,1.35,-0.08241221,0,4860,5456,4860,0.91,0,0.0001,0.012333333976566791,0.002367575,-0.004778834172155859,0.07739062692970038,-0.051102399826049805,0.2,4000,0.0022928104735910892,-0.12229382082819938,,,
82,3565,1.34,-0.06400143,0,4920,5533,4920,0.92,0,0.0001,0.06466666907072068,0.03391234,-0.02353463217004901,0.05375690004788339,-1.730083703994751,0.2,4050,-0.0421733520925045,-0.2472820523381233,,,
83,3617,1.26,-0.05175249,0,4980,5604,4980,0.94,0,0.0001,0.02533333405852318,0.0047464343,-0.004729765253898215,0.09769327517598868,-0.07435274124145508,0.2,4100,0.0049260808154940605,-0.17287223905324936,,,
84,3659,1.29,-0.06312027,0,5040,5671,5040,0.94,0,0.0001,0.06900000166147947,0.024839593,-0.01963355351084223,0.016762716770172117,-84.81123352050781,0.2,4150,-0.025842756032943726,-0.2686677223443985,,,
85,3706,1.35,-0.07395794,0,5100,5749,5100,0.93,0,0.0001,0.055000002197921276,0.008907659,-0.011146260877687997,0.10175185654312373,-0.06914126873016357,0.2,4200,-0.0074346959590911865,-0.26111617535352705,,,
86,3747,1.36,-0.05251994,0,5160,5814,5160,0.94,0,0.0001,0.08166666813194752,0.03972334,-0.013616849699135241,0.03601881647482515,0.2591198682785034,0.2,4250,-0.01004786230623722,-0.23726993262767793,,,
87,3793,1.33,-0.051935930000000005,0,5220,5879,5220,0.94,0,0.0001,0.0036666668578982354,0.00053281686,-0.0006424107705303683,0.06010292887687683,-0.11752033233642578,0.2,4300,0.009620718657970428,-0.1535489147901535,,,
88,3839,1.31,-0.06178013999999999,0,5280,5949,5280,0.93,0,0.0001,0.0713333348184824,0.08894631,-0.02207527271488653,0.039517416562885044,-0.22989535331726074,0.2,4350,-0.051102880388498306,-0.26609867870807646,,,
89,3886,1.26,-0.05031055,0,5340,6030,5340,0.94,0,0.0001,0.07666666828095912,0.030435916,-0.01162706427481802,0.05757177419960499,-0.4778202772140503,0.2,4400,-0.011639345437288284,-0.3349394756555557,,,
90,3930,1.32,-0.05047956000000001,0,5400,6094,5400,0.93,0,0.0001,0.18833333685994147,0.030178742,-0.05949800085990379,0.02470751849003136,0.38201671838760376,0.2,4450,-0.07069376111030579,-0.5100779342651367,,,
91,3980,1.29,-0.030152919999999996,0,5460,6165,5460,0.95,0,0.0001,0.09333333544433117,0.0130294645,-0.03293113575705016,0.033773447144776585,-3.598141670227051,0.2,4500,-0.03794865310192108,-0.3676154261827469,,,
92,4022,1.28,-0.0408266,0,5520,6231,5520,0.94,0,0.0001,0.12566666945815086,0.024786107,-0.028291921918435676,0.021863473542034627,-0.06502389907836914,0.2,4550,-0.04942913353443146,-0.38699433624744417,,,
93,4060,1.45,-0.08366699000000002,0,5580,6303,5580,0.89,0,0.0001,0.09233333658427,0.012164098,-0.03560945333268803,0.05399464402347803,-0.18034958839416504,0.2,4600,-0.04481111839413643,-0.4703904235363007,,,
94,4108,1.41,-0.10265479,0,5640,6371,5640,0.89,0,0.0001,0.05200000140815973,0.0048072585,-0.020059646901761888,0.10644957929849624,0.11370205879211426,0.2,4650,-0.022510843351483345,-0.46400596559047697,,,
95,4152,1.29,-0.07044109,0,5700,6441,5700,0.94,0,0.0001,0.11233333732932806,0.014461581,-0.03874758875222564,0.05384872294962406,0.14043986797332764,0.2,4700,-0.04534706100821495,-0.39079693496227264,,,
96,4202,1.26,-0.060060579999999995,0,5760,6515,5760,0.95,0,0.0001,0.06866666935384273,0.009291822,-0.02212464147930344,0.04076659655198455,0.3665536642074585,0.2,4750,-0.03656250983476639,-0.3236586761474609,,,
97,4251,1.22,-0.05934503,0,5820,6576,5820,0.95,0,0.0001,0.011333333924412728,0.0005703052,-0.00474199834022631,0.04660773072391748,-0.0018947124481201172,0.2,4800,-0.0009693722240626812,-0.22747416704893111,,,
98,4297,1.25,-0.07006598000000001,0,5880,6648,5880,0.94,0,0.0001,0.05166666831821203,0.018880092,-0.0196572672262846,0.045678721498698,0.25339585542678833,0.2,4850,-0.034391675144433975,-0.35036333203315734,,,
99,4352,1.19,-0.049803110000000005,0,5940,6714,5940,0.96,0,0.0001,0.11566667005419731,0.012694808,-0.04225223225572457,0.038615530114620926,0.3968292474746704,0.2,4900,-0.05657771974802017,-0.4673813605308533,,,
,4393,,,0,6000,,6000,,,0.0001,0.011000000573694706,0.0009988904,-0.010781749890864986,0.03633198004215956,-0.18722307682037354,0.2,4950,-0.009737560525536537,-0.24993593573570252,1.38,-0.11675553351640701,0.9
100,,1.25,-0.07090811,,6000,6941,,0.94,0,,,,,,,,,,,,,
101,4437,1.35,-0.08163817,0,6060,7010,6060,0.91,0,0.0001,0.06533333510160447,0.019638794,-0.02137129037485769,0.14375930286943914,-0.40949714183807373,0.2,5000,-0.014290092512965202,-0.28867561757564547,,,
102,4485,1.33,-0.07044726999999999,0,6120,7078,6120,0.92,0,0.0001,0.0793333351239562,0.024020934,-0.03168833884472647,0.04183391984552145,0.2746492624282837,0.2,5050,-0.029294436797499657,-0.2277163791656494,,,
