env/n_steps,env/current_idx,env/completion_counter,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss
24000,13927,0,-0.04859034062363207,1.16,0.96,24000,,,,,,,-0.49151378631591797,0.02408897,0.08178547024726868,0.2,0.14386363714933395,0.001,0.17177283763885498,395,0.1761139863729477,-0.021619516066275535
,,,,,,24000,0.75,80,1.69,0,35072,-0.2599127,,,,,,,,,,
24300,14114,0,-0.07121760057751089,1.34,0.92,24300,,,,,,,-0.39561264872550966,0.052492775,0.05801014229655266,0.2,0.14267045497894287,0.001,0.2266702651977539,400,0.17067859798669816,-0.022550500482320785
,,,,,,24300,0.71,81,1.7,0,35500,-0.28586617000000003,,,,,,,,,,
24600,14296,0,-0.06939906026236713,1.2,0.9,24600,,,,,,,-0.3813097238540649,0.036004268,0.014259185642004013,0.2,0.08903409123420715,0.001,0.27852874994277954,405,0.15310610502958297,-0.022658533342182638
,,,,,,24600,0.74,82,1.69,0,35927,-0.23172883000000002,,,,,,,,,,
24900,14474,0,-0.11080365281552076,1.22,0.9,24900,,,,,,,-0.38176685333251953,0.026859317,0.03431982547044754,0.2,0.1176136365532875,0.001,0.1903446912765503,410,0.16041464269161224,-0.017283650990575553
,,,,,,24900,0.71,83,1.72,0,36340,-0.27918222,,,,,,,,,,
25200,14658,0,-0.13084362400695682,1.28,0.86,25200,,,,,,,-0.29013150215148925,0.027233735,0.012701045721769333,0.2,0.08767045497894287,0.001,0.24743741750717163,415,0.15787600576877595,-0.015064132157713175
,,,,,,25200,0.72,84,1.69,0,36755,-0.19621485,,,,,,,,,,
25500,14828,0,-0.02902866496704519,1.16,0.94,25500,,,,,,,-0.3660795569419861,0.04700481,0.01745028607547283,0.2,0.133977273106575,0.001,0.18205946683883667,420,0.15329221814870833,-0.021616167784668506
,,,,,,25500,0.64,85,1.81,0,37161,-0.37021552,,,,,,,,,,
25800,15016,0,-0.0691563064744696,1.16,0.94,25800,,,,,,,-0.3157064640522003,0.025493417,0.013380847871303558,0.2,0.1013636365532875,0.001,0.24727684259414673,425,0.1706781902909279,-0.01989303693175316
,,,,,,25800,0.82,86,1.48,0,37590,-0.18250628999999996,,,,,,,,,,
26100,15207,0,-0.11346471351105719,1.24,0.9,26100,,,,,,,-0.34485583305358886,0.047754236,0.033846281468868256,0.2,0.12420454531908036,0.001,0.21451044082641602,430,0.16343004375696182,-0.022955150906927884
,,,,,,26100,0.79,87,1.58,0,38007,-0.16185171,,,,,,,,,,
26400,15387,0,-0.09802260891068727,1.36,0.88,26400,,,,,,,-0.3384442192316055,0.024152879,0.02633531205356121,0.2,0.0854545459151268,0.001,0.131472647190094,435,0.1572018939256668,-0.01951492822030559
,,,,,,26400,0.71,88,1.72,0,38437,-0.25990019,,,,,,,,,,
26700,15583,0,-0.06993691151961684,1.18,0.94,26700,,,,,,,-0.3150880247354507,0.047668647,0.04162592440843582,0.2,0.12937500059604645,0.001,0.1473502516746521,440,0.18244293689727784,-0.022869894430041313
,,,,,,26700,0.78,89,1.54,0,38856,-0.24121035999999996,,,,,,,,,,
27000,15773,0,-0.11046525672543794,1.32,0.86,27000,,,,,,,-0.3221656894683838,0.01725491,0.05663762986660004,0.2,0.08397727340459823,0.001,0.22335219383239746,445,0.15646534889936448,-0.012993259020149708
,,,,,,27000,0.79,90,1.57,0,39282,-0.22579544999999995,,,,,,,,,,
27300,15962,0,-0.02875251492485404,1.14,0.96,27300,,,,,,,-0.32850681245326996,0.031194776,0.034063395112752914,0.2,0.10738636404275895,0.001,0.19377589225769043,450,0.17210969895124437,-0.015557727999985218
,,,,,,27300,0.78,91,1.59,0,39728,-0.26243518,,,,,,,,,,
27600,16141,0,-0.11357884974218906,1.26,0.9,27600,,,,,,,-0.37809834241867063,0.03485612,0.04599661007523537,0.2,0.12454545527696609,0.001,0.0867263674736023,455,0.18691576838493348,-0.023355612345039845
,,,,,,27600,0.69,92,1.75,0,40150,-0.27859112,,,,,,,,,,
