env/current_idx,env/n_steps,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
22983,38400,0,38400,1.2,-0.05020256331656128,0.9,,,,,,,0.001,0.06625000029802322,635,-0.24980677425861358,0.19250547111034394,0.2,0.010350691,-0.013660150915384292,0.15658187866210938,0.050928112119436264
,,,38400,,,,0,-0.23609716,0.76,1.52,56933,128,,,,,,,,,,
23165,38700,0,38700,1.5,-0.17314922598656268,0.78,,,,,,,0.001,0.06454545497894287,640,-0.220752255320549,0.14541188448667527,0.2,0.021191422,-0.013093104595318436,0.3681710362434387,0.053939253091812134
,,,38700,,,,0,-0.22939629,0.78,1.56,57364,129,,,,,,,,,,
23353,39000,0,39000,1.26,-0.09211906704586,0.9,,,,,,,0.001,0.055625000298023225,645,-0.23918634235858918,0.15811595559120178,0.2,0.016111454,-0.011044121701270343,0.29630959033966064,0.044153161346912384
,,,39000,,,,0,-0.29090081999999995,0.67,1.71,57781,130,,,,,,,,,,
23534,39300,0,39300,1.28,-0.08985628900118173,0.88,,,,,,,0.001,0.057954545915126804,650,-0.2374043744802475,0.17764584302902223,0.2,0.035710093,-0.012773708645254374,0.2018289566040039,0.06150659918785095
,,,39300,,,,0,-0.26315363999999997,0.69,1.74,58208,131,,,,,,,,,,
23729,39600,0,39600,1.28,-0.09227483368478716,0.88,,,,,,,0.001,0.040568182170391084,655,-0.2275812667608261,0.13419428080320359,0.2,0.012688334,-0.011355816069990397,0.3377786874771118,0.050484709441661835
,,,39600,,,,0,-0.16895446,0.84,1.44,58631,132,,,,,,,,,,
23921,39900,0,39900,1.24,-0.05135919009335339,0.9,,,,,,,0.001,0.0749431824684143,660,-0.19937318712472915,0.1587361142039299,0.2,0.038162548,-0.012849482535384595,0.2229098677635193,0.028650108724832535
,,,39900,,,,0,-0.18763757000000003,0.75,1.57,59050,133,,,,,,,,,,
24107,40200,0,40200,1.34,-0.11084363074041903,0.88,,,,,,,0.001,0.017670454680919646,665,-0.11273697927594185,0.17079516619443894,0.2,0.0032928314,-0.0032406970509327947,0.06783676147460938,0.058339282870292664
,,,40200,,,,0,-0.21404623000000003,0.77,1.56,59486,134,,,,,,,,,,
24288,40500,0,40500,1.28,-0.11143545843660832,0.88,,,,,,,0.001,0.03295454561710358,670,-0.12067241936922074,0.1798325878381729,0.2,0.01846173,-0.00826711760571925,0.11475789546966553,0.0667111948132515
,,,40500,,,,0,-0.22164235,0.77,1.54,59917,135,,,,,,,,,,
24480,40800,0,40800,1.28,-0.07004516910761595,0.88,,,,,,,0.001,0.03750000029802322,675,-0.12124355018138885,0.19032805502414704,0.2,0.014326076,-0.010762494206428528,0.1048174500465393,0.06911741197109222
,,,40800,,,,0,-0.25238689000000003,0.75,1.57,60366,136,,,,,,,,,,
24662,41100,0,41100,1.28,-0.0898829097673297,0.9,,,,,,,0.001,0.04255681842565537,680,-0.0911404164135456,0.17768289148807526,0.2,0.016796252,-0.008726935472805054,0.16570842266082764,0.05147400498390198
,,,41100,,,,0,-0.24484114999999995,0.7,1.7,60789,137,,,,,,,,,,
24839,41400,0,41400,1.26,-0.06903717123437673,0.9,,,,,,,0.001,0.02022727280855179,685,-0.03284331317991018,0.17898986518383025,0.2,0.012614161,-0.003471268973662518,0.0631418228149414,0.05815473571419716
,,,41400,,,,0,-0.31766582,0.65,1.79,61220,138,,,,,,,,,,
25030,41700,0,41700,1.34,-0.09103753860108554,0.84,,,,,,,0.001,0.022045454680919646,690,-0.04999311923980713,0.1930796182155609,0.2,0.006843676,-0.005200241531711071,0.15745776891708374,0.05605480074882507
,,,41700,,,,0,-0.24928469,0.75,1.62,61655,139,,,,,,,,,,
25212,42000,0,42000,1.16,-0.05147163086105138,0.94,,,,,,,0.001,0.010852272808551788,695,-0.04466907724738121,0.16398190319538117,0.2,0.003330777,-0.00269604135886766,0.23215025663375854,0.07894336432218552
,,,42000,,,,0,-0.24647422000000002,0.75,1.59,62086,140,,,,,,,,,,
