eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,env/n_steps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/learning_rate,train/clip_fraction
0.96,5840,0,14400,-0.05209151377901435,1.32,14400,,,,,,,-0.8260193765163422,0.08229153782129288,470,0.15808439254760742,-0.06869241846725345,0.0862936,0.2,-0.10857512801885605,0.001,0.3446874988079071
,,,14400,,,,0.83,2.02,21682,0,48,-0.18390075,,,,,,,,,,
0.86,5980,0,14700,-0.14226537157781421,1.8,14700,,,,,,,-0.8333241856098175,0.0812448113411665,480,-0.02994537353515625,-0.08142571832984685,0.11013025,0.2,-0.09993162006139755,0.001,0.34335227340459823
,,,14700,,,,0.79,2.23,22133,0,49,-0.25325289000000006,,,,,,,,,,
0.92,6121,0,15000,-0.09565159581601619,1.5,15000,,,,,,,-0.7788855063915253,0.08378601713106036,490,0.19336026906967163,-0.07339616717770696,0.088756464,0.2,-0.12685081362724304,0.001,0.34000000029802324
,,,15000,,,,0.82,2.06,22690,0,50,-0.22619320999999995,,,,,,,,,,
0.9,6261,0,15300,-0.094023905438371,1.52,15300,,,,,,,-0.7732557201385498,0.11031788934022188,500,0.008580386638641357,-0.06559666116721928,0.094793044,0.2,-0.09275995939970016,0.001,0.314460226893425
,,,15300,,,,0.81,2.19,23136,0,51,-0.22539170999999997,,,,,,,,,,
0.96,6398,0,15600,-0.05167470224667341,1.36,15600,,,,,,,-0.751538164615631,0.08440245011821389,510,0.12297630310058594,-0.07249745693057776,0.08671613,0.2,-0.07523168623447418,0.001,0.34184659108519555
,,,15600,,,,0.84,2.09,23592,0,52,-0.18666628,,,,,,,,,,
0.92,6532,0,15900,-0.09231756370514631,1.44,15900,,,,,,,-0.7329135930538178,0.10538210518658161,520,-0.03841829299926758,-0.06772485502064228,0.1286058,0.2,-0.11298655718564987,0.001,0.3382102282345295
,,,15900,,,,0.81,2.17,24050,0,53,-0.2290807,,,,,,,,,,
0.92,6674,0,16200,-0.09493682558648288,1.46,16200,,,,,,,-0.6945842039585114,0.1130854580923915,530,-0.11453676223754883,-0.06331580547906925,0.08173191,0.2,-0.09368688613176346,0.001,0.3069602283835411
,,,16200,,,,0.78,2.04,24508,0,54,-0.26191937,,,,,,,,,,
0.94,6807,0,16500,-0.032208516499958935,1.44,16500,,,,,,,-0.6870157539844512,0.10317823745310306,540,0.2403956651687622,-0.06180280602537096,0.07612071,0.2,-0.07360486686229706,0.001,0.2862215894460678
,,,16500,,,,0.79,2.26,24943,0,55,-0.26222414,,,,,,,,,,
0.94,6955,0,16800,-0.03356722230091691,1.52,16800,,,,,,,-0.6093409436941147,0.10186646472662687,550,0.1310601830482483,-0.05828004172071814,0.110095546,0.2,-0.06681062281131744,0.001,0.2896874992549419
,,,16800,,,,0.84,2.15,25389,0,56,-0.18935923999999996,,,,,,,,,,
0.96,7101,0,17100,-0.05323586963582784,1.42,17100,,,,,,,-0.6371874672174453,0.09480122700333596,560,0.13093280792236328,-0.059582414596807215,0.07403103,0.2,-0.08107506483793259,0.001,0.303096591681242
,,,17100,,,,0.82,2.01,25823,0,57,-0.24643852000000002,,,,,,,,,,
0.96,7238,0,17400,-0.06134952708613128,1.3,17400,,,,,,,-0.6802125597000122,0.10614678498357534,570,0.10801130533218384,-0.06131993906572461,0.09046306,0.2,-0.05571100860834122,0.001,0.2913636362552643
,,,17400,,,,0.78,2.06,26251,0,58,-0.28204500000000005,,,,,,,,,,
0.88,7375,0,17700,-0.11409759886562824,1.56,17700,,,,,,,-0.6819071269035339,0.10860984828323125,580,0.13469433784484863,-0.06092900514602661,0.092811584,0.2,-0.08831004798412323,0.001,0.2845170460641384
,,,17700,,,,0.81,2.1,26705,0,59,-0.22764467999999996,,,,,,,,,,
0.96,7535,0,18000,-0.05329595619812608,1.42,18000,,,,,,,-0.6112444168329239,0.0944109971821308,590,0.10577458143234253,-0.05677556964568794,0.0963556,0.2,-0.06474848836660385,0.001,0.28125000044703485
,,,18000,,,,0.86,1.79,27134,0,60,-0.15683827,,,,,,,,,,
0.86,7675,0,18300,-0.16156076854094864,1.72,18300,,,,,,,-0.5072499507665634,0.06697359735146165,600,0.2725270390510559,-0.05535227341577411,0.09559298,0.2,-0.06749528646469116,0.001,0.26301136329770086
,,,18300,,,,0.85,2.02,27609,0,61,-0.18821591999999998,,,,,,,,,,
