env/n_steps,env/completion_counter,time/fps,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,env/current_idx,time/iterations,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
3210,0,0,3210,4150,0.92,1.37,2267,107,-0.08301426999999999,0.05175900870934129,0.0001,0.2,0.14733333803713322,-0.049096712930748854,-0.3021351516246796,0.0472601,5300,0.33788108825683594,-0.07230932265520096,,,
3240,0,0,3240,4183,0.92,1.38,2290,108,-0.08347239999999999,0.033086651703342795,0.0001,0.2,0.05066666930913925,-0.01949339032305094,-0.12787872552871704,0.004324287,5350,-0.1652764081954956,-0.02338889241218567,,,
3270,0,0,3270,4226,0.91,1.43,2306,109,-0.08572477999999997,0.06502125307917594,0.0001,0.2,0.25933334335684777,-0.06523470836567384,-0.3948959177732468,0.045631293,5400,-0.6572933197021484,-0.08909342437982559,,,
3300,0,0,3300,4264,0.91,1.42,2327,110,-0.08595623,0.027340981978923082,0.0001,0.2,0.058666669726371766,-0.013514028273833283,-0.08228472635149955,0.07851596,5450,0.38756972551345825,-0.011123619973659515,,,
3330,0,0,3330,4297,0.92,1.35,2353,111,-0.07329490000000001,0.052923036478459834,0.0001,0.2,0.10266666866838932,-0.021738520689696728,-0.1656586331129074,0.1442266,5500,-0.11118292808532715,-0.049260254949331284,,,
3360,0,0,3360,4338,0.9,1.43,2374,112,-0.09649586999999998,0.03198157880920917,0.0001,0.2,0.19666667446494102,-0.05983730406779799,-0.3981838423013687,0.04838856,5550,0.25568878650665283,-0.0840613916516304,,,
3390,0,0,3390,4372,0.9,1.37,2397,113,-0.09558680000000003,0.05278545326553285,0.0001,0.2,0.19800000630319117,-0.03673601299586396,-0.381406067609787,0.052323606,5600,0.02629411220550537,-0.051285941153764725,,,
3420,0,0,3420,4407,0.94,1.29,2421,114,-0.07270883,0.020158322560600937,0.0001,0.2,0.26266667172312735,-0.05859866914680847,-0.5539338117837906,0.08448406,5650,0.48144346475601196,-0.0785805955529213,,,
3450,0,0,3450,4445,0.95,1.29,2445,115,-0.05364867000000001,0.00863341572927311,0.0001,0.2,0.33000000528991225,-0.068436452427879,-0.6873348760604858,0.09274379,5700,0.3273266553878784,-0.08689563721418381,,,
3480,0,0,3480,4478,0.95,1.3,2466,116,-0.042626939999999995,0.00556785429129377,0.0001,0.2,0.2866666726022959,-0.07332219120394441,-0.8167782258987427,0.08025944,5750,-25.44182014465332,-0.0926901251077652,,,
3510,0,0,3510,4514,0.95,1.27,2493,117,-0.04286107,0.047897553108632564,0.0001,0.2,0.24200000695884227,-0.05833337139586611,-0.5271527343988418,0.069246516,5800,0.0741117000579834,-0.06554637104272842,,,
3540,0,0,3540,4549,0.95,1.21,2520,118,-0.04175628000000001,0.04823128799907863,0.0001,0.2,0.18266667187213897,-0.0510730491516491,-0.5456491422653198,0.018573258,5850,-0.1916968822479248,-0.07713576406240463,,,
