rollout/ep_rew_mean,rollout/ep_len_mean,env/current_idx,env/n_steps,time/total_timesteps,rollout/success_rate,time/time_elapsed,env/completion_counter,time/fps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
-0.06207242999999999,1.29,607,42960,42960,0.95,53857,2,0,1432,14310,0.0,0.33575528860092163,0.0001,0.014487316831946373,-0.7609303176403046,0.0013183018,-0.0016097891730412427,0.03851851746439934,0.2,,,
-0.07163897,1.29,633,42990,42990,0.94,53894,2,0,1433,14320,0.0,0.342471182346344,0.0001,0.03506895899772644,-0.7588114321231842,0.00046138366,-0.0033228492942847685,0.095750442892313,0.2,,,
-0.09144836999999997,1.32,652,43020,43020,0.92,53927,2,0,1434,14330,0.0,0.641766369342804,0.0001,0.0019583050161600113,-0.776293408870697,0.0005132019,-0.005397073121663887,0.046563093364238736,0.2,,,
-0.10199364000000001,1.38,669,43050,43050,0.91,53964,2,0,1435,14340,0.0,0.4231175184249878,0.0001,0.0702713280916214,-0.7616681754589081,0.00031072894,0.001004768604762063,0.15640182495117189,0.2,,,
-0.12322430000000002,1.41,693,43080,43080,0.89,54003,2,0,1436,14350,0.0,0.4273161292076111,0.0001,0.0401768758893013,-0.7280992209911347,0.00052386126,-0.005444752369949057,0.12443273663520812,0.2,,,
-0.10371291999999999,1.41,716,43110,43110,0.91,54036,2,0,1437,14360,0.0,0.4852926731109619,0.0001,0.025230269879102707,-0.6919740319252015,0.0035746654,-0.007175252870656568,0.09122650474309921,0.2,,,
-0.10466581000000001,1.43,738,43140,43140,0.91,54073,2,0,1438,14370,0.0,-49.38962936401367,0.0001,0.045657023787498474,-0.679543936252594,0.001929613,-0.0023937990376722952,0.13860577419400216,0.2,,,
-0.08327867000000003,1.35,761,43170,43170,0.93,54105,2,0,1439,14380,0.0,0.06839311122894287,0.0001,0.030696792528033257,-0.5997015535831451,7.774234e-05,-0.001989853657433116,0.09041448682546616,0.2,,,
-0.07242863000000001,1.37,778,43200,43200,0.93,54138,2,0,1440,14390,0.0,0.22481447458267212,0.0001,0.06332435458898544,-0.6295718967914581,0.0011333664,-0.005635912733462955,0.16454759687185289,0.2,,,
-0.07305492000000001,1.42,801,43230,43230,0.92,54171,2,0,1441,14400,0.0,0.25979554653167725,0.0001,0.05535111948847771,-0.6591112792491913,0.0004351477,-0.001666769592217321,0.13227717876434325,0.2,,,
-0.059990119999999994,1.29,828,43260,43260,0.93,54203,2,0,1442,14410,0.0,0.25807201862335205,0.0001,0.030354589223861694,-0.6291410446166992,5.3242842e-05,-0.001072356112720918,0.07559062987565994,0.2,,,
-0.04948909000000001,1.28,854,43290,43290,0.94,54236,2,0,1443,14420,0.0,0.19946318864822388,0.0001,-0.004856882616877556,-0.6683985352516174,0.00041822196,-0.00437351820000913,0.0159577920101583,0.2,,,
-0.028796860000000007,1.21,878,43320,43320,0.97,54268,2,0,1444,14430,0.0,0.3218175768852234,0.0001,0.012774675153195858,-0.6211955547332764,0.000876073,-0.001373044855426997,0.04039327129721641,0.2,,,
-0.039960430000000005,1.23,897,43350,43350,0.96,54302,2,0,1445,14440,0.0,-85.57809448242188,0.0001,-0.0038792225532233715,-0.6200126051902771,0.00018205642,-0.0029450876883252873,0.012893617525696755,0.2,,,
-0.052060489999999994,1.35,916,43380,43380,0.93,54335,2,0,1446,14450,0.0,0.7229536771774292,0.0001,0.00791756622493267,-0.6403871238231659,0.0019281029,-0.01144601465978976,0.07334998175501824,0.2,,,
-0.06241501000000001,1.37,937,43410,43410,0.91,54371,2,0,1447,14460,0.0,-0.059462785720825195,0.0001,0.026329632848501205,-0.6667246222496033,0.00089018943,-0.0030469152459408734,0.07794114574790001,0.2,,,
-0.08444353000000002,1.47,957,43440,43440,0.88,54405,2,0,1448,14470,0.0,0.598250150680542,0.0001,0.02446921542286873,-0.6710311472415924,0.00035508076,-0.0020455759633236426,0.07784871682524681,0.2,,,
