env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss
0,13105,27600,-0.118685293183662,0.9,27600,1.6,,,,,,,0.0,0.2,910,0.09649914503097534,5.0049763e-05,0.16558313369750977,-0.0849365794658661,-0.00026572099900022293,0.0001,0.20147064924240113
,,27600,,,,,1.74,0,42470,-0.16472756,0.88,92,,,,,,,,,,
0,13269,27900,-0.07406483125407248,0.94,27900,1.44,,,,,,,0.0,0.2,920,0.07120343297719955,5.8976137e-05,0.3352697491645813,-0.0906625047326088,-0.00031192612841550725,0.0001,0.15230815768241882
,,27900,,,,,1.8,0,42944,-0.17826869,0.86,93,,,,,,,,,,
0,13419,28200,-0.07242188001051546,0.94,28200,1.34,,,,,,,0.0003125,0.2,930,0.04528079554438591,6.37217e-05,0.18873876333236694,-0.09349658414721489,-0.00025976140415878034,0.0001,0.16398611098527907
,,28200,,,,,1.9,0,43401,-0.16841128000000002,0.85,94,,,,,,,,,,
0,13576,28500,-0.03029922348447144,0.98,28500,1.2,,,,,,,0.009460227340459823,0.2,940,0.05133518576622009,0.0006055899,0.23721247911453247,-0.10501823797821999,-0.0037363959505819365,0.0001,0.16510025441646575
,,28500,,,,,2.04,0,43850,-0.23641331000000002,0.8,95,,,,,,,,,,
0,13725,28800,-0.05373105049598962,0.96,28800,1.4,,,,,,,0.0032670454680919646,0.2,950,0.062186915427446365,0.00047948962,0.20417332649230957,-0.11070468440651894,-0.000606800993627985,0.0001,0.15351110860705375
,,28800,,,,,1.95,0,44272,-0.20300988999999997,0.83,96,,,,,,,,,,
0,13875,29100,-0.010817722822539509,1.0,29100,1.26,,,,,,,0.010738636404275893,0.2,960,0.04689737409353256,0.000420265,0.12992870807647705,-0.13810612261295319,-0.0016007235623692396,0.0001,0.16688986212015153
,,29100,,,,,2.0,0,44704,-0.15463141,0.84,97,,,,,,,,,,
0,14015,29400,-0.007336266846396029,1.0,29400,1.06,,,,,,,0.006676136404275894,0.2,970,0.04878852516412735,0.00058102974,0.20401018857955933,-0.14430574283003808,-0.0017970791405969066,0.0001,0.15684424474835396
,,29400,,,,,2.23,0,45120,-0.2472691,0.77,98,,,,,,,,,,
