eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,env/n_steps,env/current_idx,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates
,1740,,,,,,0,2.79,58,0.68,7196,-0.32638721,,,,,,,,,,
0.94,1770,1.46,0,1770,592,-0.06063152615446597,,,,,,,-0.0024984638020399074,0.00021079779,0.0001,0.08355946093797684,0.0,0.2,0.01718437671661377,-1.7258949041366578,0.19033201932907104,290
,1770,,,,,,0,2.77,59,0.7,7326,-0.30462463999999995,,,,,,,,,,
0.94,1800,1.3,0,1800,603,-0.07078409383073449,,,,,,,-0.005718670620893107,0.00039387148,0.0001,0.045920856297016144,0.0,0.2,0.15578371286392212,-1.7121445178985595,0.13250175714492798,295
,1800,,,,,,0,2.67,60,0.72,7453,-0.28245083000000004,,,,,,,,,,
0.9,1830,1.58,0,1830,615,-0.11529156608507037,,,,,,,-0.0031516051602856975,0.00030308365,0.0001,0.09795816242694855,0.0,0.2,0.31194961071014404,-1.6909517526626587,0.20911255180835725,300
,1830,,,,,,0,2.66,61,0.72,7590,-0.29694934000000006,,,,,,,,,,
0.94,1860,1.42,0,1860,627,-0.08281789371278137,,,,,,,-0.003182771986661237,0.00020836195,0.0001,0.15183605253696442,0.0,0.2,-0.16201651096343994,-1.6708454370498658,0.3434795677661896,305
,1860,,,,,,0,2.53,62,0.74,7721,-0.27327958,,,,,,,,,,
1.0,1890,1.38,0,1890,637,-0.012975529008544982,,,,,,,-0.001735070142895001,0.00018995006,0.0001,0.06932838261127472,0.0,0.2,-0.14357447624206543,-1.6530385971069337,0.15032813251018523,310
,1890,,,,,,0,2.61,63,0.71,7844,-0.27404158,,,,,,,,,,
0.98,1920,1.28,0,1920,647,-0.03030844496563077,,,,,,,-0.0019390638545154105,0.00017856558,0.0001,0.07159725576639175,0.0,0.2,-0.084037184715271,-1.6346878051757812,0.16669921875,315
,1920,,,,,,0,2.79,64,0.68,7967,-0.30969684000000003,,,,,,,,,,
0.88,1950,1.7,0,1950,657,-0.11672001698054374,,,,,,,-0.005049852477386452,0.00032385986,0.0001,0.0917666107416153,0.0,0.2,0.12265163660049438,-1.6099277019500733,0.21202489733695984,320
,1950,,,,,,0,2.65,65,0.73,8109,-0.25991029,,,,,,,,,,
0.98,1980,1.2,0,1980,669,-0.028399570123292507,,,,,,,-0.0008096329328445506,0.00027516484,0.0001,0.11713974177837372,0.0,0.2,0.07396745681762695,-1.5850996255874634,0.26201762855052946,325
,1980,,,,,,0,2.64,66,0.73,8220,-0.27825546,,,,,,,,,,
0.98,2010,1.16,0,2010,682,-0.03469470459502191,,,,,,,0.0004453670970782753,4.540483e-05,0.0001,0.12398795783519745,0.0,0.2,-0.04205143451690674,-1.5833200693130494,0.25763062238693235,330
,2010,,,,,,0,2.62,67,0.74,8333,-0.27591300999999996,,,,,,,,,,
