env/n_steps,eval/mean_reward,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/success_rate,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance
11100,-0.11077559490688145,0,6489,1.24,0.9,11100,,,,,,,0.0713857114315033,-0.019296733289957048,0.001,180,-2.033245896697622e-05,0.16742000132799148,0.0,0.2,6.615142e-06,0.2450709342956543
,,,,,,11100,37,-0.19929536999999997,1.58,16949,0,0.77,,,,,,,,,,
11400,-0.11415999491233379,0,6670,1.42,0.8,11400,,,,,,,0.10937012732028961,-0.01969255581498146,0.001,185,-1.7923726591817514e-08,0.19160355925559996,0.0,0.2,0.0,0.1905115842819214
,,,,,,11400,38,-0.24286763,1.65,17439,0,0.71,,,,,,,,,,
11700,-0.11095225263386965,0,6856,1.32,0.86,11700,,,,,,,0.08463213592767715,-0.019523714296519758,0.001,190,-8.498318759819768e-09,0.19013801366090774,0.0,0.2,0.0,0.21917492151260376
,,,,,,11700,39,-0.18956256,1.55,17905,0,0.76,,,,,,,,,,
12000,-0.10978023497853429,0,7051,1.34,0.88,12000,,,,,,,0.07834839075803757,-0.019465451873838902,0.001,195,-5.5964020084786625e-09,0.17457603067159652,0.0,0.2,0.0,0.21457481384277344
,,,,,,12000,40,-0.18873705000000005,1.51,18354,0,0.78,,,,,,,,,,
12300,-0.06839885947294533,0,7245,1.16,0.94,12300,,,,,,,0.06605938076972961,-0.02145521845668554,0.001,200,-0.0005011416357862508,0.18476178199052812,0.0,0.2,0.00014962166,0.1857243776321411
,,,,,,12300,41,-0.20574994,1.54,18817,0,0.76,,,,,,,,,,
12600,-0.07011626975610852,0,7429,1.32,0.9,12600,,,,,,,0.06849268078804016,-0.019321981817483902,0.001,205,2.116472877844444e-07,0.16973189264535904,0.0,0.2,0.0,0.22802734375
,,,,,,12600,42,-0.30512487,1.78,19267,0,0.66,,,,,,,,,,
12900,-0.07181430925615132,0,7624,1.32,0.88,12900,,,,,,,0.06495998799800873,-0.020840212516486645,0.001,210,5.109706835249028e-05,0.1715405061841011,0.0,0.2,7.4402724e-06,0.2621382474899292
,,,,,,12900,43,-0.24336334999999998,1.56,19725,0,0.75,,,,,,,,,,
13200,-0.06987864598166198,0,7808,1.24,0.92,13200,,,,,,,0.07333540916442871,-0.02036417219787836,0.001,215,-9.5406767320938e-05,0.1780350387096405,0.0,0.2,4.2772153e-06,0.2504621744155884
,,,,,,13200,44,-0.16817519999999997,1.53,20168,0,0.8,,,,,,,,,,
13500,-0.048667763518169524,0,8001,1.16,0.94,13500,,,,,,,0.08560782670974731,-0.020418989844620226,0.001,220,-1.6861172680293635e-08,0.1816653162240982,0.0,0.2,0.0,0.21809738874435425
,,,,,,13500,45,-0.19276748,1.59,20600,0,0.75,,,,,,,,,,
13800,-0.11268871255218983,0,8188,1.24,0.9,13800,,,,,,,0.07056107372045517,-0.02057036869227886,0.001,225,-5.161220446581183e-08,0.16856594011187553,0.0,0.2,0.0,0.22150331735610962
,,,,,,13800,46,-0.27722958000000003,1.61,21056,0,0.72,,,,,,,,,,
14100,-0.048872517310082915,0,8367,1.18,0.96,14100,,,,,,,0.07429714500904083,-0.02773997951298952,0.001,230,-0.000326047744636071,0.2063548222184181,0.0015625,0.2,0.011638154,0.1788831353187561
,,,,,,14100,47,-0.32224343,1.71,21510,0,0.68,,,,,,,,,,
14400,-0.09129015132784843,0,8551,1.3,0.88,14400,,,,,,,0.11325469613075256,-0.041463996097445485,0.001,235,-0.0008517594792351701,0.19776562303304673,0.00234375,0.2,0.001193786,0.16573566198349
,,,,,,14400,48,-0.23906243000000005,1.63,21981,0,0.75,,,,,,,,,,
14700,-0.028977025654166936,0,8739,1.14,0.96,14700,,,,,,,0.07607603073120117,-0.05809967778623104,0.001,240,-0.0017441101734732456,0.1731089562177658,0.0061079546809196476,0.2,0.000411839,0.27164894342422485
,,,,,,14700,49,-0.25729644,1.66,22419,0,0.71,,,,,,,,,,
15000,-0.049575708671472964,0,8923,1.26,0.92,15000,,,,,,,0.08481600135564804,-0.03696569632738829,0.001,245,-1.639916762599114e-05,0.1709118142724037,0.0,0.2,5.9104685e-05,0.26263725757598877
,,,,,,15000,50,-0.26931073,1.63,22864,0,0.72,,,,,,,,,,
15300,-0.02723986082710326,0,9116,1.08,0.96,15300,,,,,,,0.06716682761907578,-0.032977412641048434,0.001,250,-0.0006935273217777649,0.18631672114133835,0.0015625,0.2,0.0042313547,0.2228946089744568
,,,,,,15300,51,-0.17065888999999998,1.43,23304,0,0.84,,,,,,,,,,
15600,-0.1115665404079482,0,9288,1.34,0.84,15600,,,,,,,0.05842889845371246,-0.024825099110603332,0.001,255,6.576392121502295e-05,0.16527084633708,0.0,0.2,6.0715247e-06,0.21906477212905884
,,,,,,15600,52,-0.29945679000000003,1.76,23761,0,0.67,,,,,,,,,,
15900,-0.07053584746085108,0,9480,1.22,0.9,15900,,,,,,,0.07703858613967896,-0.019952821731567382,0.001,260,-0.0005930276926261246,0.19301107227802278,0.000390625,0.2,7.862761e-05,0.1814192533493042
,,,,,,15900,53,-0.21750963999999995,1.58,24193,0,0.79,,,,,,,,,,
16200,-0.028949337541125716,0,9672,1.14,0.96,16200,,,,,,,0.072318896651268,-0.020417367480695246,0.001,265,-0.0002921003340318862,0.1724364399909973,0.0,0.2,4.258938e-05,0.16698920726776123
,,,,,,16200,54,-0.21909172999999998,1.57,24630,0,0.78,,,,,,,,,,
16500,-0.10986765896901489,0,9861,1.26,0.88,16500,,,,,,,0.10161435604095459,-0.01637678388506174,0.001,270,-9.663843093443702e-06,0.1759779542684555,0.0,0.2,3.3676624e-06,0.257565975189209
,,,,,,16500,55,-0.21025409000000003,1.58,25066,0,0.75,,,,,,,,,,
16800,-0.09319531341083348,0,10056,1.42,0.82,16800,,,,,,,0.07053123414516449,-0.01665359977632761,0.001,275,2.611301574972913e-08,0.17820587903261184,0.0,0.2,0.0,0.14913439750671387
,,,,,,16800,56,-0.20349514,1.5,25512,0,0.78,,,,,,,,,,
17100,-0.05074863892048597,0,10242,1.34,0.9,17100,,,,,,,0.09896339476108551,-0.020358373038470746,0.001,280,-0.00011763018132393555,0.18732014149427414,0.0,0.2,8.831848e-06,0.267366886138916
,,,,,,17100,57,-0.23050633,1.69,25948,0,0.72,,,,,,,,,,
17400,-0.07156871213577688,0,10426,1.24,0.92,17400,,,,,,,0.09456390142440796,-0.02433516029268503,0.001,285,-4.670893469089776e-05,0.1976378008723259,0.0,0.2,7.76904e-06,0.1324877142906189
,,,,,,17400,58,-0.24482294999999998,1.61,26390,0,0.74,,,,,,,,,,
17700,-0.05116878269705921,0,10605,1.14,0.96,17700,,,,,,,0.08196738362312317,-0.03654625248163938,0.001,290,-0.0008902618481609892,0.1850968450307846,0.0,0.2,7.2120805e-05,0.18138468265533447
,,,,,,17700,59,-0.20788502000000006,1.54,26809,0,0.77,,,,,,,,,,
18000,-0.09149722911417485,0,10788,1.28,0.9,18000,,,,,,,0.08710051327943802,-0.017073106206953525,0.001,295,8.680773078140192e-08,0.17525379061698915,0.0,0.2,0.0,0.2742733955383301
,,,,,,18000,60,-0.28280077,1.71,27241,0,0.7,,,,,,,,,,
18300,-0.09174351679626852,0,10970,1.34,0.88,18300,,,,,,,0.0724828913807869,-0.030781274661421776,0.001,300,-0.002450359930198687,0.19152520447969437,0.005007102340459824,0.2,0.006348082,0.20138895511627197
,,,,,,18300,61,-0.29248733,1.64,27711,0,0.71,,,,,,,,,,
18600,-0.11368877958506346,0,11163,1.36,0.88,18600,,,,,,,0.07513798773288727,-0.02349007725715637,0.001,305,-0.0008367570413398085,0.1783961459994316,0.002734375,0.2,0.0015128868,0.2928228974342346
,,,,,,18600,62,-0.20594634,1.53,28180,0,0.79,,,,,,,,,,
18900,-0.09164372532628477,0,11340,1.22,0.92,18900,,,,,,,0.10173945128917694,-0.030068344064056875,0.001,310,-0.002330548570648716,0.16638002321124076,0.0046164773404598234,0.2,0.009338616,0.24826186895370483
,,,,,,18900,63,-0.27964044,1.68,28618,0,0.69,,,,,,,,,,
19200,-0.06916074368637055,0,11527,1.22,0.92,19200,,,,,,,0.1244635134935379,-0.02069071903824806,0.001,315,-0.00047012119347442647,0.22863487899303436,0.0,0.2,3.5725196e-05,0.0676003098487854
,,,,,,19200,64,-0.21317695,1.59,29078,0,0.75,,,,,,,,,,
19500,-0.0492888864595443,0,11725,1.22,0.92,19500,,,,,,,0.10906605422496796,-0.02079690545797348,0.001,320,-0.0001713802043189716,0.199415023624897,0.0,0.2,2.409448e-05,0.15305012464523315
,,,,,,19500,65,-0.20714020999999996,1.5,29519,0,0.78,,,,,,,,,,
19800,-0.07047144734766335,0,11918,1.14,0.94,19800,,,,,,,0.0897836834192276,-0.02257016357034445,0.001,325,5.820653910610929e-05,0.1765647202730179,0.0,0.2,2.8005294e-07,0.25847429037094116
,,,,,,19800,66,-0.22944608000000002,1.57,29957,0,0.76,,,,,,,,,,
20100,-0.04868114926852286,0,12095,1.18,0.94,20100,,,,,,,0.06457088887691498,-0.027508578449487685,0.001,330,-0.0018434828062606988,0.18066867887973787,0.000390625,0.2,0.00024556002,0.17090106010437012
,,,,,,20100,67,-0.28453508000000005,1.65,30379,0,0.71,,,,,,,,,,
20400,-0.053875054023228584,0,12288,1.24,0.92,20400,,,,,,,0.07398711889982224,-0.0193073607981205,0.001,335,-0.0005357794886948319,0.19087776839733123,0.00078125,0.2,0.00013907521,0.23016679286956787
,,,,,,20400,68,-0.26024647,1.6,30819,0,0.75,,,,,,,,,,
20700,-0.027930645616725088,0,12478,1.14,0.94,20700,,,,,,,0.10823914408683777,-0.016585885919630526,0.001,340,-7.708810905171503e-08,0.188803069293499,0.0,0.2,0.0,0.23712557554244995
,,,,,,20700,69,-0.16859052999999996,1.53,31263,0,0.8,,,,,,,,,,
21000,-0.07119911002460867,0,12669,1.22,0.92,21000,,,,,,,0.081097811460495,-0.021717295981943607,0.001,345,-0.00018754790071344728,0.16468343883752823,0.0,0.2,6.4799286e-05,0.26323938369750977
,,,,,,21000,70,-0.27942969,1.58,31691,0,0.74,,,,,,,,,,
21300,-0.09057010832242668,0,12869,1.26,0.9,21300,,,,,,,0.09958763420581818,-0.021803354658186436,0.001,350,-0.0005801353059888825,0.18810285180807113,0.0034446023404598237,0.2,0.04036779,0.2192820906639099
,,,,,,21300,71,-0.19455631999999998,1.57,32156,0,0.75,,,,,,,,,,
21600,-0.07040195769630372,0,13057,1.22,0.9,21600,,,,,,,0.06844326853752136,-0.019854269549250604,0.001,355,3.9307656258813495e-06,0.17876921594142914,0.0,0.2,1.036308e-06,0.20781201124191284
,,,,,,21600,72,-0.25170562,1.65,32619,0,0.73,,,,,,,,,,
21900,-0.06900339268147945,0,13264,1.2,0.92,21900,,,,,,,0.07849378883838654,-0.01589415790513158,0.001,360,-0.0013533053115317272,0.17370797991752623,0.0022727273404598235,0.2,0.0003929324,0.2677878141403198
,,,,,,21900,73,-0.18479671,1.42,33069,0,0.84,,,,,,,,,,
