env/completion_counter,eval/mean_ep_length,eval/mean_reward,env/n_steps,eval/success_rate,time/total_timesteps,env/current_idx,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/success_rate,time/fps,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
,,,,,20400,,-0.18918878999999997,1.99,68,31000,0.84,0,,,,,,,,,,
0,1.58,-0.0754192306753248,20700,0.92,20700,9916,,,,,,,0.2029426097869873,-0.03988730534911156,0.2,340,0.0,0.18320732712745666,2.1292362e-07,0.001,-7.300552930189496e-07,0.08113917708396912
,,,,,20700,,-0.19526945999999995,1.96,69,31463,0.84,0,,,,,,,,,,
0,1.3,-0.0705487204156816,21000,0.94,21000,10070,,,,,,,0.2607056498527527,-0.04596786946058273,0.2,345,0.00078125,0.1765418455004692,0.00016626633,0.001,-0.0008560602299274578,0.08505024015903473
,,,,,21000,,-0.28866594999999995,2.05,70,31901,0.77,0,,,,,,,,,,
0,1.28,-0.05064652640838176,21300,0.96,21300,10217,,,,,,,0.2523007392883301,-0.06045780070126057,0.2,350,0.000390625,0.21863251477479934,7.4865384e-05,0.001,-0.00013519501642349495,0.0860418900847435
,,,,,21300,,-0.19883028,2.01,71,32371,0.83,0,,,,,,,,,,
0,1.34,-0.09526823962572963,21600,0.92,21600,10388,,,,,,,0.21065211296081543,-0.06548647060990334,0.2,355,0.0,0.214324489235878,2.346933e-06,0.001,-2.134627740559836e-05,0.06845208257436752
,,,,,21600,,-0.16804639999999998,1.76,72,32825,0.85,0,,,,,,,,,,
0,1.54,-0.11313624380622059,21900,0.9,21900,10549,,,,,,,0.42910289764404297,-0.06527256742119789,0.2,360,0.0,0.13636014461517335,5.9604645e-08,0.001,-1.1171637581242067e-06,0.079325370490551
,,,,,21900,,-0.16333606000000003,1.82,73,33292,0.87,0,,,,,,,,,,
0,1.4,-0.09176232254132628,22200,0.92,22200,10690,,,,,,,0.298506498336792,-0.06689702421426773,0.2,365,0.0,0.17139579504728317,1.2809527e-05,0.001,-0.0002981384454122882,0.06546791642904282
,,,,,22200,,-0.29586122,2.21,74,33737,0.77,0,,,,,,,,,,
0,1.36,-0.05081145626492798,22500,0.96,22500,10831,,,,,,,0.23261338472366333,-0.06420100182294845,0.2,370,0.0,0.20583802163600923,2.6807189e-05,0.001,-6.518323313429165e-05,0.12014389038085938
,,,,,22500,,-0.19198204999999993,2.12,75,34172,0.82,0,,,,,,,,,,
