time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1590,1590,53,0,1.33,1180,0,1900,0.93,-0.06139517,0.0,0.037100631206994875,2600,-0.007827490298077465,0.001,9.934108e-09,-0.29560279846191406,-2.3557146439916466e-05,6.983363709878176e-05,0.2,,,
1620,1620,54,0,1.27,1206,0,1935,0.95,-0.04066694999999999,0.0,0.028445208501070737,2650,-0.009615366607904434,0.001,0.0,-0.041893601417541504,-1.8281241102613422e-06,0.006224533077329397,0.2,,,
1650,1650,55,0,1.28,1228,0,1969,0.94,-0.04028959999999999,0.026666667461395264,0.0002985033576987917,2700,-0.05089463809505105,0.001,0.13372794,-0.1470714807510376,-0.009355531394773244,-0.05231362208724022,0.2,,,
1680,1680,56,0,1.24,1255,0,2003,0.95,-0.03965773,0.09800000146031379,0.06795090229425113,2750,-0.012947086123749613,0.001,0.1431489,-0.0370173454284668,-0.01657425332814455,-0.016530482098460197,0.2,,,
1710,1710,57,0,1.18,1282,0,2053,0.96,-0.038999690000000004,0.0,0.032373746149241926,2800,-0.00630903153680265,0.001,7.947286e-09,-0.11101090908050537,-2.1801491559152452e-05,0.015582156367599964,0.2,,,
1740,1740,58,0,1.17,1309,0,2086,0.97,-0.03876495,0.0,0.035299298346508294,2850,-0.0061361879389733075,0.001,0.0,-0.23991692066192627,-6.979763478227596e-06,0.00016705435700714588,0.2,,,
1770,1770,59,0,1.14,1331,0,2124,0.97,-0.03926179999999999,0.01200000062584877,0.002989625944101135,2900,-0.028169424924999475,0.001,0.03747851,-777.236083984375,-0.001132611668305792,-0.0026903299149125814,0.2,,,
1800,1800,60,0,1.19,1355,0,2157,0.96,-0.049696449999999996,0.03133333496749401,0.08261826914153061,2950,-0.009942342918366194,0.001,0.0025398016,-0.007131338119506836,-0.0025283152256161045,-0.0023609348572790623,0.2,,,
1830,1830,61,0,1.3,1375,0,2191,0.93,-0.08321793,0.0,0.03894772698637098,3000,-0.006751459455117583,0.001,0.0,-0.5363948345184326,-1.0291809723828039e-06,0.00023381030769087374,0.2,,,
1860,1860,62,0,1.29,1402,0,2225,0.93,-0.08268175000000003,0.0,0.029366724956780672,3050,-0.007397457109764218,0.001,1.9649665e-06,0.17652583122253418,-6.610196777788957e-05,-0.00033166067441925406,0.2,,,
