env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/fps,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,env/completion_counter,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1015,54005,1.25,1461,0.95,0,43830,43830,-0.06091519,2,0.2,0.0001,0.1127453975379467,0.35251837968826294,-0.2551145389676094,14600,0.0,2.7894973e-06,3.7911459694406344e-05,0.05024528503417969,,,
1034,54039,1.33,1462,0.94,0,43860,43860,-0.06247061,2,0.2,0.0001,0.09449166432023048,0.23091483116149902,-0.31420875191688535,14610,0.003333333507180214,0.0008401175,-0.0037398110597859358,0.03484247252345085,,,
1054,54072,1.41,1463,0.91,0,43890,43890,-0.08521795000000001,2,0.2,0.0001,0.07504270263016224,0.35990023612976074,-0.2671990007162094,14620,0.0,5.7041643e-06,-6.499489127236302e-05,0.02913270704448223,,,
1078,54105,1.38,1464,0.91,0,43920,43920,-0.08373842999999999,2,0.2,0.0001,0.16047984957695008,0.28486764430999756,-0.34350790083408356,14630,0.0,0.0003546993,-0.0028532188570046914,0.07182840257883072,,,
1101,54136,1.37,1465,0.92,0,43950,43950,-0.06384611999999999,2,0.2,0.0001,0.11281346529722214,0.04498177766799927,-0.30649533867836,14640,0.0,5.4180623e-06,2.4269819074973496e-05,0.053049951791763306,,,
1121,54171,1.41,1466,0.9,0,43980,43980,-0.07480666000000002,2,0.2,0.0001,0.039328931272029875,0.04674297571182251,-0.3490630775690079,14650,0.0,1.1541446e-05,-0.000139848340734261,0.016697129234671593,,,
1145,54203,1.33,1467,0.92,0,44010,44010,-0.06379228,2,0.2,0.0001,0.06414273381233215,0.3262508511543274,-0.3391486436128616,14660,0.0,0.00095326104,-0.004492906905215932,0.012635444290935993,,,
1165,54238,1.36,1468,0.91,0,44040,44040,-0.08419846999999998,2,0.2,0.0001,0.06100307554006577,0.45230287313461304,-0.3656782597303391,14670,0.0,0.0006173988,-0.005588147480933258,0.009104859083890915,,,
1182,54270,1.41,1469,0.91,0,44070,44070,-0.08410054,2,0.2,0.0001,0.24739235937595366,0.31048744916915894,-0.3414591014385223,14680,0.0,0.00043178798,-0.0032564187282694947,0.09977985173463821,,,
1201,54303,1.48,1470,0.89,0,44100,44100,-0.10568393999999998,2,0.2,0.0001,0.09596660137176513,0.06956636905670166,-0.3216734707355499,14690,0.0,7.1525574e-07,-0.00012511789725984103,0.0441008023917675,,,
