env/n_steps,rollout/ep_rew_mean,time/total_timesteps,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,env/completion_counter,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
30420,-0.07667271999999999,30420,5396,507,1.3,0,39135,0.92,1,1.1263751,25300,-0.11172826781868934,0.2,0.19187724590301514,0.07505791209638119,-0.052694424986839294,0.2896666674315929,0.001,-0.07095485455791155,,,
30480,-0.07923258999999999,30480,5436,508,1.38,0,39204,0.9,1,1.8873534,25350,-0.163069726228714,0.2,-0.1566380262374878,0.08029931075870991,-0.05930059403181076,0.37966666266322135,0.001,-0.06873330008362728,,,
30540,-0.08547178000000001,30540,5477,509,1.4,0,39273,0.89,1,0.36616787,25400,-0.10226263135671615,0.2,0.11644250154495239,0.08696417592465877,-0.03652656078338623,0.2400000014528632,0.001,-0.05121013386423389,,,
30600,-0.09467341,30600,5515,510,1.49,0,39343,0.88,1,0.6098148,25450,-0.17749388992786408,0.2,0.03691619634628296,0.10387209326028823,-0.039189066737890244,0.2726666706800461,0.001,-0.05519136905173468,,,
30660,-0.11560245999999999,30660,5550,511,1.59,0,39411,0.86,1,0.98659897,25500,-0.15664127826690674,0.2,-0.5145272016525269,0.1339030806720257,-0.022951889783143997,0.34099999904632566,0.001,-0.06383417486896122,,,
30720,-0.08453507,30720,5598,512,1.49,0,39486,0.89,1,0.36536643,25550,-0.21674156695604324,0.2,-0.02228856086730957,0.15572698593139647,-0.024957917630672455,0.3256666666269302,0.001,-0.07714024279266596,,,
30780,-0.07312152999999999,30780,5637,513,1.35,0,39556,0.94,1,0.5191117,25600,-0.18094124108552934,0.2,0.27542340755462646,0.0406609120965004,-0.06700783967971802,0.26900000251829626,0.001,-0.05919815838336945,,,
30840,-0.09372975000000001,30840,5679,514,1.43,0,39630,0.92,1,0.44916546,25650,-0.19003007501363756,0.2,0.019756555557250977,0.08958169654011726,-0.04933760315179825,0.3323333368450403,0.001,-0.06461180344223977,,,
30900,-0.13767508999999997,30900,5720,515,1.49,0,39703,0.88,1,0.36383864,25700,-0.1575334495306015,0.2,0.31939685344696045,0.07522089898586273,-0.06502899527549744,0.3043333366513252,0.001,-0.07834517533580464,,,
30960,-0.11587029999999998,30960,5766,516,1.4,0,39772,0.9,1,1.0081564,25750,-0.1595373684167862,0.2,0.44188129901885986,0.07855082035064698,-0.03761396184563637,0.2940000044554472,0.001,-0.05790099417542418,,,
31020,-0.08237782999999997,31020,5807,517,1.38,0,39844,0.93,1,0.5533913,25800,-0.12229166015982627,0.2,0.17563682794570923,0.09599155738949776,-0.02457510307431221,0.21733333773910998,0.001,-0.050582253232598295,,,
31080,-0.07230271,31080,5850,518,1.35,0,39914,0.94,1,0.27735806,25850,-0.06955063372850417,0.2,0.31300270557403564,0.0736997189372778,-0.0024473927915096283,0.14300000481307507,0.001,-0.024748199871430784,,,
31140,-0.09405027,31140,5891,519,1.39,0,39987,0.92,1,1.2897828,25900,-0.08088241808116436,0.2,-0.1700267791748047,0.1292860299348831,-0.0008093714714050293,0.2580000025779009,0.001,-0.05103710859889784,,,
