env/completion_counter,env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
,,,,,12300,,41,0,18710,0.71,1.66,-0.27655086,,,,,,,,,,
0,7069,-0.09304188030771911,1.32,0.88,12600,12600,,,,,,,0.0001,410,-0.2483004681766033,0.08616860955953598,0.1834573745727539,0.2,0.19007377028465272,0.0,-9.564954765366452e-05,7.9246665e-06
,,,,,12600,,42,0,19183,0.66,1.75,-0.24724068000000002,,,,,,,,,,
0,7250,-0.11246185072232037,1.3,0.88,12900,12900,,,,,,,0.0001,420,-0.2488559789955616,0.07773195952177048,0.25557762384414673,0.2,0.17161819711327553,0.0,-0.0003578447012646535,1.2466293e-05
,,,,,12900,,43,0,19646,0.75,1.64,-0.26212571,,,,,,,,,,
0,7426,-0.0683943801233545,1.2,0.92,13200,13200,,,,,,,0.0001,430,-0.2475196585059166,0.10811444371938705,0.2276926040649414,0.2,0.18684745579957962,0.0,-0.00041404073667763444,1.953228e-05
,,,,,13200,,44,0,20085,0.68,1.75,-0.28994526,,,,,,,,,,
0,7605,-0.04900151532143354,1.18,0.94,13500,13500,,,,,,,0.0001,440,-0.246806051582098,0.08233202993869781,0.10771739482879639,0.2,0.20275828391313552,0.0,-0.0008148190810061351,0.00016069994
,,,,,13500,,45,0,20516,0.75,1.59,-0.21084662000000004,,,,,,,,,,
0,7785,-0.05187630837317556,1.34,0.9,13800,13800,,,,,,,0.0001,450,-0.22307035848498344,0.07735935598611832,0.21434086561203003,0.2,0.18781597837805747,0.0,-0.002926902988110669,0.00063832686
,,,,,13800,,46,0,20967,0.7,1.63,-0.26785496,,,,,,,,,,
0,7965,-0.06923594704829156,1.28,0.9,14100,14100,,,,,,,0.0001,460,-0.20140035226941108,0.10418552905321121,0.28371691703796387,0.2,0.17511713206768037,0.0,-0.00024222130654720785,5.58786e-05
,,,,,14100,,47,0,21410,0.73,1.66,-0.20333078000000002,,,,,,,,,,
0,8148,-0.027924265400506555,1.14,0.96,14400,14400,,,,,,,0.0001,470,-0.1919015772640705,0.1067114844918251,0.12381809949874878,0.2,0.1964820146560669,0.0,-0.0007516030165756859,0.0001723044
,,,,,14400,,48,0,21873,0.76,1.58,-0.24090295,,,,,,,,,,
0,8329,-0.046930486992932854,1.1,0.96,14700,14700,,,,,,,0.0001,480,-0.18537662848830222,0.07212622463703156,0.25769174098968506,0.2,0.1830701597034931,0.0,-0.00026666243419590783,3.993485e-05
,,,,,14700,,49,0,22327,0.66,1.76,-0.32428369,,,,,,,,,,
