env/n_steps,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/success_rate,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates
16500,0.94,0,7602,1.32,-0.07285044042393565,16500,,,,,,,0.1601526515185833,0.0049886894,0.03497159108519554,-0.013442709444789216,0.2464551329612732,-0.476758229136467,0.0001,0.043888796120882034,0.2,540
,,,,,,16500,0.81,0,55,2.05,24907,-0.20532325000000004,,,,,,,,,,
16800,0.92,0,7744,1.42,-0.07220794330351055,16800,,,,,,,0.13294222086668014,0.004398425,0.022982954680919647,-0.007800510034430772,0.3014048933982849,-0.5162520235776902,0.0001,0.04518016055226326,0.2,550
,,,,,,16800,0.84,0,56,2.08,25338,-0.17570931,,,,,,,,,,
17100,0.92,0,7878,1.5,-0.0954747665906325,17100,,,,,,,0.13465310364961625,0.0055503375,0.029090909361839293,-0.010794447483494878,0.28802764415740967,-0.4671725559234619,0.0001,0.0003840997815132141,0.2,560
,,,,,,17100,0.77,0,57,2.2,25791,-0.29675993,,,,,,,,,,
17400,0.96,0,8027,1.24,-0.029965795949101447,17400,,,,,,,0.19143934980034827,0.0023158842,0.027329545617103577,-0.01065919446758926,0.18223637342453003,-0.521634726524353,0.0001,0.047162190079689026,0.2,570
,,,,,,17400,0.83,0,58,2.0,26229,-0.20246992,,,,,,,,,,
17700,0.88,0,8184,1.54,-0.12187859695404768,17700,,,,,,,0.13686265006661416,0.0036201961,0.03338068202137947,-0.012844546095002442,0.2855583429336548,-0.41713058471679687,0.0001,0.028686266392469406,0.2,580
,,,,,,17700,0.85,0,59,1.91,26667,-0.1847577,,,,,,,,,,
18000,0.94,0,8326,1.48,-0.07823261697310954,18000,,,,,,,0.15820048674941062,0.0043742172,0.027556818276643753,-0.010686515793204308,0.06091970205307007,-0.4345900827646256,0.0001,0.0355713814496994,0.2,590
,,,,,,18000,0.81,0,60,2.08,27106,-0.21137054,,,,,,,,,,
18300,0.92,0,8488,1.48,-0.09570139665156603,18300,,,,,,,0.1492829667031765,0.0023134307,0.023267045617103577,-0.010552726741880179,0.25720447301864624,-0.4656395781040192,0.0001,0.03832419216632843,0.2,600
,,,,,,18300,0.89,0,61,1.88,27567,-0.14018565,,,,,,,,,,
18600,0.94,0,8643,1.32,-0.07605962303001433,18600,,,,,,,0.13734715238213538,0.0060399445,0.046278409361839294,-0.016671186385210604,-0.009861350059509277,-0.43625385642051695,0.0001,0.029494203627109528,0.2,610
,,,,,,18600,0.86,0,62,1.89,28131,-0.17015429999999998,,,,,,,,,,
18900,0.96,0,8785,1.26,-0.04925315045751631,18900,,,,,,,0.13049577496945858,0.0036829289,0.053210227489471434,-0.014337169432546943,0.2029728889465332,-0.39050033390522004,0.0001,-0.016947096213698387,0.2,620
,,,,,,18900,0.84,0,63,2.12,28576,-0.20176441,,,,,,,,,,
19200,0.98,0,8930,1.18,-0.032007565964013336,19200,,,,,,,0.1495871376991272,0.0045083947,0.03394886389374733,-0.013986437403364107,0.2425311803817749,-0.41304762065410616,0.0001,0.05286180227994919,0.2,630
,,,,,,19200,0.83,0,64,1.95,29003,-0.18419813999999998,,,,,,,,,,
