env/current_idx,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/success_rate,env/n_steps,time/fps,env/completion_counter,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1283,2123,1.54,-0.11952867000000002,61,1830,0.87,1830,0,0,0.001,-0.06881989902506272,-1.383729887008667,0.2857080101966858,-0.0722821056842804,0.057623617,600,0.2,0.1339447505772114,0.2966666717082262,,,
1310,2157,1.49,-0.09867937999999998,62,1860,0.89,1860,0,0,0.001,-0.06327524209395055,-1.3754563450813293,-48.58551788330078,-0.11803999543190002,0.025778348,610,0.2,0.051371548976749185,0.2866666719317436,,,
1331,2194,1.32,-0.04483722999999999,63,1890,0.94,1890,0,0,0.001,-0.07031746217360091,-1.3925342202186584,-218.8092498779297,-0.11927421391010284,0.055422075,620,0.2,0.014886902179569006,0.226666671782732,,,
1350,2226,1.35,-0.05608083,64,1920,0.93,1920,0,0,0.001,-0.0513995161280036,-1.3469128727912902,-0.07034134864807129,-0.048297490924596786,0.052579243,630,0.2,0.10633499547839165,0.43000000193715093,,,
1367,2258,1.39,-0.07434884000000001,65,1950,0.91,1950,0,0,0.001,-0.04255571477115154,-1.0906914830207826,0.06440263986587524,-0.02478259801864624,0.07898049,640,0.2,0.15738026201725006,0.5733333274722099,,,
1384,2291,1.47,-0.09856498999999998,66,1980,0.88,1980,0,0,0.001,-0.052079151700406,-1.1034418940544128,0.1089630126953125,-0.04556318372488022,0.04266364,650,0.2,0.1700441911816597,0.1900000050663948,,,
1403,2331,1.56,-0.11993556999999998,67,2010,0.86,2010,0,0,0.001,-0.042567853579918505,-1.0329262614250183,0.11635136604309082,-0.031380269676446915,0.047989085,660,0.2,0.13182517662644386,0.31000000387430193,,,
1423,2365,1.59,-0.14263096,68,2040,0.85,2040,0,0,0.001,-0.059265858102589775,-0.9909516155719758,-0.11829066276550293,-0.07355521619319916,0.050595682,670,0.2,0.1514280207455158,0.21000000648200512,,,
1441,2398,1.68,-0.17412040000000004,69,2070,0.81,2070,0,0,0.001,-0.06250587280839674,-1.0952518343925477,0.09756094217300415,-0.06985829025506973,0.040066734,680,0.2,0.15154918134212494,0.23000000715255736,,,
1463,2433,1.57,-0.14174233,70,2100,0.84,2100,0,0,0.001,-0.06896700369194164,-1.105914008617401,0.42853057384490967,-0.09440287202596664,0.052554872,690,0.2,0.09987393245100976,0.20333333723247052,,,
1487,2466,1.44,-0.11603786999999999,71,2130,0.89,2130,0,0,0.001,-0.0502210448682308,-1.0481888413429261,-0.11683285236358643,-0.05248473212122917,0.016995963,700,0.2,0.1609548471868038,0.1866666741669178,,,
1510,2502,1.38,-0.10259201999999998,72,2160,0.9,2160,0,0,0.001,-0.051004361907641106,-1.0209405183792115,0.06237053871154785,-0.06168424338102341,0.037236508,710,0.2,0.07834027484059333,0.18000000417232515,,,
1531,2546,1.36,-0.10282221,73,2190,0.91,2190,0,0,0.001,-0.07429749390731252,-1.1942058682441712,0.4215732216835022,-0.07450705766677856,0.051911354,720,0.2,0.10128595754504204,0.2666666701436043,,,
1552,2585,1.34,-0.08200908999999999,74,2220,0.93,2220,0,0,0.001,-0.07198209049801027,-1.1739137172698975,-0.028236031532287598,-0.08400344848632812,0.102547154,730,0.2,0.14751709923148154,0.26000000797212125,,,
1569,2624,1.4,-0.09161438000000001,75,2250,0.92,2250,0,0,0.001,-0.0484686178962388,-0.8754135251045227,-0.2470036745071411,-0.031237859278917313,0.088868536,740,0.2,0.11318221688270569,0.3933333337306976,,,
1591,2658,1.4,-0.09148842,76,2280,0.92,2280,0,0,0.001,-0.047097382371624266,-0.8941514313220977,0.16393059492111206,-0.021772600710392,0.05271633,750,0.2,0.16834242194890975,0.2333333395421505,,,
1615,2690,1.45,-0.10209929000000001,77,2310,0.91,2310,0,0,0.001,-0.048067742201189215,-0.8690888226032257,0.11173796653747559,-0.02376483753323555,0.040720694,760,0.2,0.14990877583622933,0.20333333723247052,,,
1637,2721,1.4,-0.08107935000000001,78,2340,0.92,2340,0,0,0.001,-0.05691867421070729,-1.0330971300601959,0.11971819400787354,-0.049099426716566086,0.08006363,770,0.2,0.10578474923968315,0.25333334058523177,,,
