rollout/success_rate,time/fps,time/total_timesteps,env/completion_counter,time/iterations,env/n_steps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,env/current_idx,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.88,0,5820,0,97,5820,-0.11457615999999998,7431,1.47,4166,-0.011624974409739197,0.010494298,-0.5176448345184326,960,0.2,0.001,0.16821622848510742,0.019874364137649536,0.08603429794311523,0.06666666753590107,,,
0.91,0,5880,0,98,5880,-0.09218805999999997,7513,1.37,4214,-0.013157814837371351,0.011176207,-0.33214119374752044,970,0.2,0.001,0.414947509765625,0.020428188145160675,0.10367048531770706,0.04500000216066837,,,
0.96,0,5940,0,99,5940,-0.05033217999999999,7586,1.3,4260,-0.035272430690626244,0.08428375,-0.516869181394577,980,0.2,0.001,-0.3456627130508423,-0.012487020343542099,0.11017911434173584,0.1333333386108279,,,
,,6000,0,,6000,,,,4302,-0.02554205215846501,0.0154629145,-0.4757640242576599,990,0.2,0.001,0.04157620668411255,-0.027229711413383484,0.04572781808674335,0.07166666872799396,1.33,0.91,-0.10391898675356061
0.94,0,6000,,100,,-0.06133337000000001,7845,1.35,,,,,,,,,,,,,,
0.89,0,6060,0,101,6060,-0.10431286000000003,7918,1.51,4338,-0.013623341045652815,0.021006363,-0.3642433524131775,1000,0.2,0.001,0.16637706756591797,0.021912291646003723,0.11370463818311691,0.08666666951030493,,,
0.9,0,6120,0,102,6120,-0.10529523000000002,8001,1.47,4384,-0.012283216365613114,0.005871345,-0.3437263906002045,1010,0.2,0.001,0.11205989122390747,0.042463645339012146,0.17516711056232454,0.02500000111758709,,,
0.86,0,6180,0,103,6180,-0.13755026000000004,8078,1.59,4415,-0.003031347064820622,0.005517715,-0.3959018439054489,1020,0.2,0.001,-0.3006178140640259,0.04146749526262283,0.11925975233316422,0.020000000856816767,,,
0.88,0,6240,0,104,6240,-0.11721761999999998,8161,1.5,4462,-0.009427975290455493,0.016623396,-0.3456300348043442,1030,0.2,0.001,0.12485438585281372,0.08529260754585266,0.2808632984757423,0.06333333551883698,,,
0.93,0,6300,0,105,6300,-0.07303486000000001,8240,1.3,4511,-0.0049308218861305875,0.006679803,-0.3017376333475113,1040,0.2,0.001,0.4276106357574463,0.021900523453950882,0.2052886351943016,0.013333334028720856,,,
0.93,0,6360,0,106,6360,-0.06325121,8326,1.33,4554,-0.010661935936659539,0.038106862,-0.35704745948314665,1050,0.2,0.001,0.16533583402633667,0.028698546811938286,0.11160389930009842,0.07833333425223828,,,
0.95,0,6420,0,107,6420,-0.049248700000000006,8397,1.23,4608,-0.009833286036737299,0.011045679,-0.4200799226760864,1060,0.2,0.001,0.33485478162765503,0.01837218925356865,0.0956786409020424,0.06500000096857547,,,
0.95,0,6480,0,108,6480,-0.06304324,8479,1.24,4653,-0.028823057208210302,0.15149069,-0.6022312581539154,1070,0.2,0.001,0.3642271161079407,-0.020129134878516197,0.036522222496569154,0.31166666746139526,,,
0.94,0,6540,0,109,6540,-0.0737113,8558,1.26,4701,-0.02760708515842758,0.010703714,-0.5954515635967255,1080,0.2,0.001,0.42934316396713257,-0.026563994586467743,0.07868236936628818,0.1383333344012499,,,
0.9,0,6600,0,110,6600,-0.10775063,8632,1.43,4739,-0.04021206984606884,0.022774518,-0.6434897184371948,1090,0.2,0.001,0.49585384130477905,-0.05051988735795021,0.06724547445774079,0.08833333589136601,,,
0.9,0,6660,0,111,6660,-0.09631858999999998,8704,1.41,4785,-0.024175578116749818,0.012971147,-0.5880693316459655,1100,0.2,0.001,0.2638885974884033,-0.010175153613090515,0.11439275220036507,0.09666666910052299,,,
0.89,0,6720,0,112,6720,-0.10526893999999999,8781,1.41,4826,-0.0215639319084584,0.008054768,-0.6158577024936676,1110,0.2,0.001,-0.30113720893859863,0.023280512541532516,0.15802935659885406,0.1200000025331974,,,
0.9,0,6780,0,113,6780,-0.09520638000000002,8855,1.4,4871,-0.028285672091879023,0.044487465,-0.6240905106067658,1120,0.2,0.001,-0.033202290534973145,0.016178272664546967,0.1670580878853798,0.12333333678543568,,,
