env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
19500,0,11430,-0.06899003379512578,0.92,19500,1.26,,,,,,,0.0001,-0.00024874025726115965,0.164186667278409,0.06661658734083176,0.2,3.2714153e-05,-0.12696266695857047,640,0.0,0.24222230911254883
,,,,,19500,,65,0.73,1.62,28883,0,-0.27247707000000004,,,,,,,,,,
19800,0,11610,-0.11121622693259268,0.9,19800,1.28,,,,,,,0.0001,-0.0004338456062441765,0.1661044407635927,0.06167999655008316,0.2,3.7367965e-05,-0.13213835880160332,650,0.0,0.2564586400985718
,,,,,19800,,66,0.74,1.62,29304,0,-0.23812466999999998,,,,,,,,,,
20100,0,11793,-0.07095766816288233,0.94,20100,1.12,,,,,,,0.0001,-8.979733157428171e-05,0.16320109888911247,0.08353511989116669,0.2,7.498893e-06,-0.1326318010687828,660,0.0,0.3010827898979187
,,,,,20100,,67,0.72,1.68,29729,0,-0.28314174000000003,,,,,,,,,,
20400,0,11976,-0.04918886833358556,0.92,20400,1.2,,,,,,,0.0001,-0.000456692703499062,0.16046136878430844,0.09008453786373138,0.2,5.0979063e-05,-0.134359647333622,670,0.0,0.33964914083480835
,,,,,20400,,68,0.78,1.59,30169,0,-0.20254201000000002,,,,,,,,,,
20700,0,12160,-0.08973094654269516,0.9,20700,1.24,,,,,,,0.0001,-7.15965142692454e-05,0.1816747434437275,0.09576371312141418,0.2,1.2004399e-05,-0.14068711102008818,680,0.0,0.23529869318008423
,,,,,20700,,69,0.74,1.61,30590,0,-0.28558312999999996,,,,,,,,,,
21000,0,12362,-0.07217980737332255,0.88,21000,1.36,,,,,,,0.0001,-0.00026131253451424643,0.17165445871651172,0.09660541266202927,0.2,2.7982782e-05,-0.14377561956644058,690,0.0,0.26852869987487793
,,,,,21000,,70,0.81,1.5,31035,0,-0.19007185,,,,,,,,,,
21300,0,12535,-0.10918465197551995,0.88,21300,1.24,,,,,,,0.0001,-5.29800758369614e-05,0.14982110038399696,0.05652860924601555,0.2,9.020822e-06,-0.14261862486600876,700,0.0,0.2626984119415283
,,,,,21300,,71,0.75,1.63,31462,0,-0.22927994999999998,,,,,,,,,,
21600,0,12727,-0.11072564473375678,0.88,21600,1.32,,,,,,,0.0001,-5.3524974706453676e-05,0.1765013501048088,0.07361604273319244,0.2,1.7771963e-06,-0.14172207489609717,710,0.0,0.21801596879959106
,,,,,21600,,72,0.76,1.56,31928,0,-0.23810448000000003,,,,,,,,,,
21900,0,12914,-0.027824314124882222,0.96,21900,1.14,,,,,,,0.0001,-4.2515650011587526e-05,0.17144006937742234,0.06909112632274628,0.2,4.5264924e-06,-0.1414786234498024,720,0.0,0.28781938552856445
,,,,,21900,,73,0.75,1.58,32381,0,-0.27610342,,,,,,,,,,
22200,0,13115,-0.04948306669015437,0.92,22200,1.26,,,,,,,0.0001,-0.00013022293126603303,0.1620303329080343,0.0668400302529335,0.2,3.905385e-06,-0.14242588728666306,730,0.0,0.3361661434173584
,,,,,22200,,74,0.77,1.58,32833,0,-0.20440102999999993,,,,,,,,,,
22500,0,13299,-0.029619255871511995,0.96,22500,1.16,,,,,,,0.0001,-2.781354196450536e-05,0.15404795557260514,0.04993584007024765,0.2,3.5870842e-06,-0.14509189501404762,740,0.0,0.2687613368034363
,,,,,22500,,75,0.74,1.64,33279,0,-0.2466437,,,,,,,,,,
22800,0,13496,-0.10993275645654649,0.88,22800,1.3,,,,,,,0.0001,-3.35672874143711e-05,0.1651948183774948,0.057477496564388275,0.2,3.3008082e-06,-0.14703033864498138,750,0.0,0.31223785877227783
,,,,,22800,,76,0.8,1.48,33727,0,-0.17731218,,,,,,,,,,
23100,0,13685,-0.10828187532257288,0.9,23100,1.24,,,,,,,0.0001,-0.0011067430441812575,0.1581049907952547,0.056828152388334274,0.2,0.0006966114,-0.15586574748158455,760,0.0034446023404598237,0.26045525074005127
,,,,,23100,,77,0.77,1.58,34170,0,-0.20229842,,,,,,,,,,
23400,0,13868,-0.1290185593487695,0.88,23400,1.26,,,,,,,0.0001,-0.0008294265514122046,0.16429544426500797,0.043862294405698776,0.2,5.2067484e-05,-0.14825429618358613,770,0.0,0.23027485609054565
,,,,,23400,,78,0.75,1.58,34641,0,-0.23970581999999996,,,,,,,,,,
23700,0,14051,-0.13592392222955824,0.84,23700,1.42,,,,,,,0.0001,-0.0025241862997063434,0.1820847734808922,0.05321434885263443,0.2,0.00066434947,-0.1384637326002121,780,0.0,0.21233999729156494
,,,,,23700,,79,0.72,1.66,35109,0,-0.26281396000000007,,,,,,,,,,
24000,0,14243,-0.06921803650446236,0.92,24000,1.2,,,,,,,0.0001,-0.0002580735449203786,0.19877976700663566,0.09126294404268265,0.2,3.436133e-05,-0.12931289821863173,790,0.0,0.18543583154678345
,,,,,24000,,80,0.78,1.56,35548,0,-0.24336345,,,,,,,,,,
