env/current_idx,env/completion_counter,env/n_steps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1161,0,1650,1650,0.89,1.46,1845,55,0,-0.12437652,2700,0.2,0.37533333897590637,-0.08677487596869468,-0.14584151268005371,-0.07576227188110352,0.001,-0.11095266789197922,0.7989419,0.07938991342205554,,,
1179,0,1680,1680,0.89,1.44,1878,56,0,-0.12408333,2750,0.2,0.31733333997428415,-0.0659280865167578,-0.18581515789031983,-0.004011750221252441,0.001,-0.0881856307387352,0.38846934,0.08817456390126609,,,
1202,0,1710,1710,0.88,1.43,1919,57,0,-0.12367016000000002,2800,0.2,0.3513333395123482,-0.07476011164175965,-0.08896414898335933,-0.1844099760055542,0.001,-0.08491914719343185,1.2049993,0.06060994402621873,,,
1222,0,1740,1740,0.85,1.53,1951,58,0,-0.15485349999999998,2850,0.2,0.2760000089555979,-0.049063538491105056,-0.0953333093225956,-0.2837510108947754,0.001,-0.05707019567489624,0.3193323,0.0445472664560657,,,
1250,0,1770,1770,0.88,1.4,1985,59,0,-0.12215706000000001,2900,0.2,0.16866667062044144,-0.035049502690633144,-0.06848249442875386,0.22064799070358276,0.001,-0.04479343444108963,0.20877446,0.030058258814387954,,,
1272,0,1800,1800,0.91,1.31,2022,60,0,-0.08020252000000001,2950,0.2,0.13933333791792393,-0.01658046815311536,-0.09948002308607101,-1707.7020263671875,0.001,-0.023113001137971878,0.23204465,0.008747972780838609,,,
1295,0,1830,1830,0.93,1.3,2059,61,0,-0.07095152,3000,0.2,0.06066666983067989,-0.01201472617313266,-0.015310459984466434,-0.09856903553009033,0.001,0.013722151517868042,0.0064272126,0.09529736422002316,,,
1318,0,1860,1860,0.94,1.27,2091,62,0,-0.060728910000000004,3050,0.2,0.0,-0.003956511744763702,-0.0026789367524906993,-0.8816401958465576,0.001,-0.0041344668716192245,2.0432472e-05,0.022413194370456038,,,
1345,0,1890,1890,0.94,1.25,2124,63,0,-0.060459360000000004,3100,0.2,0.0,-1.6799132006379836e-05,-0.0016739648208022118,0.32079559564590454,0.001,0.0007910271524451673,2.3841858e-08,0.04094222728395835,,,
1364,0,1920,1920,0.92,1.33,2161,64,0,-0.07161183999999998,3150,0.2,0.0,-1.0420441609859665e-05,-0.004277703128755092,0.5586557388305664,0.001,8.366354450117797e-06,3.973643e-09,0.0035525067572598347,,,
1393,0,1950,1950,0.94,1.22,2202,65,0,-0.05908736999999999,3200,0.2,0.03133333496749401,-0.00235497422291278,-0.02941787049174309,-0.5569403171539307,0.001,-0.0015452700899913907,0.10133862,0.09278174718376249,,,
1411,0,1980,1980,0.92,1.29,2241,66,0,-0.07967379999999999,3250,0.2,0.09133333519101143,-0.027829878707726862,-0.02237650450319052,-127.23948669433594,0.001,-0.0294815506786108,0.337202,0.0002477214445389109,,,
1436,0,2010,2010,0.93,1.29,2274,67,0,-0.06966141,3300,0.2,0.24600001215934753,-0.058280988128234984,-0.1074109409749508,-0.1797809600830078,0.001,-0.06391481310129166,0.31166,0.11428005394758657,,,
1454,0,2040,2040,0.92,1.33,2306,68,0,-0.06992698000000001,3350,0.2,0.02266666740179062,-0.009583132611782261,-0.03023414485156536,-0.26714611053466797,0.001,-0.057179201394319534,0.18186225,0.037304322884301654,,,
1480,0,2070,2070,0.92,1.33,2339,69,0,-0.06991125000000001,3400,0.2,0.3300000082701445,-0.08124187058831253,-0.1077600957453251,0.10267657041549683,0.001,-0.08799286186695099,0.42404792,0.028175595396896826,,,
1501,0,2100,2100,0.89,1.42,2382,70,0,-0.10342272000000001,3450,0.2,0.11733333937823773,-0.06324559056572615,-0.03424141371622682,0.30501222610473633,0.001,-0.07179655134677887,0.5443528,0.007644013583194465,,,
1521,0,2130,2130,0.9,1.37,2414,71,0,-0.09353573000000001,3500,0.2,0.20266667529940605,-0.05380373864248398,-0.10864588364958763,0.08119451999664307,0.001,-0.07844515144824982,0.49597213,0.04684772226260975,,,
1544,0,2160,2160,0.89,1.36,2447,72,0,-0.10365194999999999,3550,0.2,0.26866667419672013,-0.04764500930594906,-0.1545812137424946,-0.15917956829071045,0.001,-0.04811147227883339,0.06650596,0.11736001454293728,,,
1564,0,2190,2190,0.89,1.37,2486,73,0,-0.10422155999999998,3600,0.2,0.19200000330805778,-0.06596262692908446,-0.09583918407559394,-0.42484521865844727,0.001,-0.08206263184547424,0.058428522,0.019601881224662065,,,
1589,0,2220,2220,0.91,1.34,2519,74,0,-0.08138354000000002,3650,0.2,0.0,-0.01973583672983416,-0.014158138711936772,-0.34211254119873047,0.001,-0.022151432931423187,0.0011018674,0.04301826554816216,,,
1612,0,2250,2250,0.93,1.29,2553,75,0,-0.05116701,3700,0.2,0.09933333575725556,-0.009360293090964368,-0.04658547505736351,-1.0369129180908203,0.001,-0.009462870657444,0.23482834,0.02058122026734054,,,
1629,0,2280,2280,0.91,1.36,2583,76,0,-0.07196105,3750,0.2,0.0,-0.00019911026517362984,-0.002104066025931388,-8.137950897216797,0.001,-7.4681302066892385e-06,1.847744e-06,0.0011037984222639352,,,
1654,0,2310,2310,0.93,1.31,2617,77,0,-0.05107445,3800,0.2,0.0,2.6468435979865037e-07,-0.0003113740112166852,-0.002497076988220215,0.001,0.0035550252068787813,0.0,0.1735570546798408,,,
1678,0,2340,2340,0.91,1.34,2653,78,0,-0.07169357999999999,3850,0.2,0.0,-0.0026987803141431143,-0.0013942403567489237,-1.3591268062591553,0.001,-0.0024428560864180326,0.0002797206,0.02428563723806292,,,
1705,0,2370,2370,0.92,1.31,2686,79,0,-0.07083846,3900,0.2,0.0,-6.585135056681679e-05,-0.0014779972448013723,-0.16903865337371826,0.001,0.0002998246345669031,1.9073487e-07,0.04875028156442568,,,
1729,0,2400,2400,0.94,1.22,2720,80,0,-0.03994644,3950,0.2,0.03133333496749401,-0.004396914450684566,-0.008405033024027944,-170.73460388183594,0.001,-0.004547434393316507,0.13069434,0.0021458974955021405,,,
1754,0,2430,2430,0.95,1.2,2755,81,0,-0.04268152,4000,0.2,0.01200000062584877,-0.005962415027412824,-0.014821735857985914,-16.392776489257812,0.001,-0.032164234668016434,0.10791197,0.0004937330220127479,,,
1771,0,2460,2460,0.93,1.27,2789,82,0,-0.06348906,4050,0.2,0.10066666841506958,-0.04926303635537622,-0.05418362766504288,-0.0033254623413085938,0.001,-0.044819802045822144,0.16908693,0.11794383890926838,,,
1797,0,2490,2490,0.92,1.28,2821,83,0,-0.07281220999999999,4100,0.2,0.30333333678543567,-0.0697351065619538,-0.07975149407982826,0.11722207069396973,0.001,-0.09686924517154694,1.6607375,0.04136633965885267,,,
1822,0,2520,2520,0.93,1.27,2856,84,0,-0.08261012,4150,0.2,0.085333336815238,0.02716946602053941,-0.030127069409936667,-0.49287569522857666,0.001,0.019392428919672966,0.37593403,0.034306995779043066,,,
1846,0,2550,2550,0.92,1.31,2889,85,0,-0.08350591999999998,4200,0.2,0.12733333840966224,-0.045447167039305576,-0.04511044826358557,-0.22372913360595703,0.001,-0.055040232837200165,0.55490917,0.01670929487911053,,,
1871,0,2580,2580,0.95,1.23,2921,86,0,-0.04931328000000001,4250,0.2,0.046666669100522994,-0.01797078665066543,-0.040888980813324455,-0.34721803665161133,0.001,-0.022658953443169594,0.063346855,0.00032950786116998644,,,
1895,0,2610,2610,0.95,1.22,2955,87,0,-0.05071344999999999,4300,0.2,0.14600000508129596,-0.05755853580931827,-0.05925972953438759,0.4084211587905884,0.001,-0.06548350304365158,0.22480041,0.006500922896084376,,,
1923,0,2640,2640,0.96,1.19,2988,88,0,-0.04026445,4350,0.2,0.032666668370366095,-0.013629215981811313,-0.01372793834656477,-0.4371213912963867,0.001,-0.005997898988425732,0.112169504,0.11538978051394225,,,
1945,0,2670,2670,0.96,1.21,3023,89,0,-0.05005439999999999,4400,0.2,0.04266666889190674,-0.013085406991342712,-0.04043659195303917,-1360.967529296875,0.001,-0.01973404549062252,0.37627047,0.024533668815274724,,,
1963,0,2700,2700,0.93,1.28,3055,90,0,-0.06122906,4450,0.2,0.0,-9.461092907804058e-05,-0.0015961729804985225,0.0022627711296081543,0.001,0.022717652842402458,1.4503797e-06,0.08968345694243908,,,
1986,0,2730,2730,0.93,1.31,3094,91,0,-0.061663319999999994,4500,0.2,0.05133333422243595,-0.01931737221262252,-0.03937433536164463,-0.04937434196472168,0.001,-0.042755141854286194,0.43863043,0.09282246470451355,,,
2012,0,2760,2760,0.93,1.31,3128,92,0,-0.061331390000000006,4550,0.2,0.18400000400841235,-0.04837890568003058,-0.1310921247303486,-0.1385282278060913,0.001,-0.07466574758291245,0.029634854,0.012363155551720411,,,
2035,0,2790,2790,0.92,1.35,3161,93,0,-0.06176035000000001,4600,0.2,0.032666668370366095,-0.00864871305568764,-0.0229120534658432,-0.26340150833129883,0.001,0.021124649792909622,0.002145481,0.08354965060949325,,,
2057,0,2820,2820,0.95,1.29,3192,94,0,-0.03143847,4650,0.2,0.25533333882689474,-0.04139251429587602,-0.1622167347371578,-19.305875778198242,0.001,-0.0707169845700264,0.6804935,0.002349703386134934,,,
2082,0,2850,2850,0.96,1.26,3224,95,0,-0.03077131,4700,0.2,0.2400000074505806,-0.053923497602343565,-0.26084000170230864,-0.4337806701660156,0.001,-0.06542117148637772,0.14643341,0.0004642992210574448,,,
2103,0,2880,2880,0.96,1.28,3254,96,0,-0.03087185,4750,0.2,0.2686666777729988,-0.07870426587139566,-0.14608566135168075,-0.0669701099395752,0.001,-0.0701935738325119,0.46580544,0.09484036453068256,,,
2127,0,2910,2910,0.94,1.33,3291,97,0,-0.04133799,4800,0.2,0.14666667222976684,-0.04973502401510871,-0.08095506742596627,-0.08409380912780762,0.001,-0.07425019145011902,0.1310018,0.04827137446263805,,,
2148,0,2940,2940,0.92,1.34,3324,98,0,-0.06189514999999999,4850,0.2,0.150666671320796,-0.03242890250092993,-0.11255214393138885,-0.16275131702423096,0.001,-0.02253630943596363,0.17650607,0.03189865432679653,,,
2170,0,2970,2970,0.91,1.36,3357,99,0,-0.07159126,4900,0.2,0.23333334110677242,-0.06209659071018301,-0.0583325981348753,0.02666682004928589,0.001,-0.08403002470731735,0.8276895,0.03722887604730204,,,
2192,0,3000,3000,,,,,,,4950,0.2,0.16466667130589485,-0.06114714689304435,-0.03602454707026482,0.45229631662368774,0.001,-0.06441529840230942,0.37737396,0.007487167101353407,-0.04154324712930247,0.95,1.19
,,,3000,0.9,1.37,3523,100,0,-0.07199122,,,,,,,,,,,,,
2216,0,3030,3030,0.92,1.33,3558,101,0,-0.06180877,5000,0.2,0.1786666704714298,-0.06509634711593389,-0.032977447789162395,-0.01739203929901123,0.001,-0.05754655972123146,1.0111059,0.09720383159816265,,,
2239,0,3060,3060,0.91,1.35,3592,102,0,-0.06209306999999999,5050,0.2,0.140000004991889,-0.05276907814169923,-0.08863103061914444,-0.18673205375671387,0.001,-0.05855060741305351,0.10237902,0.027796125274617226,,,
2265,0,3090,3090,0.94,1.25,3634,103,0,-0.05074797,5100,0.2,0.18066667035222053,-0.042648535927136744,-0.023107898700982333,0.6118427515029907,0.001,-0.04438253864645958,0.48437545,0.003137979190214537,,,
2288,0,3120,3120,0.95,1.22,3669,104,0,-0.04036886,5150,0.2,0.12866667330265044,-0.04629107138266164,-0.015459080263972282,-0.22236919403076172,0.001,-0.04770533740520477,0.6597081,0.07410624449781608,,,
2308,0,3150,3150,0.94,1.25,3702,105,0,-0.050733940000000005,5200,0.2,0.13000000469386577,-0.016829512583091847,-0.06345990881323814,-11.138392448425293,0.001,-0.02202053740620613,0.24389254,0.0007118652068311349,,,
2329,0,3180,3180,0.92,1.33,3738,106,0,-0.06173976,5250,0.2,0.13800000526010991,-0.03272128813775879,-0.0980651867389679,0.14995038509368896,0.001,-0.04230406507849693,0.15302111,0.030896180299459956,,,
2348,0,3210,3210,0.9,1.39,3770,107,0,-0.07300949,5300,0.2,0.09666666813194752,-0.008415064715159452,-0.008173001315444708,-1.2160098552703857,0.001,-0.008059072308242321,0.5039257,0.02086809944594279,,,
2372,0,3240,3240,0.89,1.43,3805,108,0,-0.07376178,5350,0.2,0.0,-6.1510757827765165e-06,-0.001972114318050444,0.24696528911590576,0.001,0.0005458068335428834,4.172325e-08,0.02713930108351633,,,
2398,0,3270,3270,0.91,1.33,3837,109,0,-0.061417080000000006,5400,0.2,0.06266666993498803,-0.0049672714594441204,-0.02897524245083332,0.0958782434463501,0.001,-0.005023321136832237,0.09155453,0.014854304497130216,,,
2417,0,3300,3300,0.9,1.4,3875,110,0,-0.06294965,5450,0.2,0.0,-0.0006768738646375461,-0.00547547603957355,0.21511119604110718,0.001,-0.0007380309980362654,4.2430558e-05,0.013873863564804197,,,
2444,0,3330,3330,0.95,1.26,3917,111,0,-0.04074177,5500,0.2,0.16066667154431344,-0.05003985142459472,-0.005040062383341137,-1.3673863410949707,0.001,-0.0507638119161129,1.7739161,0.0568598069390282,,,
2461,0,3360,3360,0.94,1.32,3957,112,0,-0.05183877,5550,0.2,0.026666668057441712,-0.0019338191407738492,-0.005008030822500587,-48.95658493041992,0.001,-0.0021187716629356146,0.123984575,0.002033224964397959,,,
2481,0,3390,3390,0.91,1.41,3992,113,0,-0.08279338999999998,5600,0.2,0.04066666848957538,-0.012514602473317904,-0.012405484382761643,0.0013647079467773438,0.001,-0.031148307025432587,0.5220105,0.13002249587327241,,,
2506,0,3420,3420,0.93,1.37,4027,114,0,-0.07183414,5650,0.2,0.0,-0.0005636077330952106,-0.0008361182129010558,0.12678933143615723,0.001,-1.365493517369032e-06,7.538001e-06,0.056602838088292626,,,
2528,0,3450,3450,0.92,1.39,4071,115,0,-0.07231233,5700,0.2,0.0,-3.568253782425756e-05,-0.0008012988651171326,-565.2261962890625,0.001,-3.358878893777728e-05,6.179015e-07,0.024165793090360238,,,
2552,0,3480,3480,0.93,1.35,4109,116,0,-0.07096833999999999,5750,0.2,0.0,-0.0042774775278909515,-0.0013534468930447474,-0.20299851894378662,0.001,-0.002432991052046418,7.277727e-05,0.06370828385464847,,,
2575,0,3510,3510,0.95,1.28,4145,117,0,-0.051181810000000015,5800,0.2,0.08533333763480186,-0.043401035527233026,-0.026314971558749675,-0.4632457494735718,0.001,-0.06595113128423691,0.48305663,0.017384923770150634,,,
2598,0,3540,3540,0.94,1.28,4178,118,0,-0.06307826000000001,5850,0.2,0.03066666826605797,-0.0027292139872054835,-0.010477818641811609,-0.16892850399017334,0.001,-0.004440468270331621,0.0014941037,0.09251529644127005,,,
2622,0,3570,3570,0.94,1.26,4216,119,0,-0.07285457000000001,5900,0.2,0.19600000612437726,-0.042896684433643986,-0.11121541291475295,0.1851004958152771,0.001,-0.06943294405937195,0.19299679,0.01590187312103808,,,
