time/time_elapsed,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,env/current_idx,env/n_steps,env/completion_counter,time/iterations,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
59240,0,49260,0.93,1.34,5365,49260,2,821,-0.08302392000000003,0.060864603519439696,8200,0.021675631403923035,-0.0965028628706932,0.0,0.00044322907,-0.0030255574913462977,0.0001,0.0698244571685791,0.2,,,
59316,0,49320,0.92,1.33,5413,49320,2,822,-0.08284525000000001,0.1997968927025795,8210,0.08848874270915985,-0.08848472014069557,0.0,8.113186e-06,0.00046478778085048413,0.0001,0.27255868911743164,0.2,,,
59382,0,49380,0.96,1.22,5463,49380,2,823,-0.02917925,0.06451702117919922,8220,0.02941424585878849,-0.08818768933415413,0.0,0.0,-7.697939900630502e-07,0.0001,0.026380836963653564,0.2,,,
59447,0,49440,0.92,1.32,5504,49440,2,824,-0.08022788,0.04632292725145817,8230,0.019154611974954605,-0.08978578373789788,0.0,0.0,-4.1360656592992485e-07,0.0001,0.27754831314086914,0.2,,,
59522,0,49500,0.89,1.43,5543,49500,2,825,-0.09192311,0.1399848908185959,8240,0.060353800654411316,-0.08727745115756988,0.0,7.422765e-06,-0.00022791385731295576,0.0001,0.44135379791259766,0.2,,,
59587,0,49560,0.88,1.53,5587,49560,2,826,-0.10397210999999996,0.0833017311990261,8250,0.035923827439546585,-0.086482422798872,0.0,7.947286e-09,-2.3680925136382314e-06,0.0001,0.31687480211257935,0.2,,,
59658,0,49620,0.93,1.35,5633,49620,2,827,-0.06202300999999998,0.08014833107590676,8260,0.03858759626746178,-0.08476540371775627,0.0,0.0,-9.358922607560772e-07,0.0001,0.2312372326850891,0.2,,,
59724,0,49680,0.94,1.27,5680,49680,2,828,-0.05170848,0.07932775467634201,8270,0.03517657145857811,-0.0840783342719078,0.0,0.0,-6.346901197051835e-07,0.0001,0.20720064640045166,0.2,,,
59792,0,49740,0.93,1.32,5724,49740,2,829,-0.05511253,0.06903151646256447,8280,0.03250320628285408,-0.08464008197188377,0.0,5.7160855e-06,-5.887508370507888e-05,0.0001,0.38670533895492554,0.2,,,
59856,0,49800,0.95,1.23,5777,49800,2,830,-0.04282293000000001,0.07873170152306556,8290,0.036489203572273254,-0.08496910333633423,0.0,4.5994918e-07,-3.901521317839496e-06,0.0001,0.3350520730018616,0.2,,,
59930,0,49860,0.94,1.27,5820,49860,2,831,-0.06276612999999999,0.0529568262398243,8300,0.025085410103201866,-0.08479126915335655,0.0,1.39077505e-08,2.815326037186594e-07,0.0001,0.04535067081451416,0.2,,,
59996,0,49920,0.91,1.37,5863,49920,2,832,-0.09228273000000004,0.10853945314884186,8310,0.047117892652750015,-0.08570313081145287,0.0,0.00017579894,-0.0014128534645715617,0.0001,0.29906564950942993,0.2,,,
60061,0,49980,0.9,1.43,5903,49980,2,833,-0.08166628000000001,0.08720253333449364,8320,0.038835152983665466,-0.0931998148560524,0.0,4.5001508e-07,-2.700090411345002e-06,0.0001,0.49045342206954956,0.2,,,
60130,0,50040,0.91,1.34,5949,50040,2,834,-0.08037998,0.08350469544529915,8330,0.03858005255460739,-0.09580576047301292,0.0,5.9604645e-08,-5.673368719705251e-07,0.0001,0.46581190824508667,0.2,,,
60214,0,50100,0.9,1.34,5995,50100,2,835,-0.09054143000000002,0.11484314128756523,8340,0.05291431024670601,-0.09876324981451035,0.0,1.3777613e-05,-0.0001221308595449777,0.0001,0.3652338981628418,0.2,,,
60283,0,50160,0.93,1.25,6044,50160,2,836,-0.03998918,0.14440190494060517,8350,0.06347121298313141,-0.1009131446480751,0.0,5.9604645e-08,-2.2783875506249274e-06,0.0001,-0.07905137538909912,0.2,,,
60347,0,50220,0.94,1.23,6093,50220,2,837,-0.032753950000000004,0.031848485581576824,8360,0.012993025593459606,-0.1014566071331501,0.0,7.311503e-07,4.908839882045157e-06,0.0001,0.45762383937835693,0.2,,,
60424,0,50280,0.92,1.29,6136,50280,2,838,-0.08510033,0.07531709671020508,8370,0.034771040081977844,-0.10227434560656548,0.0,5.165736e-08,-8.225440807585471e-07,0.0001,0.15702366828918457,0.2,,,
60499,0,50340,0.91,1.32,6184,50340,2,839,-0.09326767999999999,0.1917623311281204,8380,0.08409103751182556,-0.10422850474715233,0.0,0.0,-1.985530038250971e-06,0.0001,0.38114869594573975,0.2,,,
60564,0,50400,0.91,1.34,6224,50400,2,840,-0.08328573999999998,0.07215497270226479,8390,0.03421998769044876,-0.10306296795606613,0.0,9.934108e-10,-6.261467942358933e-07,0.0001,0.28882062435150146,0.2,,,
60637,0,50460,0.94,1.28,6276,50460,2,841,-0.06135291,0.14338209182024003,8400,0.06581782549619675,-0.10388214588165283,0.0,1.5513102e-05,-0.00011412898757647837,0.0001,0.18253719806671143,0.2,,,
60704,0,50520,0.95,1.24,6321,50520,2,842,-0.031093700000000002,0.043543589487671855,8410,0.018333831802010536,-0.10637620612978935,0.0,3.6408503e-06,-2.379159140519782e-05,0.0001,0.4821389317512512,0.2,,,
60777,0,50580,0.89,1.4,6361,50580,2,843,-0.07416491,0.07835632115602494,8420,0.03158485144376755,-0.10729163140058517,0.0,0.0,-3.674626343652676e-07,0.0001,-0.42113804817199707,0.2,,,
60847,0,50640,0.89,1.42,6407,50640,2,844,-0.09331144000000002,0.09963204711675644,8430,0.04010991379618645,-0.1063501350581646,0.0,2.3885568e-05,-0.00046032433590887934,0.0001,0.4635579586029053,0.2,,,
60912,0,50700,0.97,1.17,6461,50700,2,845,-0.03883873999999999,0.11491278484463692,8440,0.04775528609752655,-0.10412842854857444,0.0,1.4702479e-07,-1.941521963066961e-06,0.0001,0.19145047664642334,0.2,,,
60989,0,50760,0.96,1.21,6506,50760,2,846,-0.04110206000000001,0.05043765902519226,8450,0.022097522392868996,-0.1010216198861599,0.0,0.0,-3.4557282541314295e-06,0.0001,-1.9962589740753174,0.2,,,
61068,0,50820,0.93,1.36,6549,50820,2,847,-0.06339752,0.12794360965490342,8460,0.059789564460515976,-0.09980887547135353,0.0,0.0,-8.662541821635727e-08,0.0001,0.14421409368515015,0.2,,,
61141,0,50880,0.91,1.46,6590,50880,2,848,-0.07593964,0.06146305687725544,8470,0.02638629451394081,-0.1015112578868866,0.0,0.00012418428,-0.00042393020366340297,0.0001,0.41046327352523804,0.2,,,
61212,0,50940,0.88,1.49,6634,50940,2,849,-0.10667382,0.07983503416180611,8480,0.03608115017414093,-0.10663883090019226,0.0,0.00013064941,-0.0006100782711291775,0.0001,0.2919570207595825,0.2,,,
61286,0,51000,0.93,1.26,6685,51000,2,850,-0.08031878999999996,0.1467161513864994,8490,0.061441220343112946,-0.11270378232002258,0.0,2.960364e-07,1.6167760112040242e-06,0.0001,0.37597590684890747,0.2,,,
61353,0,51060,0.95,1.24,6730,51060,2,851,-0.04946028999999999,0.06497951187193393,8500,0.030469238758087158,-0.11598621383309364,0.0,5.9604645e-08,-2.5393565120879203e-06,0.0001,0.4499863386154175,0.2,,,
61420,0,51120,0.94,1.32,6773,51120,2,852,-0.05082856,0.13161739632487296,8510,0.057280417531728745,-0.11615871489048005,0.0,0.0,-1.904492551885184e-06,0.0001,-0.2928987741470337,0.2,,,
61494,0,51180,0.96,1.25,6822,51180,2,853,-0.03025577,0.07710138782858848,8520,0.035065051168203354,-0.118217571079731,0.0,7.8082087e-07,-5.541990319013479e-06,0.0001,0.25917088985443115,0.2,,,
61564,0,51240,0.95,1.23,6870,51240,2,854,-0.05066363,0.024872295185923578,8530,0.01001901924610138,-0.11689655855298042,0.0,0.0,-2.5442615029902525e-06,0.0001,-0.7525280714035034,0.2,,,
61630,0,51300,0.91,1.38,6908,51300,2,855,-0.09228366000000002,0.1455206960439682,8540,0.06665755063295364,-0.11615571081638336,0.0,0.0,-1.7015139121667744e-06,0.0001,0.2714148163795471,0.2,,,
61709,0,51360,0.93,1.4,6953,51360,2,856,-0.07501431000000001,0.16709213256835936,8550,0.07114239037036896,-0.11465764865279197,0.0,0.00022699336,-0.0017617456211398875,0.0001,0.04097580909729004,0.2,,,
61785,0,51420,0.93,1.38,6998,51420,2,857,-0.08681221000000003,0.08222907781600952,8560,0.03733217716217041,-0.10899645164608955,0.0,4.0034454e-05,-0.0001676821722261579,0.0001,0.17593175172805786,0.2,,,
61860,0,51480,0.92,1.35,7041,51480,2,858,-0.08302066,0.12713281735777854,8570,0.05905536562204361,-0.10576778650283813,0.0,1.1722247e-07,-1.3808409428328617e-06,0.0001,0.307243287563324,0.2,,,
61928,0,51540,0.91,1.37,7083,51540,2,859,-0.08351336,0.12042584270238876,8580,0.05784158781170845,-0.10469787269830703,0.0,0.0,-8.487701291137739e-07,0.0001,0.16674411296844482,0.2,,,
61995,0,51600,0.92,1.33,7130,51600,2,860,-0.07260574000000002,0.13231353908777238,8590,0.061221204698085785,-0.10364011749625206,0.0,0.0,-1.384417232430657e-06,0.0001,0.25891709327697754,0.2,,,
62060,0,51660,0.97,1.16,7187,51660,2,861,-0.028407290000000005,0.08791559785604477,8600,0.03186711668968201,-0.10219132304191589,0.0,0.00013542474,-0.0018234420667674555,0.0001,0.13087797164916992,0.2,,,
62133,0,51720,0.98,1.12,7235,51720,2,862,-0.028084279999999996,0.016758278571069242,8610,0.005260047968477011,-0.0932566024363041,0.0,4.867713e-07,-5.649179286848494e-06,0.0001,-202.5327606201172,0.2,,,
62198,0,51780,0.94,1.23,7284,51780,2,863,-0.06151099,0.09396754503250122,8620,0.03552277758717537,-0.08907489255070686,0.0,2.2225579e-05,-0.00022840052874606442,0.0001,0.21971464157104492,0.2,,,
62266,0,51840,0.92,1.32,7328,51840,2,864,-0.08304544,0.08976207599043846,8630,0.04119185730814934,-0.0874836914241314,0.0,0.0,5.062421135404449e-07,0.0001,0.25374460220336914,0.2,,,
62356,0,51900,0.88,1.45,7365,51900,2,865,-0.11675255000000001,0.10109685361385345,8640,0.0407048836350441,-0.0853378564119339,0.0,0.00011636814,-0.0011220280527777682,0.0001,0.4153960943222046,0.2,,,
62430,0,51960,0.92,1.36,7416,51960,2,866,-0.07418578,0.13601695895195007,8650,0.05660690739750862,-0.07701477035880089,0.0,0.00025588076,-0.002712966940986572,0.0001,0.33630257844924927,0.2,,,
62501,0,52020,0.96,1.23,7462,52020,2,867,-0.030191159999999998,0.055220314860343934,8660,0.018177442252635956,-0.06802338585257531,0.0,0.00026626984,-0.0003311043028952909,0.0001,-29.609237670898438,0.2,,,
62572,0,52080,0.93,1.33,7505,52080,2,868,-0.061645599999999995,0.09072891920804978,8670,0.042630262672901154,-0.06199625767767429,0.0,8.125106e-06,1.0001659441982725e-06,0.0001,0.11329346895217896,0.2,,,
62640,0,52140,0.93,1.31,7551,52140,2,869,-0.07081654999999999,0.11722719445824623,8680,0.0556022971868515,-0.06047161854803562,0.0,0.0,-1.685818030949804e-07,0.0001,0.17362666130065918,0.2,,,
62714,0,52200,0.92,1.3,7601,52200,2,870,-0.09016843999999999,0.11609820500016213,8690,0.0516117662191391,-0.060495325922966005,0.0,7.1207683e-06,-5.639533143719788e-05,0.0001,0.21577990055084229,0.2,,,
62780,0,52260,0.96,1.18,7653,52260,2,871,-0.05008804000000001,0.09300823360681534,8700,0.04282169044017792,-0.06101534403860569,0.0,0.0,-1.7612178826897917e-06,0.0001,0.33428794145584106,0.2,,,
62849,0,52320,0.95,1.24,7695,52320,2,872,-0.05141654,0.07113066129386425,8710,0.027303487062454224,-0.06330206990242004,0.0,1.0430813e-07,-3.6715715713953044e-06,0.0001,0.1724645495414734,0.2,,,
62923,0,52380,0.91,1.33,7744,52380,2,873,-0.08247680999999998,0.10858464166522026,8720,0.050881318747997284,-0.06148746944963932,0.0,3.8782755e-06,-2.832939256824929e-05,0.0001,0.2808026671409607,0.2,,,
63002,0,52440,0.91,1.31,7790,52440,2,874,-0.08158131999999998,0.10572385489940643,8730,0.049941033124923706,-0.06214642524719238,0.0,0.0,2.313901999784207e-07,0.0001,0.2932831048965454,0.2,,,
63069,0,52500,0.92,1.34,7832,52500,2,875,-0.07221216999999999,0.07676664739847183,8740,0.035346005111932755,-0.06302400827407836,0.0,0.0,-1.4437238407438712e-06,0.0001,0.4759024977684021,0.2,,,
63145,0,52560,0.9,1.41,7876,52560,2,876,-0.09566561,0.12589347064495088,8750,0.054880138486623764,-0.062276173010468484,0.0,0.0,-5.21788993923522e-07,0.0001,-0.1814100742340088,0.2,,,
