env/n_steps,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss
,1770,,,,,,7481,-0.13544001000000003,0.83,59,0,2.03,,,,,,,,,,
1800,1800,-0.09649183556437492,0.92,0,795,1.42,,,,,,,0.035947904,590,0.17145442962646484,-0.046415894515812364,0.15666666850447655,0.001,0.2,0.061598122119903564,-0.5691730439662933,0.005748562514781952
,1800,,,,,,7611,-0.18457504000000002,0.79,60,0,2.16,,,,,,,,,,
1830,1830,-0.05110509340185672,0.96,0,811,1.32,,,,,,,0.013086198,600,0.2098792128264904,-0.0021717951601992525,0.07000000327825547,0.001,0.2,0.3061838746070862,-0.5842023193836212,0.056606363505125046
,1830,,,,,,7740,-0.18406383999999998,0.81,61,0,2.12,,,,,,,,,,
1860,1860,-0.05033439126797021,0.96,0,825,1.26,,,,,,,0.012579306,610,0.4208870142698288,-0.019482515637452735,0.05666666850447655,0.001,0.2,0.16247236728668213,-0.6548403203487396,0.0884329229593277
,1860,,,,,,7875,-0.20056345999999997,0.81,62,0,2.15,,,,,,,,,,
1890,1890,-0.029878844139166177,0.96,0,838,1.26,,,,,,,0.04043138,620,0.1801054760813713,-0.03808713536399111,0.19333333857357501,0.001,0.2,0.28407996892929077,-0.6987472414970398,0.03239516168832779
,1890,,,,,,7999,-0.22204959999999999,0.81,63,0,2.19,,,,,,,,,,
1920,1920,-0.05402020883746445,0.96,0,851,1.22,,,,,,,0.035510566,630,0.29313697963953017,-0.04586098869641617,0.07666666992008686,0.001,0.2,0.05495208501815796,-0.6511005938053132,0.04529237747192383
,1920,,,,,,8114,-0.20497813,0.83,64,0,2.24,,,,,,,,,,
1950,1950,-0.010676685338839888,0.98,0,870,1.34,,,,,,,0.015518737,640,0.10374574474990368,-0.014465935667976737,0.06000000275671482,0.001,0.2,-6.2352166175842285,-0.4524680197238922,-0.007451221346855164
,1950,,,,,,8243,-0.19837271999999997,0.86,65,0,2.06,,,,,,,,,,
1980,1980,-0.029681257191114127,0.96,0,881,1.26,,,,,,,0.01566274,650,0.2570215091109276,-0.018537059469769447,0.053333336114883424,0.001,0.2,0.2913885712623596,-0.33114676773548124,0.03196511045098305
,1980,,,,,,8371,-0.22124796,0.84,66,0,2.13,,,,,,,,,,
2010,2010,-0.009833557270467282,1.0,0,902,1.16,,,,,,,0.05152603,660,0.3347308158874512,-0.026791410725563836,0.1500000052154064,0.001,0.2,-0.03267252445220947,-0.458949887752533,0.10936453193426132
,2010,,,,,,8487,-0.17253425000000003,0.86,67,0,2.0,,,,,,,,,,
