eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
1.4,0.94,8482,0,18600,-0.031704522650688884,18600,,,,,,,0.1719512738287449,-0.17090997323393822,0.0001,7.529916456938679e-06,610,0.2,0.27998965978622437,0.08955836296081543,0.0,4.9885552e-06
,,,,18600,,,2.1,62,0,-0.20751286,0.81,28930,,,,,,,,,,
1.44,0.94,8620,0,18900,-0.058002606658264996,18900,,,,,,,0.1626092053949833,-0.17132548615336418,0.0001,-6.709281260111055e-05,620,0.2,0.3400394320487976,0.060272764414548874,0.0,1.3709365e-05
,,,,18900,,,2.08,63,0,-0.22829847,0.81,29385,,,,,,,,,,
1.34,0.96,8774,0,19200,-0.0309380675945431,19200,,,,,,,0.1632614515721798,-0.17200906872749328,0.0001,-0.00043849114377270126,630,0.2,0.3076476454734802,0.07368595898151398,0.0,2.3335419e-05
,,,,19200,,,1.87,64,0,-0.16115316000000005,0.84,29847,,,,,,,,,,
1.2,0.98,8922,0,19500,-0.02950610240921378,19500,,,,,,,0.16479581110179425,-0.16977832466363907,0.0001,-0.0004198440424346472,640,0.2,0.18269604444503784,0.07091307640075684,0.0,6.734344e-05
,,,,19500,,,1.82,65,0,-0.15347785000000003,0.86,30284,,,,,,,,,,
1.48,0.94,9079,0,19800,-0.05263855017721653,19800,,,,,,,0.17999321818351746,-0.16500948145985603,0.0001,-0.00029920015026618785,650,0.2,0.28957438468933105,0.08145055919885635,0.0,2.8890981e-05
,,,,19800,,,2.03,66,0,-0.18385355999999997,0.82,30764,,,,,,,,,,
1.46,0.92,9241,0,20100,-0.09330204151570796,20100,,,,,,,0.14721789732575416,-0.15843550488352776,0.0001,1.0617804408674658e-05,660,0.2,0.36375731229782104,0.07788987457752228,0.0,5.138943e-06
,,,,20100,,,1.8,67,0,-0.14061107000000003,0.87,31219,,,,,,,,,,
1.66,0.9,9393,0,20400,-0.13267242344096303,20400,,,,,,,0.16072166711091995,-0.16127342730760574,0.0001,-0.0005916906473757422,670,0.2,0.23656147718429565,0.07777432352304459,0.0,0.00011348755
,,,,20400,,,2.09,68,0,-0.22033682,0.82,31678,,,,,,,,,,
1.46,0.96,9553,0,20700,-0.03486203536391258,20700,,,,,,,0.1783865988254547,-0.16748607084155082,0.0001,-3.494536308190632e-05,680,0.2,0.18030774593353271,0.10151642560958862,0.0,9.341366e-06
,,,,20700,,,1.85,69,0,-0.20137581000000002,0.83,32138,,,,,,,,,,
1.56,0.92,9702,0,21000,-0.09668545920401811,21000,,,,,,,0.16840134747326374,-0.16353131756186484,0.0001,-0.0010053824615468443,690,0.2,0.32162564992904663,0.05950050428509712,0.0,0.00014052734
