time/time_elapsed,env/n_steps,env/current_idx,rollout/ep_len_mean,env/completion_counter,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
4125,3360,2281,1.33,0,0,3360,0.91,-0.08114554,112,0.001,0.0894195206463337,0.2,0.015505179,-0.026129602280755827,0.0881609320640564,-0.004351362586021423,-0.5614213168621063,1110,0.13666667118668557,,,
4158,3390,2300,1.25,0,0,3390,0.95,-0.05013178000000001,113,0.001,0.09648372828960419,0.2,0.017428137,-0.03566095182982583,-0.10531234741210938,-0.022891707718372345,-0.7104733109474182,1120,0.11000000424683094,,,
4195,3420,2325,1.24,0,0,3420,0.95,-0.060591780000000005,114,0.001,0.06659958548843861,0.2,0.03316908,-0.048610637622575045,0.17645925283432007,-0.06031620502471924,-0.5616976678371429,1130,0.21000000685453415,,,
4229,3450,2345,1.31,0,0,3450,0.94,-0.07144049000000001,115,0.001,0.04688318278640509,0.2,0.010920996,-0.02598495443351565,0.4342411160469055,-0.03648081794381142,-0.6544442355632782,1140,0.11666667088866234,,,
4264,3480,2366,1.36,0,0,3480,0.94,-0.07213523999999999,116,0.001,0.15722352489829064,0.2,0.007912806,-0.024532754436756222,-0.4386463165283203,-0.012427832931280136,-0.5902933835983276,1150,0.09666666947305202,,,
4309,3510,2383,1.45,0,0,3510,0.91,-0.09426683000000001,117,0.001,0.0791971281170845,0.2,0.006246815,-0.01517529643218345,0.06287598609924316,-0.013747749850153923,-0.6019866287708282,1160,0.030000001192092896,,,
4349,3540,2403,1.46,0,0,3540,0.91,-0.08434907000000001,118,0.001,0.11672038286924362,0.2,0.01596292,-0.04154713590008541,0.04428476095199585,-0.05983971804380417,-0.688004094362259,1170,0.07333333566784858,,,
4383,3570,2422,1.54,0,0,3570,0.89,-0.09524758,119,0.001,0.10126022323966026,0.2,0.06497873,-0.032913218622173446,-0.2331942319869995,-0.015146486461162567,-0.553050023317337,1180,0.1466666728258133,,,
4417,3600,2448,1.47,0,0,3600,0.9,-0.08435752000000002,120,0.001,0.1399067759513855,0.2,0.01934671,-0.05123905013004944,0.059496402740478516,-0.037860579788684845,-0.6126546323299408,1190,0.15666667222976685,,,
4450,3630,2476,1.35,0,0,3630,0.92,-0.0627443,121,0.001,0.1336371436715126,0.2,0.023804156,-0.03725028121223053,-0.6189618110656738,-0.01513342559337616,-0.46612240970134733,1200,0.15333333611488342,,,
